22	-10	0.0199893	-1.2398	-0.79057	2.12634
22	0	0.0199893	-1.2398	-0.79057	2.12634
22	10	0.0199893	-1.2398	-0.79057	2.12634
24.5	-10	0.235447	-0.990463	-0.473487	1.25597
24.5	0	0.235447	-0.990463	-0.473487	1.25597
24.5	10	0.235447	-0.990463	-0.473487	1.25597
27	-10	0.0517281	-0.360266	-0.192721	0.537575
27	0	0.0517281	-0.360266	-0.192721	0.537575
27	10	0.0517281	-0.360266	-0.192721	0.537575
29.5	-10	-0.124056	0.188449	0.0392157	-0.0303655
29.5	0	-0.124056	0.188449	0.0392157	-0.0303655
29.5	10	-0.124056	0.188449	0.0392157	-0.0303655
32	-10	-0.253147	0.611429	0.210422	-0.466468
32	0	-0.253147	0.611429	0.210422	-0.466468
32	10	-0.253147	0.611429	0.210422	-0.466468
34.5	-10	-0.448768	1.122	0.341955	-0.780804
34.5	0	-0.448768	1.122	0.341955	-0.780804
34.5	10	-0.448768	1.122	0.341955	-0.780804
37	-10	-0.423438	1.30175	0.404517	-1.06401
37	0	-0.423438	1.30175	0.404517	-1.06401
37	10	-0.423438	1.30175	0.404517	-1.06401
39.5	-10	-0.336461	1.39269	0.497597	-1.17815
39.5	0	-0.336461	1.39269	0.497597	-1.17815
39.5	10	-0.336461	1.39269	0.497597	-1.17815
42	-10	-0.633097	1.88342	0.471046	-1.37224
42	0	-0.633097	1.88342	0.471046	-1.37224
42	10	-0.633097	1.88342	0.471046	-1.37224
44.5	-10	-0.678264	2.18311	0.484474	-1.43267
44.5	0	-0.678264	2.18311	0.484474	-1.43267
44.5	10	-0.678264	2.18311	0.484474	-1.43267
47	-10	-0.853742	2.5005	0.443275	-1.51385
47	0	-0.853742	2.5005	0.443275	-1.51385
47	10	-0.853742	2.5005	0.443275	-1.51385
49.5	-10	-0.959335	2.77852	0.371557	-1.61608
49.5	0	-0.959335	2.77852	0.371557	-1.61608
49.5	10	-0.959335	2.77852	0.371557	-1.61608
52	-10	-1.0222	2.97292	0.329137	-1.57702
52	0	-1.0222	2.97292	0.329137	-1.57702
52	10	-1.0222	2.97292	0.329137	-1.57702
