# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-005   +1.995100e+00   +5.804416e-06 +5.133502e-05 -3.339496e+00 -2.710873e-01 +2.750808e+01 +2.517844e+02 +6.480116e+03 -2.493689e+05 +1.013052e+09 +1.691315e+09 -7.316109e+11 -3.469295e+12 -1.838330e+14 +1.509498e+17 -4.633590e+20   +5.185058e-07 +4.523497e-05 -1.310891e-03 +4.629636e-01 +1.746322e+01 +3.107945e+02 -1.185476e+04 -5.267816e+05 -4.744222e+07 -8.665866e+09 -3.369535e+11 -2.351848e+13 -5.701118e+14 +1.424536e+17 -1.259018e+19   
S15-007   +1.995600e+00   +2.658991e-06 +2.093399e-04 -3.329079e+00 +3.188528e-01 -1.858324e+01 +3.266584e+02 -4.291080e+04 -2.886926e+04 +8.713620e+08 -3.965201e+09 -1.052700e+11 +6.548632e+12 -4.788270e+14 +1.797132e+17 -4.226069e+20   +2.176261e-06 +5.432030e-04 +8.266872e-04 -1.400166e+00 -1.689037e+01 +2.536766e+02 +7.839196e+03 +2.872299e+06 -3.867903e+08 +6.072755e+09 +6.788951e+11 -2.787441e+13 -1.917521e+15 +1.864178e+17 +6.515920e+19   
S15-011   +1.995050e+00   +2.103198e-06 +4.121314e-05 -3.301995e+00 -3.089371e-01 -2.244001e+01 +8.993253e+01 -2.833192e+04 -2.211477e+05 +1.019582e+09 +2.204522e+08 +2.908916e+11 +1.317153e+13 +3.345003e+14 +9.320288e+16 -4.545390e+20   -2.620003e-07 +1.061313e-04 -3.136028e-03 +2.460363e-01 +2.039619e+01 +1.092076e+02 -1.051225e+04 -3.512580e+05 -5.609178e+07 -8.548197e+09 -3.545779e+11 -4.582727e+13 -1.206851e+15 +8.521666e+16 -4.701824e+18   
S15-012   +1.995000e+00   +3.221460e-06 +3.331452e-04 -3.333050e+00 +7.032296e-01 -6.254807e+00 +2.932137e+02 -1.959049e+04 +4.037827e+05 +1.052054e+09 -5.178160e+09 +3.013226e+11 +6.178536e+12 +7.808371e+14 +3.469323e+17 -4.585242e+20   +2.332412e-06 +3.029139e-04 -3.087575e-03 -5.676722e-01 -8.976882e+00 +1.457799e+02 +6.714376e+03 +1.379197e+06 -1.747590e+08 +1.570166e+09 +2.756662e+11 -2.898904e+13 +7.988977e+14 -6.175659e+16 +1.143636e+19   
S15-013   +1.996100e+00   +2.875512e-06 +1.543262e-04 -3.350764e+00 +1.573617e-01 -1.405472e+01 -2.960062e+02 -3.024080e+04 -5.279786e+05 +9.453399e+08 +2.161699e+09 +2.701310e+11 -8.754712e+12 +1.317907e+14 +1.777938e+17 -4.586350e+20   -1.200421e-07 +3.900760e-04 -8.380036e-04 -8.631176e-01 +2.575842e+01 +4.097937e+02 -3.653203e+04 +1.309060e+06 -2.519816e+08 +1.191046e+10 +1.470899e+11 -6.019538e+13 +1.060444e+15 +1.763035e+17 +3.521759e+19   
S15-015   +1.995500e+00   +3.660767e-06 +1.249420e-04 -3.282487e+00 -3.502958e-02 -1.024396e+01 -6.566765e+02 -2.079812e+04 -1.018417e+06 +1.202772e+09 +2.826554e+09 -1.158570e+11 +1.260537e+13 -2.702934e+15 +6.026274e+16 -4.456374e+20   +1.017872e-06 +1.613634e-04 -2.639480e-03 +2.221564e-02 -2.945624e+00 +2.170526e+02 +2.701982e+04 -1.540950e+06 -4.916093e+07 -4.155269e+09 +5.459614e+11 -1.361822e+13 -3.924782e+15 +1.639475e+17 -1.972861e+19   
S15-019   +1.995250e+00   +2.607626e-06 +1.214365e-04 -3.267154e+00 +2.938252e-02 -2.271679e+00 +1.331632e+02 -2.177605e+04 -2.024334e+05 +1.000505e+09 -2.944594e+09 -1.450634e+11 +2.157645e+11 -2.118226e+15 +1.062166e+17 -4.403282e+20   +1.347241e-07 +1.903638e-04 +3.940322e-04 -4.407274e-02 -1.850859e+00 +3.026828e+02 -3.970813e+03 +2.036779e+04 -2.596818e+08 -1.288828e+09 +2.487779e+11 -5.080717e+13 -5.414324e+14 +3.630117e+15 +4.652442e+19   
S15-020   +1.995300e+00   +3.045363e-06 +1.435707e-04 -3.280265e+00 +3.691353e-02 -4.865981e+00 +2.336005e+02 -1.770567e+04 -3.148608e+05 +1.137272e+09 +2.066200e+08 -1.857140e+11 -5.878850e+12 -1.920404e+15 +3.948232e+16 -4.602401e+20   +7.773122e-07 +1.286612e-04 -3.668688e-03 +2.288570e-01 +5.559370e+00 +3.168218e+02 -1.430827e+04 -2.134857e+05 -2.378137e+07 +2.477803e+08 +1.985535e+11 -2.320603e+13 -2.355724e+14 +1.420773e+17 -4.481438e+18   
S15-022   +1.994750e+00   +3.385516e-06 +1.213508e-04 -3.212642e+00 -1.669888e-01 -3.410008e+00 -5.866429e+01 -1.457911e+04 -2.309435e+05 +1.179151e+09 +6.738930e+09 +9.037443e+10 +1.054601e+13 -1.142324e+15 +3.203068e+16 -4.616086e+20   +1.564217e-06 +9.041128e-05 -2.837194e-03 +3.018870e-01 +4.875157e+00 -3.068046e+01 -2.646336e+04 -7.811741e+05 -2.685332e+07 -8.185241e+09 -9.771345e+09 -1.539203e+13 -1.070876e+14 +2.584669e+17 -4.148615e+18   
S15-023   +1.995250e+00   +3.141005e-06 +1.794019e-04 -3.255755e+00 +1.213575e-01 -1.441172e+01 +8.663155e+02 -2.460887e+04 +8.109079e+05 +1.024677e+09 +2.923551e+09 +5.217206e+11 +2.416129e+13 -1.257042e+15 -9.348237e+15 -4.570616e+20   +6.576835e-07 +1.694512e-04 -2.058599e-03 -2.397588e-02 +7.557083e+00 -2.199500e+02 -5.985486e+03 +3.795441e+05 -8.068844e+07 +6.041423e+08 -1.149243e+11 -1.114076e+13 +2.506514e+15 -8.864192e+16 -7.795309e+18   
S15-024   +1.995950e+00   +3.038575e-06 +1.749189e-04 -3.204698e+00 -4.929904e-02 -1.766272e+01 -9.706370e+01 -2.572092e+04 -3.960432e+05 +1.005923e+09 -6.574032e+09 -9.993266e+10 -2.799397e+13 +3.852018e+15 +5.609324e+16 -4.055303e+20   -1.569370e-06 +1.267740e-04 -9.473038e-04 +2.631826e-01 -8.732488e+00 +1.851872e+02 +4.142686e+03 -6.942098e+05 -4.400266e+08 +1.748889e+09 +4.645765e+11 -4.929860e+12 +3.266866e+14 -6.245136e+16 +6.295989e+19   
S15-025   +1.995650e+00   +3.110899e-06 +1.602141e-04 -3.213981e+00 -4.159386e-02 -1.861125e+00 -1.739904e+02 -1.458819e+04 -5.165550e+03 +1.009588e+09 -3.702471e+09 +2.183486e+11 -6.979145e+12 +2.159545e+15 +8.273580e+16 -4.106048e+20   -2.203609e-06 +2.340219e-04 -5.514023e-04 -4.958551e-02 +6.599414e-01 +1.807974e+02 -8.550387e+03 +6.351835e+05 -3.521055e+08 -1.315708e+09 +1.173368e+11 -4.182653e+13 -1.843757e+15 +1.436271e+17 +5.871330e+19   
S15-028   +1.995600e+00   +1.331199e-06 +2.141388e-04 -3.204427e+00 +8.073361e-02 -2.134913e+01 +2.802290e+02 -4.016618e+04 -7.966496e+05 +9.733484e+08 +3.698436e+09 +2.793870e+10 +2.073570e+13 -1.521925e+14 +2.743193e+17 -4.205391e+20   -1.945345e-06 +1.283569e-04 -7.679745e-04 +1.539962e-01 +1.760112e+00 +8.234456e+01 -8.413259e+03 -2.596725e+05 -4.103996e+08 -5.774915e+09 +5.318491e+11 +6.837703e+12 -1.355378e+15 +1.835675e+17 +6.009005e+19   
S15-039   +1.996350e+00   +6.792757e-06 -1.471786e-04 -3.270546e+00 -9.311664e-01 +3.079761e+01 -2.322642e+02 -2.338633e+03 -1.193777e+06 +1.158413e+09 +8.526997e+09 -9.946933e+11 +4.578447e+13 +2.110094e+15 +1.642115e+17 -4.747972e+20   -2.294733e-06 +5.252536e-04 -1.864640e-03 -1.372381e+00 +3.559324e+01 +2.058707e+02 -2.654118e+04 +1.536886e+06 -8.596759e+06 +1.297587e+10 -7.068851e+11 -2.899868e+13 -3.152825e+15 +4.218280e+17 -2.523751e+19   
S15-042   +1.995600e+00   +2.441229e-06 +2.338683e-04 -3.267949e+00 +2.375929e-01 -1.019895e+01 -5.067143e+02 -1.213835e+03 +4.793355e+05 +1.001524e+09 -3.650811e+09 +3.527969e+09 +2.153681e+13 +1.472551e+15 +1.236703e+17 -4.471928e+20   +1.243604e-06 +1.761262e-04 -3.175471e-03 -7.538715e-02 +8.270976e+00 -1.626043e+02 -2.693286e+04 +1.117732e+06 -1.071601e+08 -4.504580e+09 +1.124013e+10 -2.688184e+13 -2.954008e+15 +1.149835e+17 -1.343992e+18   
S15-049   +1.996100e+00   +1.688810e-06 +8.134758e-05 -3.199037e+00 -2.184811e-01 -2.941983e+01 +3.134549e+02 -3.151184e+04 -9.344893e+05 +1.119496e+09 +4.844887e+09 +3.043524e+11 -1.455864e+13 +2.840332e+15 +1.474185e+17 -4.312792e+20   +4.600922e-06 +1.345564e-04 -8.040764e-04 +1.272907e-01 -5.152432e+01 -3.159654e+01 +3.856226e+04 +2.174769e+05 -1.445059e+08 -4.535743e+09 +1.070913e+12 -2.329412e+13 -3.179303e+15 +1.661188e+17 -2.214461e+19   
S15-063   +1.994650e+00   +2.889035e-06 +3.901962e-05 -3.323453e+00 -4.865955e-01 -8.739964e+00 +3.253977e+02 -1.013791e+04 -1.782124e+06 +1.077507e+09 +6.075597e+09 -3.388177e+11 -5.895175e+12 +5.481027e+14 +1.457027e+17 -4.480529e+20   -3.332481e-06 -1.116132e-06 -1.902160e-03 +7.565337e-01 +6.382824e+01 +2.438161e+02 -6.096498e+04 -1.795749e+06 -9.038438e+06 -6.157892e+09 -1.043195e+12 -2.779479e+13 -2.430919e+15 +2.643083e+17 +9.083258e+18   
S15-064   +1.994600e+00   +3.351243e-06 +3.877008e-05 -3.293454e+00 -2.094199e-01 -1.024700e+01 +3.905740e+02 -2.776121e+04 -1.051994e+06 +1.038472e+09 -3.227135e+09 +9.158127e+09 -2.322883e+12 +2.127540e+15 +2.947269e+16 -4.539676e+20   +1.015630e-06 +2.050544e-04 -3.824201e-04 -1.394031e-01 -4.552846e+00 +5.913707e+01 +8.170260e+03 -2.636656e+04 -9.091933e+07 +1.863516e+09 +2.074445e+11 -1.963748e+13 -2.030223e+15 +2.377974e+17 +2.933383e+18   
S15-065   +1.994850e+00   +2.903725e-06 +1.751000e-04 -3.240617e+00 +9.190480e-02 -5.260280e+00 -1.871808e+02 -1.312646e+04 -4.007748e+05 +1.018750e+09 -3.072304e+09 -6.288227e+11 +1.497924e+13 -1.091937e+15 +2.298488e+16 -4.440624e+20   +1.333346e-06 +1.695982e-04 -1.476512e-03 +4.957518e-02 -1.262805e+00 +1.021896e+02 -7.105462e+03 -5.166033e+05 -1.325306e+08 +2.802840e+09 +1.355668e+11 +4.898088e+12 -1.220107e+15 +2.135736e+17 +5.335965e+18   
