# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-005   +4.999430e+01   +8.367340e-09 +8.179188e-05 -2.254357e+00 +2.200187e-03 -8.430817e+00 +1.179316e+02 -1.868952e+04 -2.071298e+04 +1.377105e+09 -6.769274e+08 +9.507090e+10 -2.246970e+12 +8.119046e+14 +5.095383e+16 -3.265546e+20   +1.234805e-07 +1.019310e-04 -6.118442e-04 +7.608111e-03 +1.623081e+00 +5.834921e+01 -1.467424e+03 -2.857310e+05 -3.111845e+07 -9.068738e+08 +3.740472e+10 -1.012431e+12 -3.868579e+14 +1.006154e+17 -3.734592e+18   
S15-007   +4.999440e+01   +2.621462e-07 +7.764670e-05 -2.254609e+00 -5.412840e-02 -9.085344e+00 +1.709580e+02 -2.298971e+04 -2.202897e+05 +1.281200e+09 +2.604770e+09 -1.032734e+11 +4.549502e+12 +3.016212e+14 +1.479573e+17 -3.040114e+20   +1.253468e-08 +1.108692e-04 +5.384547e-04 +1.390199e-02 -2.249534e-01 -3.598023e+01 +4.767480e+03 -6.480394e+05 -2.406478e+08 -2.504837e+09 +3.651043e+10 +9.281235e+12 -1.025593e+15 +1.341335e+17 +4.284322e+19   
S15-011   +4.999450e+01   +2.432618e-07 +5.655240e-05 -2.254554e+00 -5.812681e-02 -6.064723e+00 +6.050902e+01 -1.512696e+04 -1.160403e+05 +1.390820e+09 +4.847611e+07 +3.386639e+10 +1.634987e+11 +6.865727e+14 +3.477627e+16 -3.290332e+20   +1.585074e-07 +9.559240e-05 -1.864828e-03 +4.475106e-02 -2.317245e+00 +2.005999e+01 +4.741990e+03 -1.662015e+05 -5.008993e+07 -1.167964e+09 +5.859877e+10 -1.736470e+12 -5.488080e+14 +8.076110e+16 +1.247638e+18   
S15-012   +4.999430e+01   +2.283212e-07 +6.421310e-05 -2.253069e+00 -1.408581e-01 -7.947344e+00 +1.274853e+02 -1.629681e+04 -6.008487e+05 +1.395430e+09 +1.762471e+09 +9.364140e+10 +4.110915e+12 +3.579112e+14 +1.308605e+17 -3.265560e+20   +1.102661e-07 +9.615350e-05 -1.637627e-03 -2.866317e-02 -2.414055e+00 +2.913076e+01 +2.853741e+03 +3.002452e+04 -6.183427e+07 -6.031672e+08 +6.719784e+10 +2.247328e+12 -3.836335e+14 +5.963266e+16 +4.367864e+18   
S15-013   +4.999450e+01   +3.557693e-07 +8.105264e-05 -2.249015e+00 +5.192847e-02 -7.939669e+00 -2.129414e+02 -1.994611e+04 +1.503628e+05 +1.351362e+09 +1.929906e+09 +1.826644e+11 +6.524250e+12 +1.248249e+15 +8.061447e+16 -3.196462e+20   +1.787181e-07 +1.264910e-04 -5.602442e-04 +3.219576e-02 +2.860715e+00 +1.342255e+02 -5.015012e+03 -4.437634e+05 -1.726297e+08 +2.563930e+08 +1.915740e+11 -2.147938e+13 +3.651886e+14 +1.592115e+17 +2.047809e+19   
S15-015   +4.999465e+01   +3.326728e-07 +7.958108e-05 -2.254739e+00 -1.362977e-04 -4.397373e+00 -4.480103e+02 -1.250219e+04 -3.666056e+04 +1.490335e+09 -1.273064e+08 -4.832215e+10 +6.582332e+12 +5.848522e+14 +5.950317e+16 -3.344738e+20   -2.069779e-07 +1.134996e-04 -8.679489e-04 -3.007568e-02 -1.102871e+00 +1.999051e+00 +7.960542e+03 -2.957040e+05 -2.236121e+07 -3.423640e+08 +7.059363e+10 +3.379166e+12 -8.348781e+14 +1.314723e+17 -3.099094e+18   
S15-019   +4.999435e+01   +1.914738e-07 +7.441753e-05 -2.250276e+00 +5.321103e-03 -2.273017e+00 +3.726481e+01 -9.220588e+03 -2.108530e+05 +1.392252e+09 -1.700734e+08 -1.594729e+11 +9.825666e+12 +2.546086e+14 +1.233803e+17 -3.199494e+20   -6.857245e-08 +1.358367e-04 +5.634753e-04 -4.783523e-02 -7.549893e+00 +2.468563e+01 +1.371205e+04 -3.506428e+05 -1.947792e+08 -1.446025e+08 +1.038128e+11 -2.958194e+12 -4.872729e+14 +9.331706e+16 +2.942362e+19   
S15-020   +4.999420e+01   +2.265179e-07 +7.514556e-05 -2.254370e+00 -3.893684e-02 -3.241972e+00 -3.569316e+01 -1.047447e+04 -8.396196e+04 +1.467976e+09 +2.995249e+08 -7.627857e+10 +2.708732e+12 +8.581671e+14 +6.296112e+16 -3.339467e+20   +1.372421e-07 +1.194602e-04 -2.317239e-03 -1.407264e-02 -7.011637e-01 +4.655728e+01 +9.240820e+02 -2.109529e+05 -6.464928e+07 -2.724722e+07 +9.083280e+10 -4.762672e+12 -2.370187e+14 +1.171422e+17 +5.614903e+17   
S15-022   +4.999415e+01   +1.770880e-07 +9.872177e-05 -2.247845e+00 -4.807064e-02 -7.430991e+00 +1.770453e+01 -1.591204e+04 -3.293599e+05 +1.482769e+09 +4.665642e+08 +1.145736e+11 +1.076344e+12 +6.754604e+14 +1.082598e+17 -3.353648e+20   +4.730131e-10 +1.228997e-04 -1.765189e-03 -4.416723e-02 +6.899667e+00 +1.338971e+01 -1.229212e+04 -8.456049e+04 -8.416025e+07 +1.865617e+08 -7.697689e+10 +2.196877e+12 -2.354233e+14 +1.023195e+17 +3.826098e+18   
S15-023   +4.999455e+01   +2.767752e-07 +1.014667e-04 -2.251257e+00 +3.647840e-03 -2.803830e+00 +5.801716e+02 -7.447426e+03 -1.622209e+04 +1.469832e+09 -3.451916e+08 +8.212345e+10 -3.772523e+11 +2.712702e+14 +6.620816e+16 -3.294843e+20   +1.093227e-07 +1.133274e-04 -1.054939e-03 -2.463240e-02 +1.830866e+00 -5.152734e+00 -4.183820e+03 +7.269912e+04 -3.729899e+07 -1.881903e+09 +2.313678e+10 +1.117086e+12 +1.745748e+14 +6.908737e+16 -5.984886e+18   
S15-024   +4.999445e+01   +4.007051e-07 +1.187676e-04 -2.250324e+00 -7.193532e-02 -8.219922e+00 -3.977696e+01 -1.943002e+04 -2.467194e+05 +1.349764e+09 -1.314185e+09 -6.277213e+10 +3.507699e+11 +5.491298e+14 +6.793484e+16 -3.048558e+20   -1.590700e-07 +1.427927e-04 -5.997546e-04 -5.700641e-02 -5.949504e-03 -1.494157e+01 +6.326162e+02 -1.197145e+05 -2.634334e+08 +9.077360e+08 +4.846232e+10 +5.414143e+12 -1.525773e+14 +1.211108e+17 +3.698643e+19   
S15-025   +4.999440e+01   +2.532542e-07 +1.093095e-04 -2.249946e+00 -1.260072e-02 -2.765166e+00 -1.935335e+02 -8.813373e+03 -9.775571e+04 +1.339053e+09 -9.781199e+08 -1.833220e+10 +5.322322e+11 +1.127202e+15 +1.194617e+17 -3.037408e+20   -1.647090e-07 +1.647647e-04 -5.170089e-04 -4.205203e-02 -1.960196e+00 +4.999052e+01 +5.445968e+03 -5.786834e+04 -2.422667e+08 -1.380747e+09 -1.882046e+11 -1.251769e+13 -4.547115e+14 +1.289297e+17 +3.455355e+19   
S15-028   +4.999440e+01   +2.785832e-08 +1.241961e-04 -2.250458e+00 -6.064037e-02 -7.614865e+00 +1.778655e+02 -1.384483e+04 -6.513718e+05 +1.321666e+09 +2.631329e+09 +5.978492e+10 +7.660006e+12 +1.146640e+15 +1.591572e+17 -3.064555e+20   -2.616751e-07 +1.339063e-04 -4.934307e-04 -3.668223e-02 +3.160248e+00 +2.180210e+01 -2.926498e+03 -3.622270e+05 -2.924770e+08 -1.162878e+08 +1.341371e+11 +5.903779e+12 -9.183887e+12 +1.279672e+17 +3.884459e+19   
S15-039   +4.999695e+01   -1.497381e-08 +6.509247e-05 -2.248657e+00 -2.458252e-03 -1.141768e+01 -1.433335e+02 -2.243257e+04 +1.613214e+05 +1.477050e+09 +4.184387e+08 +1.028077e+11 +5.188701e+12 +6.678901e+14 +5.274024e+16 -3.272040e+20   +2.146197e-07 +1.036160e-04 -9.261987e-04 +6.259784e-02 -6.765243e+00 +3.901646e+01 +1.081388e+04 -5.392573e+05 -2.181551e+07 -4.349215e+08 +9.488723e+10 -4.798481e+12 -9.070949e+14 +1.438744e+17 -6.478521e+18   
S15-042   +4.999440e+01   +1.920805e-07 +9.276797e-05 -2.251888e+00 -9.155471e-02 -1.263095e+00 -1.911231e+02 -5.129613e+03 -2.382075e+05 +1.416115e+09 +1.556078e+09 +2.164130e+10 +1.834953e+12 +3.240281e+14 +1.189934e+17 -3.192000e+20   +1.387304e-08 +1.123608e-04 -2.102501e-03 -4.991913e-04 +6.181466e+00 -6.063825e+01 -8.575592e+03 -6.445630e+04 -5.737389e+07 -7.448672e+08 -7.218060e+10 +4.058553e+12 -2.278891e+14 +9.664920e+16 -1.668549e+18   
S15-049   +4.999540e+01   +4.076141e-08 +8.696378e-05 -2.248575e+00 -2.860483e-02 -7.869470e+00 +1.815779e+02 -1.662916e+04 -3.571893e+05 +1.468181e+09 -3.429049e+08 +5.364097e+10 +2.386964e+12 +3.148666e+14 +7.638999e+16 -3.237182e+20   -8.254021e-08 +1.365131e-04 -7.590600e-05 -6.435232e-02 +2.738696e+00 -2.325902e+01 -4.555343e+02 +1.063551e+05 -7.310331e+07 -1.791100e+08 +2.441213e+09 +2.425543e+11 -4.079263e+14 +1.098416e+17 +7.498844e+18   
S15-063   +4.999395e+01   +1.198193e-07 +9.303406e-05 -2.246986e+00 -2.018592e-02 -3.806793e+00 +1.755280e+02 -9.129989e+03 -2.682445e+05 +1.457497e+09 -3.358862e+08 +1.768354e+10 -2.665963e+12 +6.133828e+14 +9.318202e+16 -3.255804e+20   +4.004835e-07 +1.482048e-04 -7.736918e-04 -1.265741e-01 -8.323017e+00 +5.882208e+01 +1.239221e+04 +1.045017e+05 -5.677015e+07 +1.286056e+09 +1.436821e+11 -4.926890e+11 -9.201563e+14 +1.418703e+17 +2.735413e+18   
