X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-13.	0.	-800.	-5.43993e-8	3.23572e-7	-3.74957e-7
-12.	0.	-800.	-5.03448e-8	3.2417e-7	-3.76344e-7
-11.	0.	-800.	-4.62573e-8	3.24719e-7	-3.77616e-7
-10.	0.	-800.	-4.21433e-8	3.25224e-7	-3.78785e-7
-9.	0.	-800.	-3.80037e-8	3.25685e-7	-3.79845e-7
-8.	0.	-800.	-3.38411e-8	3.26091e-7	-3.80797e-7
-7.	0.	-800.	-2.96567e-8	3.26457e-7	-3.8164e-7
-6.	0.	-800.	-2.54568e-8	3.26767e-7	-3.82368e-7
-5.	0.	-800.	-2.12309e-8	3.27038e-7	-3.82986e-7
-4.	0.	-800.	-1.70021e-8	3.27253e-7	-3.83494e-7
-3.	0.	-800.	-1.27585e-8	3.27425e-7	-3.83894e-7
-2.	0.	-800.	-8.51035e-9	3.27547e-7	-3.84168e-7
-1.	0.	-800.	-4.25901e-9	3.27617e-7	-3.84341e-7
0.	0.	-800.	-2.90407e-12	3.27641e-7	-3.84401e-7
1.	0.	-800.	4.25605e-9	3.27619e-7	-3.84337e-7
2.	0.	-800.	8.50697e-9	3.27543e-7	-3.8417e-7
3.	0.	-800.	1.27645e-8	3.27426e-7	-3.83892e-7
4.	0.	-800.	1.70064e-8	3.27257e-7	-3.83493e-7
5.	0.	-800.	2.12327e-8	3.27037e-7	-3.82987e-7
6.	0.	-800.	2.54501e-8	3.2677e-7	-3.82371e-7
7.	0.	-800.	2.96546e-8	3.26459e-7	-3.81638e-7
8.	0.	-800.	3.38365e-8	3.26094e-7	-3.80797e-7
9.	0.	-800.	3.80013e-8	3.25686e-7	-3.79845e-7
10.	0.	-800.	4.21377e-8	3.25221e-7	-3.78784e-7
11.	0.	-800.	4.62552e-8	3.24721e-7	-3.77619e-7
12.	0.	-800.	5.03449e-8	3.2417e-7	-3.7634e-7
13.	0.	-800.	5.43966e-8	3.2357e-7	-3.74957e-7
-13.	0.	-799.5	-5.51273e-8	3.27192e-7	-3.79104e-7
-12.	0.	-799.5	-5.1015e-8	3.27801e-7	-3.80506e-7
-11.	0.	-799.5	-4.68736e-8	3.28363e-7	-3.81803e-7
-10.	0.	-799.5	-4.27052e-8	3.28874e-7	-3.82989e-7
-9.	0.	-799.5	-3.85078e-8	3.29339e-7	-3.84063e-7
-8.	0.	-799.5	-3.4287e-8	3.29759e-7	-3.85031e-7
-7.	0.	-799.5	-3.00519e-8	3.30123e-7	-3.85888e-7
