X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-13.	0.	-800.	-1.51198e-8	3.5191e-7	-1.02417e-7
-12.	0.	-800.	-1.39945e-8	3.5258e-7	-1.0281e-7
-11.	0.	-800.	-1.28581e-8	3.53198e-7	-1.0317e-7
-10.	0.	-800.	-1.17211e-8	3.53762e-7	-1.035e-7
-9.	0.	-800.	-1.05696e-8	3.54275e-7	-1.03805e-7
-8.	0.	-800.	-9.40819e-9	3.54735e-7	-1.04071e-7
-7.	0.	-800.	-8.24321e-9	3.55143e-7	-1.04309e-7
-6.	0.	-800.	-7.07433e-9	3.55496e-7	-1.04515e-7
-5.	0.	-800.	-5.90318e-9	3.55794e-7	-1.04684e-7
-4.	0.	-800.	-4.72915e-9	3.56035e-7	-1.0483e-7
-3.	0.	-800.	-3.55494e-9	3.56224e-7	-1.04943e-7
-2.	0.	-800.	-2.36477e-9	3.56364e-7	-1.05024e-7
-1.	0.	-800.	-1.17988e-9	3.56445e-7	-1.05072e-7
0.	0.	-800.	3.3242e-12	3.56471e-7	-1.05087e-7
1.	0.	-800.	1.18098e-9	3.56442e-7	-1.05072e-7
2.	0.	-800.	2.36803e-9	3.56364e-7	-1.05023e-7
3.	0.	-800.	3.54681e-9	3.56227e-7	-1.04943e-7
4.	0.	-800.	4.72867e-9	3.56036e-7	-1.04835e-7
5.	0.	-800.	5.90512e-9	3.55792e-7	-1.0469e-7
6.	0.	-800.	7.07521e-9	3.55495e-7	-1.04516e-7
7.	0.	-800.	8.24462e-9	3.5514e-7	-1.04308e-7
8.	0.	-800.	9.40704e-9	3.54735e-7	-1.04069e-7
9.	0.	-800.	1.05657e-8	3.54278e-7	-1.03797e-7
10.	0.	-800.	1.17183e-8	3.53766e-7	-1.03503e-7
11.	0.	-800.	1.28599e-8	3.532e-7	-1.03171e-7
12.	0.	-800.	1.39964e-8	3.52583e-7	-1.02808e-7
13.	0.	-800.	1.51187e-8	3.51911e-7	-1.02423e-7
-13.	0.	-799.5	-1.53243e-8	3.5591e-7	-1.03572e-7
-12.	0.	-799.5	-1.41811e-8	3.56591e-7	-1.03968e-7
-11.	0.	-799.5	-1.30336e-8	3.5722e-7	-1.04333e-7
-10.	0.	-799.5	-1.18755e-8	3.57792e-7	-1.04671e-7
-9.	0.	-799.5	-1.07061e-8	3.58316e-7	-1.04977e-7
-8.	0.	-799.5	-9.53334e-9	3.58783e-7	-1.05252e-7
-7.	0.	-799.5	-8.35329e-9	3.59193e-7	-1.05489e-7
-6.	0.	-799.5	-7.17321e-9	3.59551e-7	-1.05701e-7
-5.	0.	-799.5	-5.98558e-9	3.59851e-7	-1.05874e-7
-4.	0.	-799.5	-4.79238e-9	3.60099e-7	-1.06021e-7
-3.	0.	-799.5	-3.59801e-9	3.60293e-7	-1.06135e-7
-2.	0.	-799.5	-2.3973e-9	3.60435e-7	-1.06216e-7
-1.	0.	-799.5	-1.20016e-9	3.60516e-7	-1.06263e-7
0.	0.	-799.5	-3.51741e-12	3.60542e-7	-1.06282e-7
1.	0.	-799.5	1.20056e-9	3.60517e-7	-1.06265e-7
2.	0.	-799.5	2.39712e-9	3.60433e-7	-1.06216e-7
3.	0.	-799.5	3.59813e-9	3.60295e-7	-1.06136e-7
4.	0.	-799.5	4.79317e-9	3.60101e-7	-1.06023e-7
5.	0.	-799.5	5.98784e-9	3.59855e-7	-1.05878e-7
6.	0.	-799.5	7.17466e-9	3.59553e-7	-1.057e-7
7.	0.	-799.5	8.35311e-9	3.59192e-7	-1.05488e-7
8.	0.	-799.5	9.53414e-9	3.5878e-7	-1.05244e-7
9.	0.	-799.5	1.07106e-8	3.58317e-7	-1.04971e-7
10.	0.	-799.5	1.18714e-8	3.57794e-7	-1.04668e-7
11.	0.	-799.5	1.30285e-8	3.57216e-7	-1.04336e-7
12.	0.	-799.5	1.41836e-8	3.56593e-7	-1.0397e-7
13.	0.	-799.5	1.53191e-8	3.55909e-7	-1.03573e-7
-13.	0.	-799.	-1.55312e-8	3.59966e-7	-1.04735e-7
-12.	0.	-799.	-1.43802e-8	3.60652e-7	-1.05141e-7
-11.	0.	-799.	-1.3207e-8	3.61294e-7	-1.05516e-7
-10.	0.	-799.	-1.20409e-8	3.61871e-7	-1.05857e-7
-9.	0.	-799.	-1.08554e-8	3.62408e-7	-1.06163e-7
-8.	0.	-799.	-9.66695e-9	3.62878e-7	-1.06441e-7
-7.	0.	-799.	-8.46977e-9	3.63299e-7	-1.06684e-7
-6.	0.	-799.	-7.26806e-9	3.63663e-7	-1.06899e-7
-5.	0.	-799.	-6.06732e-9	3.63969e-7	-1.07076e-7
-4.	0.	-799.	-4.85079e-9	3.64224e-7	-1.07228e-7
-3.	0.	-799.	-3.64356e-9	3.64419e-7	-1.0734e-7
-2.	0.	-799.	-2.43185e-9	3.6456e-7	-1.07425e-7
-1.	0.	-799.	-1.2175e-9	3.64644e-7	-1.07476e-7
0.	0.	-799.	2.7843e-12	3.6467e-7	-1.07489e-7
1.	0.	-799.	1.21625e-9	3.64644e-7	-1.07477e-7
2.	0.	-799.	2.43105e-9	3.6456e-7	-1.07426e-7
3.	0.	-799.	3.64824e-9	3.6442e-7	-1.07341e-7
4.	0.	-799.	4.85888e-9	3.64221e-7	-1.07225e-7
5.	0.	-799.	6.06453e-9	3.6397e-7	-1.07079e-7
6.	0.	-799.	7.27144e-9	3.6366e-7	-1.06898e-7
7.	0.	-799.	8.47149e-9	3.63298e-7	-1.06684e-7
8.	0.	-799.	9.66083e-9	3.62877e-7	-1.0644e-7
9.	0.	-799.	1.08503e-8	3.62403e-7	-1.06164e-7
10.	0.	-799.	1.20365e-8	3.61877e-7	-1.05852e-7
11.	0.	-799.	1.32124e-8	3.61297e-7	-1.0551e-7
12.	0.	-799.	1.43723e-8	3.60656e-7	-1.05137e-7
13.	0.	-799.	1.55316e-8	3.59965e-7	-1.04737e-7
-13.	0.	-798.5	-1.57408e-8	3.64076e-7	-1.05915e-7
-12.	0.	-798.5	-1.45739e-8	3.64773e-7	-1.0633e-7
-11.	0.	-798.5	-1.33874e-8	3.65423e-7	-1.06708e-7
-10.	0.	-798.5	-1.21983e-8	3.66018e-7	-1.07054e-7
-9.	0.	-798.5	-1.10036e-8	3.66553e-7	-1.07366e-7
-8.	0.	-798.5	-9.79647e-9	3.67036e-7	-1.0765e-7
-7.	0.	-798.5	-8.58428e-9	3.6746e-7	-1.07895e-7
-6.	0.	-798.5	-7.37052e-9	3.6783e-7	-1.08116e-7
-5.	0.	-798.5	-6.14702e-9	3.68143e-7	-1.08299e-7
-4.	0.	-798.5	-4.92154e-9	3.68402e-7	-1.08449e-7
-3.	0.	-798.5	-3.69526e-9	3.68602e-7	-1.08565e-7
-2.	0.	-798.5	-2.46847e-9	3.6874e-7	-1.08648e-7
-1.	0.	-798.5	-1.23354e-9	3.68826e-7	-1.08699e-7
0.	0.	-798.5	2.15946e-12	3.68854e-7	-1.08714e-7
1.	0.	-798.5	1.23449e-9	3.68828e-7	-1.087e-7
2.	0.	-798.5	2.47018e-9	3.68743e-7	-1.08651e-7
3.	0.	-798.5	3.69777e-9	3.68599e-7	-1.08567e-7
4.	0.	-798.5	4.9269e-9	3.68401e-7	-1.08452e-7
5.	0.	-798.5	6.14606e-9	3.68143e-7	-1.08297e-7
6.	0.	-798.5	7.36868e-9	3.67827e-7	-1.08114e-7
7.	0.	-798.5	8.58846e-9	3.67464e-7	-1.07902e-7
8.	0.	-798.5	9.79279e-9	3.67035e-7	-1.0765e-7
9.	0.	-798.5	1.10005e-8	3.66554e-7	-1.07369e-7
10.	0.	-798.5	1.22007e-8	3.66017e-7	-1.07055e-7
11.	0.	-798.5	1.33859e-8	3.65422e-7	-1.06709e-7
12.	0.	-798.5	1.45713e-8	3.64777e-7	-1.06326e-7
13.	0.	-798.5	1.57432e-8	3.64074e-7	-1.05919e-7
-13.	0.	-798.	-1.59564e-8	3.6824e-7	-1.07115e-7
-12.	0.	-798.	-1.47698e-8	3.68953e-7	-1.07534e-7
-11.	0.	-798.	-1.35759e-8	3.69609e-7	-1.07916e-7
-10.	0.	-798.	-1.23666e-8	3.70213e-7	-1.0827e-7
-9.	0.	-798.	-1.11514e-8	3.70758e-7	-1.08586e-7
-8.	0.	-798.	-9.93237e-9	3.71247e-7	-1.08876e-7
-7.	0.	-798.	-8.70673e-9	3.71678e-7	-1.09129e-7
-6.	0.	-798.	-7.47009e-9	3.72057e-7	-1.09348e-7
-5.	0.	-798.	-6.23183e-9	3.72372e-7	-1.09536e-7
-4.	0.	-798.	-4.98949e-9	3.72634e-7	-1.09688e-7
-3.	0.	-798.	-3.74821e-9	3.72835e-7	-1.09805e-7
-2.	0.	-798.	-2.5036e-9	3.7298e-7	-1.09891e-7
-1.	0.	-798.	-1.25244e-9	3.73066e-7	-1.09943e-7
0.	0.	-798.	-8.91737e-13	3.73095e-7	-1.09958e-7
1.	0.	-798.	1.24989e-9	3.73068e-7	-1.09942e-7
2.	0.	-798.	2.50066e-9	3.72985e-7	-1.09893e-7
