X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-13.	0.	-800.	-4.22357e-8	3.32343e-7	-2.89493e-7
-12.	0.	-800.	-3.90894e-8	3.32964e-7	-2.90571e-7
-11.	0.	-800.	-3.5909e-8	3.3354e-7	-2.91568e-7
-10.	0.	-800.	-3.27256e-8	3.34055e-7	-2.9248e-7
-9.	0.	-800.	-2.95072e-8	3.34532e-7	-2.93304e-7
-8.	0.	-800.	-2.62732e-8	3.34958e-7	-2.94051e-7
-7.	0.	-800.	-2.30254e-8	3.35333e-7	-2.94705e-7
-6.	0.	-800.	-1.97675e-8	3.35655e-7	-2.95277e-7
-5.	0.	-800.	-1.64918e-8	3.35932e-7	-2.9576e-7
-4.	0.	-800.	-1.32052e-8	3.36156e-7	-2.96151e-7
-3.	0.	-800.	-9.90726e-9	3.36334e-7	-2.96465e-7
-2.	0.	-800.	-6.6144e-9	3.36458e-7	-2.96683e-7
-1.	0.	-800.	-3.30527e-9	3.36536e-7	-2.96819e-7
0.	0.	-800.	2.62542e-13	3.36563e-7	-2.96863e-7
1.	0.	-800.	3.3004e-9	3.36536e-7	-2.96816e-7
2.	0.	-800.	6.61219e-9	3.36462e-7	-2.96684e-7
3.	0.	-800.	9.91052e-9	3.36335e-7	-2.96462e-7
4.	0.	-800.	1.32027e-8	3.36159e-7	-2.96151e-7
5.	0.	-800.	1.6489e-8	3.35935e-7	-2.9576e-7
6.	0.	-800.	1.97648e-8	3.35659e-7	-2.95276e-7
7.	0.	-800.	2.30272e-8	3.35334e-7	-2.94706e-7
8.	0.	-800.	2.62788e-8	3.34959e-7	-2.94047e-7
9.	0.	-800.	2.95077e-8	3.34533e-7	-2.93305e-7
10.	0.	-800.	3.27217e-8	3.34059e-7	-2.92477e-7
11.	0.	-800.	3.59188e-8	3.33536e-7	-2.91567e-7
12.	0.	-800.	3.90904e-8	3.32966e-7	-2.90573e-7
13.	0.	-800.	4.22369e-8	3.32343e-7	-2.89493e-7
-13.	0.	-799.5	-4.27992e-8	3.36084e-7	-2.92709e-7
-12.	0.	-799.5	-3.96119e-8	3.36711e-7	-2.93806e-7
-11.	0.	-799.5	-3.63996e-8	3.3729e-7	-2.94817e-7
-10.	0.	-799.5	-3.31634e-8	3.37821e-7	-2.95745e-7
-9.	0.	-799.5	-2.98982e-8	3.38309e-7	-2.96583e-7
-8.	0.	-799.5	-2.66305e-8	3.38736e-7	-2.97336e-7
-7.	0.	-799.5	-2.33334e-8	3.39116e-7	-2.98005e-7
-6.	0.	-799.5	-2.00283e-8	3.39448e-7	-2.98584e-7
-5.	0.	-799.5	-1.67098e-8	3.39728e-7	-2.99074e-7
-4.	0.	-799.5	-1.33804e-8	3.39957e-7	-2.99476e-7
-3.	0.	-799.5	-1.00488e-8	3.40132e-7	-2.99793e-7
-2.	0.	-799.5	-6.69819e-9	3.40263e-7	-3.0001e-7
-1.	0.	-799.5	-3.3532e-9	3.40338e-7	-3.00146e-7
0.	0.	-799.5	8.01091e-13	3.40365e-7	-3.0019e-7
1.	0.	-799.5	3.35088e-9	3.40343e-7	-3.00149e-7
2.	0.	-799.5	6.6997e-9	3.40266e-7	-3.00016e-7
3.	0.	-799.5	1.00426e-8	3.40137e-7	-2.99788e-7
4.	0.	-799.5	1.33793e-8	3.3996e-7	-2.99477e-7
5.	0.	-799.5	1.67114e-8	3.39729e-7	-2.99073e-7
6.	0.	-799.5	2.00298e-8	3.39451e-7	-2.98583e-7
7.	0.	-799.5	2.33322e-8	3.39116e-7	-2.98003e-7
8.	0.	-799.5	2.66272e-8	3.38735e-7	-2.97336e-7
9.	0.	-799.5	2.99023e-8	3.38301e-7	-2.96585e-7
10.	0.	-799.5	3.31597e-8	3.37822e-7	-2.95742e-7
11.	0.	-799.5	3.6395e-8	3.37291e-7	-2.94816e-7
12.	0.	-799.5	3.96071e-8	3.36709e-7	-2.93806e-7
13.	0.	-799.5	4.28015e-8	3.36081e-7	-2.92711e-7
-13.	0.	-799.	-4.33737e-8	3.39869e-7	-2.95964e-7
-12.	0.	-799.	-4.01407e-8	3.40509e-7	-2.9708e-7
-11.	0.	-799.	-3.688e-8	3.41102e-7	-2.98109e-7
-10.	0.	-799.	-3.35997e-8	3.41641e-7	-2.99048e-7
-9.	0.	-799.	-3.0307e-8	3.42126e-7	-2.99903e-7
-8.	0.	-799.	-2.69788e-8	3.42569e-7	-3.00667e-7
-7.	0.	-799.	-2.3648e-8	3.42952e-7	-3.01348e-7
-6.	0.	-799.	-2.03034e-8	3.43286e-7	-3.01933e-7
-5.	0.	-799.	-1.69343e-8	3.43575e-7	-3.02433e-7
-4.	0.	-799.	-1.35631e-8	3.43807e-7	-3.02842e-7
-3.	0.	-799.	-1.01769e-8	3.4399e-7	-3.03159e-7
-2.	0.	-799.	-6.78901e-9	3.44116e-7	-3.03384e-7
-1.	0.	-799.	-3.39932e-9	3.44192e-7	-3.03522e-7
0.	0.	-799.	-2.89642e-12	3.4422e-7	-3.03569e-7
1.	0.	-799.	3.39588e-9	3.44196e-7	-3.03521e-7
2.	0.	-799.	6.78914e-9	3.44117e-7	-3.03386e-7
3.	0.	-799.	1.01734e-8	3.43985e-7	-3.03158e-7
4.	0.	-799.	1.35585e-8	3.43806e-7	-3.02842e-7
5.	0.	-799.	1.69356e-8	3.43572e-7	-3.02429e-7
6.	0.	-799.	2.02959e-8	3.43291e-7	-3.0193e-7
7.	0.	-799.	2.36519e-8	3.42953e-7	-3.01351e-7
8.	0.	-799.	2.69868e-8	3.42566e-7	-3.00667e-7
9.	0.	-799.	3.03095e-8	3.42129e-7	-2.99902e-7
10.	0.	-799.	3.361e-8	3.41639e-7	-2.9905e-7
11.	0.	-799.	3.68855e-8	3.41102e-7	-2.98109e-7
12.	0.	-799.	4.01379e-8	3.40508e-7	-2.97079e-7
13.	0.	-799.	4.33776e-8	3.39871e-7	-2.95966e-7
-13.	0.	-798.5	-4.3958e-8	3.43707e-7	-2.99269e-7
-12.	0.	-798.5	-4.06791e-8	3.44361e-7	-3.00401e-7
-11.	0.	-798.5	-3.73823e-8	3.44957e-7	-3.01444e-7
-10.	0.	-798.5	-3.40629e-8	3.45504e-7	-3.024e-7
-9.	0.	-798.5	-3.07105e-8	3.46003e-7	-3.03267e-7
-8.	0.	-798.5	-2.73517e-8	3.46446e-7	-3.04047e-7
-7.	0.	-798.5	-2.39656e-8	3.46843e-7	-3.04732e-7
-6.	0.	-798.5	-2.05694e-8	3.47186e-7	-3.05327e-7
-5.	0.	-798.5	-1.71682e-8	3.47468e-7	-3.05833e-7
-4.	0.	-798.5	-1.3748e-8	3.47706e-7	-3.06252e-7
-3.	0.	-798.5	-1.0317e-8	3.47892e-7	-3.06573e-7
-2.	0.	-798.5	-6.88024e-9	3.48023e-7	-3.06804e-7
-1.	0.	-798.5	-3.44252e-9	3.48103e-7	-3.06944e-7
0.	0.	-798.5	-1.57302e-12	3.48129e-7	-3.06991e-7
1.	0.	-798.5	3.43861e-9	3.48099e-7	-3.06942e-7
2.	0.	-798.5	6.88031e-9	3.48024e-7	-3.0681e-7
3.	0.	-798.5	1.03107e-8	3.47893e-7	-3.06576e-7
4.	0.	-798.5	1.37451e-8	3.47712e-7	-3.06253e-7
5.	0.	-798.5	1.71609e-8	3.4747e-7	-3.05836e-7
6.	0.	-798.5	2.05726e-8	3.47183e-7	-3.05333e-7
7.	0.	-798.5	2.39697e-8	3.4684e-7	-3.04735e-7
8.	0.	-798.5	2.73498e-8	3.46446e-7	-3.04044e-7
9.	0.	-798.5	3.07165e-8	3.46004e-7	-3.03265e-7
10.	0.	-798.5	3.40575e-8	3.45506e-7	-3.02399e-7
11.	0.	-798.5	3.73827e-8	3.44957e-7	-3.01442e-7
12.	0.	-798.5	4.06783e-8	3.44356e-7	-3.00405e-7
13.	0.	-798.5	4.39601e-8	3.43711e-7	-2.99269e-7
-13.	0.	-798.	-4.45455e-8	3.476e-7	-3.02619e-7
-12.	0.	-798.	-4.12311e-8	3.48258e-7	-3.03768e-7
-11.	0.	-798.	-3.78833e-8	3.4887e-7	-3.04827e-7
-10.	0.	-798.	-3.45152e-8	3.49427e-7	-3.05798e-7
-9.	0.	-798.	-3.11279e-8	3.49928e-7	-3.06677e-7
-8.	0.	-798.	-2.7722e-8	3.50381e-7	-3.07467e-7
-7.	0.	-798.	-2.4293e-8	3.50781e-7	-3.08168e-7
-6.	0.	-798.	-2.08505e-8	3.5113e-7	-3.08773e-7
-5.	0.	-798.	-1.7393e-8	3.51426e-7	-3.09286e-7
-4.	0.	-798.	-1.39302e-8	3.51663e-7	-3.09709e-7
-3.	0.	-798.	-1.04557e-8	3.5185e-7	-3.10033e-7
-2.	0.	-798.	-6.9718e-9	3.51984e-7	-3.10269e-7
-1.	0.	-798.	-3.4845e-9	3.52066e-7	-3.10412e-7
0.	0.	-798.	2.1761e-12	3.52093e-7	-3.10457e-7
1.	0.	-798.	3.48578e-9	3.52062e-7	-3.10414e-7
2.	0.	-798.	6.97085e-9	3.51984e-7	-3.10272e-7
3.	0.	-798.	1.04548e-8	3.51852e-7	-3.10038e-7
4.	0.	-798.	1.39262e-8	3.51661e-7	-3.09709e-7
5.	0.	-798.	1.73971e-8	3.51422e-7	-3.09283e-7
6.	0.	-798.	2.08513e-8	3.5113e-7	-3.08774e-7
7.	0.	-798.	2.42933e-8	3.50781e-7	-3.08163e-7
8.	0.	-798.	2.77194e-8	3.50382e-7	-3.07465e-7
9.	0.	-798.	3.11322e-8	3.49931e-7	-3.06678e-7
10.	0.	-798.	3.4517e-8	3.49423e-7	-3.05797e-7
11.	0.	-798.	3.78815e-8	3.48865e-7	-3.04826e-7
12.	0.	-798.	4.12337e-8	3.48261e-7	-3.03765e-7
13.	0.	-798.	4.45492e-8	3.47602e-7	-3.02618e-7
-13.	0.	-797.5	-4.51528e-8	3.51543e-7	-3.06012e-7
-12.	0.	-797.5	-4.17857e-8	3.52212e-7	-3.07172e-7
-11.	0.	-797.5	-3.83982e-8	3.52833e-7	-3.0825e-7
-10.	0.	-797.5	-3.49845e-8	3.53399e-7	-3.09239e-7
-9.	0.	-797.5	-3.15508e-8	3.53912e-7	-3.10131e-7
-8.	0.	-797.5	-2.80987e-8	3.54369e-7	-3.10939e-7
-7.	0.	-797.5	-2.46195e-8	3.54776e-7	-3.11644e-7
-6.	0.	-797.5	-2.11327e-8	3.5513e-7	-3.12258e-7
-5.	0.	-797.5	-1.76315e-8	3.55427e-7	-3.12783e-7
-4.	0.	-797.5	-1.41171e-8	3.55673e-7	-3.13212e-7
-3.	0.	-797.5	-1.05973e-8	3.55861e-7	-3.13542e-7
-2.	0.	-797.5	-7.06977e-9	3.55995e-7	-3.13782e-7
-1.	0.	-797.5	-3.53381e-9	3.5608e-7	-3.13925e-7
0.	0.	-797.5	6.77235e-13	3.5611e-7	-3.13975e-7
1.	0.	-797.5	3.53209e-9	3.56077e-7	-3.13928e-7
2.	0.	-797.5	7.06739e-9	3.55998e-7	-3.13787e-7
3.	0.	-797.5	1.05965e-8	3.55861e-7	-3.13546e-7
4.	0.	-797.5	1.41168e-8	3.55669e-7	-3.13208e-7
5.	0.	-797.5	1.76316e-8	3.55428e-7	-3.12781e-7
6.	0.	-797.5	2.11307e-8	3.55127e-7	-3.12263e-7
7.	0.	-797.5	2.46204e-8	3.54776e-7	-3.11646e-7
