# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -5.8350229878324100e-01 +0.0000000000000000e+00
1.0000000000000001e-01 -2.9154932264895923e-07 +0.0000000000000000e+00 +9.9999999999433348e-02 +0.0000000000000000e+00 -5.8350230105890000e-01 +0.0000000000000000e+00
2.0000000000000001e-01 -1.1661972928600089e-06 +0.0000000000000000e+00 +1.9999999999546664e-01 +0.0000000000000000e+00 -5.8350230788587698e-01 +0.0000000000000000e+00
3.0000000000000004e-01 -2.6239439174256649e-06 +0.0000000000000000e+00 +2.9999999998469984e-01 +0.0000000000000000e+00 -5.8350231926417206e-01 +0.0000000000000000e+00
4.0000000000000002e-01 -4.6647892076667870e-06 +0.0000000000000000e+00 +3.9999999996373292e-01 +0.0000000000000000e+00 -5.8350233519378536e-01 +0.0000000000000000e+00
5.0000000000000000e-01 -7.2887331794325784e-06 +0.0000000000000000e+00 +4.9999999992916583e-01 +0.0000000000000000e+00 -5.8350235567471687e-01 +0.0000000000000000e+00
5.9999999999999998e-01 -1.0495775853100588e-05 +0.0000000000000000e+00 +5.9999999987759856e-01 +0.0000000000000000e+00 -5.8350238070696681e-01 +0.0000000000000000e+00
6.9999999999999996e-01 -1.4285917253576711e-05 +0.0000000000000000e+00 +6.9999999980563099e-01 +0.0000000000000000e+00 -5.8350241029053540e-01 +0.0000000000000000e+00
7.9999999999999993e-01 -1.8659157410295179e-05 +0.0000000000000000e+00 +7.9999999970986324e-01 +0.0000000000000000e+00 -5.8350244442542287e-01 +0.0000000000000000e+00
8.9999999999999991e-01 -2.3615496357218575e-05 +0.0000000000000000e+00 +8.9999999958689514e-01 +0.0000000000000000e+00 -5.8350248311162956e-01 +0.0000000000000000e+00
9.9999999999999989e-01 -2.9154934132837830e-05 +0.0000000000000000e+00 +9.9999999943332663e-01 +0.0000000000000000e+00 -5.8350252634915556e-01 +0.0000000000000000e+00
1.0999999999999999e+00 -3.5277470780172212e-05 +0.0000000000000000e+00 +1.0999999992457576e+00 +0.0000000000000000e+00 -5.8350257413800133e-01 +0.0000000000000000e+00
1.2000000000000000e+00 -4.1983106346769343e-05 +0.0000000000000000e+00 +1.1999999990207881e+00 +0.0000000000000000e+00 -5.8350262647816731e-01 +0.0000000000000000e+00
1.3000000000000000e+00 -4.9271840884705179e-05 +0.0000000000000000e+00 +1.2999999987550181e+00 +0.0000000000000000e+00 -5.8350268336965372e-01 +0.0000000000000000e+00
1.4000000000000001e+00 -5.7143674450584037e-05 +0.0000000000000000e+00 +1.3999999984450477e+00 +0.0000000000000000e+00 -5.8350274481246123e-01 +0.0000000000000000e+00
1.5000000000000002e+00 -6.5598607105538575e-05 +0.0000000000000000e+00 +1.4999999980874767e+00 +0.0000000000000000e+00 -5.8350281080659017e-01 +0.0000000000000000e+00
1.6000000000000003e+00 -7.4636638915229786e-05 +0.0000000000000000e+00 +1.5999999976789050e+00 +0.0000000000000000e+00 -5.8350288135204109e-01 +0.0000000000000000e+00
1.7000000000000004e+00 -8.4257769949847033e-05 +0.0000000000000000e+00 +1.6999999972159325e+00 +0.0000000000000000e+00 -5.8350295644881456e-01 +0.0000000000000000e+00
