# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
8.6999999999999851e+00 -7.5697753483204558e-03 +0.0000000000000000e+00 +8.6999956115203805e+00 -1.7376579707776610e-03 +0.0000000000000000e+00 +9.9999849027124843e-01
8.7999999999999847e+00 -7.7445335215775499e-03 +0.0000000000000000e+00 +8.7999954588165270e+00 -1.7575047187332457e-03 +0.0000000000000000e+00 +9.9999845558738898e-01
8.8999999999999844e+00 -7.9212761369407397e-03 +0.0000000000000000e+00 +8.8999953026250047e+00 -1.7773468128978529e-03 +0.0000000000000000e+00 +9.9999842051790577e-01
8.9999999999999840e+00 -8.1000027290304127e-03 +0.0000000000000000e+00 +8.9999951429072631e+00 -1.7971842532612222e-03 +0.0000000000000000e+00 +9.9999838506307570e-01
9.0999999999999837e+00 -8.2807128169751117e-03 +0.0000000000000000e+00 +9.0999949796248121e+00 -1.8170165750809070e-03 +0.0000000000000000e+00 +9.9999834922402020e-01
9.1999999999999833e+00 -8.4634058579345552e-03 +0.0000000000000000e+00 +9.1999948127392983e+00 -1.8368433135469524e-03 +0.0000000000000000e+00 +9.9999831300189757e-01
9.2999999999999829e+00 -8.6480812935721321e-03 +0.0000000000000000e+00 +9.2999946422124324e+00 -1.8566644686419120e-03 +0.0000000000000000e+00 +9.9999827639703986e-01
9.3999999999999826e+00 -8.8347385655502386e-03 +0.0000000000000000e+00 +9.3999944680059588e+00 -1.8764800403558795e-03 +0.0000000000000000e+00 +9.9999823940977906e-01
9.4999999999999822e+00 -9.0233771155302789e-03 +0.0000000000000000e+00 +9.4999942900816521e+00 -1.8962900286789623e-03 +0.0000000000000000e+00 +9.9999820204044709e-01
9.5999999999999819e+00 -9.2139963851726719e-03 +0.0000000000000000e+00 +9.5999941084013223e+00 -1.9160944336012828e-03 +0.0000000000000000e+00 +9.9999816428937571e-01
9.6999999999999815e+00 -9.4065958161368476e-03 +0.0000000000000000e+00 +9.6999939229268133e+00 -1.9358932551129778e-03 +0.0000000000000000e+00 +9.9999812615689665e-01
9.7999999999999812e+00 -9.6011748500812507e-03 +0.0000000000000000e+00 +9.7999937336199991e+00 -1.9556864932041983e-03 +0.0000000000000000e+00 +9.9999808764334153e-01
9.8999999999999808e+00 -9.7977329286633424e-03 +0.0000000000000000e+00 +9.8999935404427895e+00 -1.9754741478651100e-03 +0.0000000000000000e+00 +9.9999804874904175e-01
9.9999999999999805e+00 -9.9962694935396019e-03 +0.0000000000000000e+00 +9.9999933433571275e+00 -1.9952562190858930e-03 +0.0000000000000000e+00 +9.9999800947432893e-01
1.0099999999999980e+01 -1.0196783968558666e-02 +0.0000000000000000e+00 +1.0099993142325022e+01 -2.0150321726391971e-03 +0.0000000000000000e+00 +9.9999796982061073e-01
1.0199999999999980e+01 -1.0399275706333675e-02 +0.0000000000000000e+00 +1.0199992937308664e+01 -2.0348014741913617e-03 +0.0000000000000000e+00 +9.9999792978933733e-01
1.0299999999999979e+01 -1.0603744041662866e-02 +0.0000000000000000e+00 +1.0299992728270318e+01 -2.0545641237213167e-03 +0.0000000000000000e+00 +9.9999788938090328e-01
1.0399999999999979e+01 -1.0810188309343558e-02 +0.0000000000000000e+00 +1.0399992515172286e+01 -2.0743201212198702e-03 +0.0000000000000000e+00 +9.9999784859570295e-01
1.0499999999999979e+01 -1.1018607844172154e-02 +0.0000000000000000e+00 +1.0499992297976913e+01 -2.0940694666778544e-03 +0.0000000000000000e+00 +9.9999780743413058e-01
1.0599999999999978e+01 -1.1229001980944139e-02 +0.0000000000000000e+00 +1.0599992076646581e+01 -2.1138121600861228e-03 +0.0000000000000000e+00 +9.9999776589658018e-01
1.0699999999999978e+01 -1.1441370054454085e-02 +0.0000000000000000e+00 +1.0699991851143711e+01 -2.1335482014355534e-03 +0.0000000000000000e+00 +9.9999772398344577e-01
1.0799999999999978e+01 -1.1655711399495653e-02 +0.0000000000000000e+00 +1.0799991621430765e+01 -2.1532775907170459e-03 +0.0000000000000000e+00 +9.9999768169512127e-01
1.0899999999999977e+01 -1.1872025350861595e-02 +0.0000000000000000e+00 +1.0899991387470243e+01 -2.1730003279215237e-03 +0.0000000000000000e+00 +9.9999763903200023e-01
1.0999999999999977e+01 -1.2090311243343756e-02 +0.0000000000000000e+00 +1.0999991149224686e+01 -2.1927164130399334e-03 +0.0000000000000000e+00 +9.9999759599447624e-01
1.1099999999999977e+01 -1.2310568391369630e-02 +0.0000000000000000e+00 +1.1099990906656716e+01 -2.2124252351417529e-03 +0.0000000000000000e+00 +9.9999755258429435e-01
1.1199999999999976e+01 -1.2532796027901178e-02 +0.0000000000000000e+00 +1.1199990659729181e+01 -2.2321261831337548e-03 +0.0000000000000000e+00 +9.9999750880324811e-01
1.1299999999999976e+01 -1.2756993365525129e-02 +0.0000000000000000e+00 +1.1299990408405018e+01 -2.2518192569881842e-03 +0.0000000000000000e+00 +9.9999746465180284e-01
1.1399999999999975e+01 -1.2983159616827238e-02 +0.0000000000000000e+00 +1.1399990152647209e+01 -2.2715044566953262e-03 +0.0000000000000000e+00 +9.9999742013042370e-01
1.1499999999999975e+01 -1.3211293994392293e-02 +0.0000000000000000e+00 +1.1499989892418787e+01 -2.2911817822454800e-03 +0.0000000000000000e+00 +9.9999737523957566e-01
1.1599999999999975e+01 -1.3441395710804112e-02 +0.0000000000000000e+00 +1.1599989627682826e+01 -2.3108512336289574e-03 +0.0000000000000000e+00 +9.9999732997972346e-01
1.1699999999999974e+01 -1.3673463978645540e-02 +0.0000000000000000e+00 +1.1699989358402448e+01 -2.3305128108360839e-03 +0.0000000000000000e+00 +9.9999728435133184e-01
1.1799999999999974e+01 -1.3907498010498461e-02 +0.0000000000000000e+00 +1.1799989084540822e+01 -2.3501665138571989e-03 +0.0000000000000000e+00 +9.9999723835486520e-01
1.1899999999999974e+01 -1.4143497018943791e-02 +0.0000000000000000e+00 +1.1899988806061167e+01 -2.3698123426826550e-03 +0.0000000000000000e+00 +9.9999719199078774e-01
1.1999999999999973e+01 -1.4381460216561483e-02 +0.0000000000000000e+00 +1.1999988522926742e+01 -2.3894502973028182e-03 +0.0000000000000000e+00 +9.9999714525956351e-01
1.2099999999999973e+01 -1.4621386792756519e-02 +0.0000000000000000e+00 +1.2099988235100913e+01 -2.4090796824613211e-03 +0.0000000000000000e+00 +9.9999709816333138e-01
1.2199999999999973e+01 -1.4863275844220980e-02 +0.0000000000000000e+00 +1.2199987942547315e+01 -2.4286998026634009e-03 +0.0000000000000000e+00 +9.9999705070428502e-01
1.2299999999999972e+01 -1.5107126444456163e-02 +0.0000000000000000e+00 +1.2299987645229695e+01 -2.4483106578744025e-03 +0.0000000000000000e+00 +9.9999700288296989e-01
1.2399999999999972e+01 -1.5352937666962557e-02 +0.0000000000000000e+00 +1.2399987343111853e+01 -2.4679122480863068e-03 +0.0000000000000000e+00 +9.9999695469993088e-01
1.2499999999999972e+01 -1.5600708585239854e-02 +0.0000000000000000e+00 +1.2499987036157643e+01 -2.4875045732911266e-03 +0.0000000000000000e+00 +9.9999690615571291e-01
1.2599999999999971e+01 -1.5850438272786947e-02 +0.0000000000000000e+00 +1.2599986724330975e+01 -2.5070876334809073e-03 +0.0000000000000000e+00 +9.9999685725086052e-01
1.2699999999999971e+01 -1.6102125803101938e-02 +0.0000000000000000e+00 +1.2699986407595812e+01 -2.5266614286477275e-03 +0.0000000000000000e+00 +9.9999680798591795e-01
1.2799999999999971e+01 -1.6355770249682131e-02 +0.0000000000000000e+00 +1.2799986085916174e+01 -2.5462259587836966e-03 +0.0000000000000000e+00 +9.9999675836142921e-01
1.2899999999999970e+01 -1.6611370686024054e-02 +0.0000000000000000e+00 +1.2899985759256133e+01 -2.5657812238809572e-03 +0.0000000000000000e+00 +9.9999670837793808e-01
1.2999999999999970e+01 -1.6868926185623440e-02 +0.0000000000000000e+00 +1.2999985427579814e+01 -2.5853272239316845e-03 +0.0000000000000000e+00 +9.9999665803598814e-01
1.3099999999999969e+01 -1.7128435795882344e-02 +0.0000000000000000e+00 +1.3099985090851467e+01 -2.6048631761029367e-03 +0.0000000000000000e+00 +9.9999660733816176e-01
1.3199999999999969e+01 -1.7389898459807610e-02 +0.0000000000000000e+00 +1.3199984749035671e+01 -2.6243882972197046e-03 +0.0000000000000000e+00 +9.9999655628710304e-01
1.3299999999999969e+01 -1.7653313094289618e-02 +0.0000000000000000e+00 +1.3299984402097135e+01 -2.6439025872365468e-03 +0.0000000000000000e+00 +9.9999650488344660e-01
1.3399999999999968e+01 -1.7918678616218008e-02 +0.0000000000000000e+00 +1.3399984050000629e+01 -2.6634060461460936e-03 +0.0000000000000000e+00 +9.9999645312782648e-01
1.3499999999999968e+01 -1.8185993942481680e-02 +0.0000000000000000e+00 +1.3499983692710989e+01 -2.6828986739410110e-03 +0.0000000000000000e+00 +9.9999640102087628e-01
1.3599999999999968e+01 -1.8455257989968811e-02 +0.0000000000000000e+00 +1.3599983330193114e+01 -2.7023804706140012e-03 +0.0000000000000000e+00 +9.9999634856322950e-01
1.3699999999999967e+01 -1.8726469675566841e-02 +0.0000000000000000e+00 +1.3699982962411966e+01 -2.7218514361578025e-03 +0.0000000000000000e+00 +9.9999629575551896e-01
1.3799999999999967e+01 -1.8999627916162491e-02 +0.0000000000000000e+00 +1.3799982589332570e+01 -2.7413115705651899e-03 +0.0000000000000000e+00 +9.9999624259837749e-01
1.3899999999999967e+01 -1.9274731628641760e-02 +0.0000000000000000e+00 +1.3899982210920015e+01 -2.7607608738289728e-03 +0.0000000000000000e+00 +9.9999618909243726e-01
1.3999999999999966e+01 -1.9551779729889928e-02 +0.0000000000000000e+00 +1.3999981827139452e+01 -2.7801993459419983e-03 +0.0000000000000000e+00 +9.9999613523833020e-01
1.4099999999999966e+01 -1.9830771107704672e-02 +0.0000000000000000e+00 +1.4099981437956178e+01 -2.7996261142375573e-03 +0.0000000000000000e+00 +9.9999608103913107e-01
1.4199999999999966e+01 -2.0111704533503725e-02 +0.0000000000000000e+00 +1.4199981043335880e+01 -2.8190403055744803e-03 +0.0000000000000000e+00 +9.9999602649798336e-01
1.4299999999999965e+01 -2.0394578749585689e-02 +0.0000000000000000e+00 +1.4299980643244400e+01 -2.8384419198949759e-03 +0.0000000000000000e+00 +9.9999597161561971e-01
1.4399999999999965e+01 -2.0679392498248676e-02 +0.0000000000000000e+00 +1.4399980237647654e+01 -2.8578309571941885e-03 +0.0000000000000000e+00 +9.9999591639277208e-01
1.4499999999999964e+01 -2.0966144521790322e-02 +0.0000000000000000e+00 +1.4499979826511629e+01 -2.8772074174673217e-03 +0.0000000000000000e+00 +9.9999586083017200e-01
1.4599999999999964e+01 -2.1254833562507781e-02 +0.0000000000000000e+00 +1.4599979409802387e+01 -2.8965713007096357e-03 +0.0000000000000000e+00 +9.9999580492855056e-01
1.4699999999999964e+01 -2.1545458362697733e-02 +0.0000000000000000e+00 +1.4699978987486062e+01 -2.9159226069164499e-03 +0.0000000000000000e+00 +9.9999574868863828e-01
1.4799999999999963e+01 -2.1838017664656401e-02 +0.0000000000000000e+00 +1.4799978559528862e+01 -2.9352613360831407e-03 +0.0000000000000000e+00 +9.9999569211116535e-01
1.4899999999999963e+01 -2.2132510210679541e-02 +0.0000000000000000e+00 +1.4899978125897068e+01 -2.9545874882051424e-03 +0.0000000000000000e+00 +9.9999563519686141e-01
1.4999999999999963e+01 -2.2428934743062456e-02 +0.0000000000000000e+00 +1.4999977686557031e+01 -2.9739010632779473e-03 +0.0000000000000000e+00 +9.9999557794645555e-01
1.5099999999999962e+01 -2.2727289972211111e-02 +0.0000000000000000e+00 +1.5099977241475274e+01 -2.9932011045589431e-03 +0.0000000000000000e+00 +9.9999552036354022e-01
