# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
3.5000000000000018e+00 -3.4931860473358498e-04 +0.0000000000000000e+00 +3.4999999767574232e+00 +0.0000000000000000e+00 -5.7071316845365516e-01 +0.0000000000000000e+00
3.6000000000000019e+00 -3.6956484289019196e-04 +0.0000000000000000e+00 +3.5999999747077371e+00 +0.0000000000000000e+00 -5.7071332648363671e-01 +0.0000000000000000e+00
3.7000000000000020e+00 -3.9038139955489403e-04 +0.0000000000000000e+00 +3.6999999725409563e+00 +0.0000000000000000e+00 -5.7071348896518215e-01 +0.0000000000000000e+00
3.8000000000000020e+00 -4.1176827488938319e-04 +0.0000000000000000e+00 +3.7999999702538285e+00 +0.0000000000000000e+00 -5.7071365589829282e-01 +0.0000000000000000e+00
3.9000000000000021e+00 -4.3372546905978145e-04 +0.0000000000000000e+00 +3.8999999678431010e+00 +0.0000000000000000e+00 -5.7071382728296993e-01 +0.0000000000000000e+00
4.0000000000000018e+00 -4.5625298223664075e-04 +0.0000000000000000e+00 +3.9999999653055212e+00 +0.0000000000000000e+00 -5.7071400311921483e-01 +0.0000000000000000e+00
4.1000000000000014e+00 -4.7935081459494296e-04 +0.0000000000000000e+00 +4.0999999626378365e+00 +0.0000000000000000e+00 -5.7071418340702895e-01 +0.0000000000000000e+00
4.2000000000000011e+00 -5.0301896631409985e-04 +0.0000000000000000e+00 +4.1999999598367941e+00 +0.0000000000000000e+00 -5.7071436814641352e-01 +0.0000000000000000e+00
4.3000000000000007e+00 -5.2725743757795320e-04 +0.0000000000000000e+00 +4.2999999568991409e+00 +0.0000000000000000e+00 -5.7071455733737031e-01 +0.0000000000000000e+00
4.4000000000000004e+00 -5.5206622857477460e-04 +0.0000000000000000e+00 +4.3999999538216246e+00 +0.0000000000000000e+00 -5.7071475097990043e-01 +0.0000000000000000e+00
4.5000000000000000e+00 -5.7744533949726580e-04 +0.0000000000000000e+00 +4.4999999506009924e+00 +0.0000000000000000e+00 -5.7071494907400555e-01 +0.0000000000000000e+00
4.5999999999999996e+00 -6.0339477054255830e-04 +0.0000000000000000e+00 +4.5999999472339921e+00 +0.0000000000000000e+00 -5.7071515161968722e-01 +0.0000000000000000e+00
4.6999999999999993e+00 -6.2991452191221362e-04 +0.0000000000000000e+00 +4.6999999437173701e+00 +0.0000000000000000e+00 -5.7071535861694700e-01 +0.0000000000000000e+00
4.7999999999999989e+00 -6.5700459381222323e-04 +0.0000000000000000e+00 +4.7999999400478748e+00 +0.0000000000000000e+00 -5.7071557006578644e-01 +0.0000000000000000e+00
4.8999999999999986e+00 -6.8466498645300855e-04 +0.0000000000000000e+00 +4.8999999362222528e+00 +0.0000000000000000e+00 -5.7071578596620731e-01 +0.0000000000000000e+00
4.9999999999999982e+00 -7.1289570004942095e-04 +0.0000000000000000e+00 +4.9999999322372517e+00 +0.0000000000000000e+00 -5.7071600631821118e-01 +0.0000000000000000e+00
5.0999999999999979e+00 -7.4169673482074171e-04 +0.0000000000000000e+00 +5.0999999280896180e+00 +0.0000000000000000e+00 -5.7071623112179970e-01 +0.0000000000000000e+00
5.1999999999999975e+00 -7.7106809099068208e-04 +0.0000000000000000e+00 +5.1999999237760992e+00 +0.0000000000000000e+00 -5.7071646037697477e-01 +0.0000000000000000e+00
5.2999999999999972e+00 -8.0100976878738324e-04 +0.0000000000000000e+00 +5.2999999192934428e+00 +0.0000000000000000e+00 -5.7071669408373804e-01 +0.0000000000000000e+00
5.3999999999999968e+00 -8.3152176844341643e-04 +0.0000000000000000e+00 +5.3999999146383963e+00 +0.0000000000000000e+00 -5.7071693224209152e-01 +0.0000000000000000e+00
5.4999999999999964e+00 -8.6260409019578281e-04 +0.0000000000000000e+00 +5.4999999098077073e+00 +0.0000000000000000e+00 -5.7071717485203688e-01 +0.0000000000000000e+00
5.5999999999999961e+00 -8.9425673428591339e-04 +0.0000000000000000e+00 +5.5999999047981222e+00 +0.0000000000000000e+00 -5.7071742191357600e-01 +0.0000000000000000e+00
5.6999999999999957e+00 -9.2647970095966934e-04 +0.0000000000000000e+00 +5.6999998996063885e+00 +0.0000000000000000e+00 -5.7071767342671087e-01 +0.0000000000000000e+00
5.7999999999999954e+00 -9.5927299046734155e-04 +0.0000000000000000e+00 +5.7999998942292539e+00 +0.0000000000000000e+00 -5.7071792939144339e-01 +0.0000000000000000e+00
5.8999999999999950e+00 -9.9263660306365118e-04 +0.0000000000000000e+00 +5.8999998886634648e+00 +0.0000000000000000e+00 -5.7071818980777567e-01 +0.0000000000000000e+00
5.9999999999999947e+00 -1.0265705390077491e-03 +0.0000000000000000e+00 +5.9999998829057688e+00 +0.0000000000000000e+00 -5.7071845467570959e-01 +0.0000000000000000e+00
6.0999999999999943e+00 -1.0610747985632162e-03 +0.0000000000000000e+00 +6.0999998769529133e+00 +0.0000000000000000e+00 -5.7071872399524726e-01 +0.0000000000000000e+00
6.1999999999999940e+00 -1.0961493819980632e-03 +0.0000000000000000e+00 +6.1999998708016459e+00 +0.0000000000000000e+00 -5.7071899776639079e-01 +0.0000000000000000e+00
6.2999999999999936e+00 -1.1317942895847314e-03 +0.0000000000000000e+00 +6.2999998644487132e+00 +0.0000000000000000e+00 -5.7071927598914229e-01 +0.0000000000000000e+00
6.3999999999999932e+00 -1.1680095216000913e-03 +0.0000000000000000e+00 +6.3999998578908626e+00 +0.0000000000000000e+00 -5.7071955866350388e-01 +0.0000000000000000e+00
6.4999999999999929e+00 -1.2047950783254438e-03 +0.0000000000000000e+00 +6.4999998511248407e+00 +0.0000000000000000e+00 -5.7071984578947788e-01 +0.0000000000000000e+00
6.5999999999999925e+00 -1.2421509600465197e-03 +0.0000000000000000e+00 +6.5999998441473950e+00 +0.0000000000000000e+00 -5.7072013736706639e-01 +0.0000000000000000e+00
6.6999999999999922e+00 -1.2800771670534799e-03 +0.0000000000000000e+00 +6.6999998369552731e+00 +0.0000000000000000e+00 -5.7072043339627165e-01 +0.0000000000000000e+00
6.7999999999999918e+00 -1.3185736996409150e-03 +0.0000000000000000e+00 +6.7999998295452224e+00 +0.0000000000000000e+00 -5.7072073387709621e-01 +0.0000000000000000e+00
6.8999999999999915e+00 -1.3576405581078460e-03 +0.0000000000000000e+00 +6.8999998219139895e+00 +0.0000000000000000e+00 -5.7072103880954206e-01 +0.0000000000000000e+00
6.9999999999999911e+00 -1.3972777427577233e-03 +0.0000000000000000e+00 +6.9999998140583219e+00 +0.0000000000000000e+00 -5.7072134819361187e-01 +0.0000000000000000e+00
7.0999999999999908e+00 -1.4374852538984280e-03 +0.0000000000000000e+00 +7.0999998059749663e+00 +0.0000000000000000e+00 -5.7072166202930785e-01 +0.0000000000000000e+00
7.1999999999999904e+00 -1.4782630918422704e-03 +0.0000000000000000e+00 +7.1999997976606700e+00 +0.0000000000000000e+00 -5.7072198031663246e-01 +0.0000000000000000e+00
7.2999999999999901e+00 -1.5196112569059916e-03 +0.0000000000000000e+00 +7.2999997891121806e+00 +0.0000000000000000e+00 -5.7072230305558824e-01 +0.0000000000000000e+00
7.3999999999999897e+00 -1.5615297494107620e-03 +0.0000000000000000e+00 +7.3999997803262447e+00 +0.0000000000000000e+00 -5.7072263024617764e-01 +0.0000000000000000e+00
7.4999999999999893e+00 -1.6040185696821827e-03 +0.0000000000000000e+00 +7.4999997712996098e+00 +0.0000000000000000e+00 -5.7072296188840321e-01 +0.0000000000000000e+00
7.5999999999999890e+00 -1.6470777180502842e-03 +0.0000000000000000e+00 +7.5999997620290225e+00 +0.0000000000000000e+00 -5.7072329798226762e-01 +0.0000000000000000e+00
7.6999999999999886e+00 -1.6907071948495272e-03 +0.0000000000000000e+00 +7.6999997525112303e+00 +0.0000000000000000e+00 -5.7072363852777341e-01 +0.0000000000000000e+00
7.7999999999999883e+00 -1.7349070004188025e-03 +0.0000000000000000e+00 +7.7999997427429806e+00 +0.0000000000000000e+00 -5.7072398352492315e-01 +0.0000000000000000e+00
7.8999999999999879e+00 -1.7796771351014308e-03 +0.0000000000000000e+00 +7.8999997327210201e+00 +0.0000000000000000e+00 -5.7072433297371961e-01 +0.0000000000000000e+00
7.9999999999999876e+00 -1.8250175992451630e-03 +0.0000000000000000e+00 +7.9999997224420953e+00 +0.0000000000000000e+00 -5.7072468687416555e-01 +0.0000000000000000e+00
8.0999999999999872e+00 -1.8709283932021796e-03 +0.0000000000000000e+00 +8.0999997119029548e+00 +0.0000000000000000e+00 -5.7072504522626355e-01 +0.0000000000000000e+00
8.1999999999999869e+00 -1.9174095173290916e-03 +0.0000000000000000e+00 +8.1999997011003440e+00 +0.0000000000000000e+00 -5.7072540803001648e-01 +0.0000000000000000e+00
8.2999999999999865e+00 -1.9644609719869396e-03 +0.0000000000000000e+00 +8.2999996900310116e+00 +0.0000000000000000e+00 -5.7072577528542723e-01 +0.0000000000000000e+00
8.3999999999999861e+00 -2.0120827575411948e-03 +0.0000000000000000e+00 +8.3999996786917031e+00 +0.0000000000000000e+00 -5.7072614699249868e-01 +0.0000000000000000e+00
8.4999999999999858e+00 -2.0602748743617579e-03 +0.0000000000000000e+00 +8.4999996670791660e+00 +0.0000000000000000e+00 -5.7072652315123351e-01 +0.0000000000000000e+00
8.5999999999999854e+00 -2.1090373228229596e-03 +0.0000000000000000e+00 +8.5999996551901479e+00 +0.0000000000000000e+00 -5.7072690376163482e-01 +0.0000000000000000e+00
8.6999999999999851e+00 -2.1583701033035612e-03 +0.0000000000000000e+00 +8.6999996430213962e+00 +0.0000000000000000e+00 -5.7072728882370549e-01 +0.0000000000000000e+00
8.7999999999999847e+00 -2.2082732161867531e-03 +0.0000000000000000e+00 +8.7999996305696566e+00 +0.0000000000000000e+00 -5.7072767833744853e-01 +0.0000000000000000e+00
8.8999999999999844e+00 -2.2587466618601568e-03 +0.0000000000000000e+00 +8.8999996178316767e+00 +0.0000000000000000e+00 -5.7072807230286693e-01 +0.0000000000000000e+00
8.9999999999999840e+00 -2.3097904407158231e-03 +0.0000000000000000e+00 +8.9999996048042039e+00 +0.0000000000000000e+00 -5.7072847071996391e-01 +0.0000000000000000e+00
9.0999999999999837e+00 -2.3614045531502332e-03 +0.0000000000000000e+00 +9.0999995914839840e+00 +0.0000000000000000e+00 -5.7072887358874236e-01 +0.0000000000000000e+00
9.1999999999999833e+00 -2.4135889995642980e-03 +0.0000000000000000e+00 +9.1999995778677661e+00 +0.0000000000000000e+00 -5.7072928090920549e-01 +0.0000000000000000e+00
9.2999999999999829e+00 -2.4663437803633587e-03 +0.0000000000000000e+00 +9.2999995639522943e+00 +0.0000000000000000e+00 -5.7072969268135643e-01 +0.0000000000000000e+00
9.3999999999999826e+00 -2.5196688959571870e-03 +0.0000000000000000e+00 +9.3999995497343178e+00 +0.0000000000000000e+00 -5.7073010890519849e-01 +0.0000000000000000e+00
9.4999999999999822e+00 -2.5735643467599835e-03 +0.0000000000000000e+00 +9.4999995352105824e+00 +0.0000000000000000e+00 -5.7073052958073478e-01 +0.0000000000000000e+00
9.5999999999999819e+00 -2.6280301331903801e-03 +0.0000000000000000e+00 +9.5999995203778354e+00 +0.0000000000000000e+00 -5.7073095470796864e-01 +0.0000000000000000e+00
9.6999999999999815e+00 -2.6830662556714380e-03 +0.0000000000000000e+00 +9.6999995052328245e+00 +0.0000000000000000e+00 -5.7073138428690329e-01 +0.0000000000000000e+00
9.7999999999999812e+00 -2.7386727146306486e-03 +0.0000000000000000e+00 +9.7999994897722971e+00 +0.0000000000000000e+00 -5.7073181831754216e-01 +0.0000000000000000e+00
9.8999999999999808e+00 -2.7948495104999334e-03 +0.0000000000000000e+00 +9.8999994739929988e+00 +0.0000000000000000e+00 -5.7073225679988859e-01 +0.0000000000000000e+00
9.9999999999999805e+00 -2.8515966437156438e-03 +0.0000000000000000e+00 +9.9999994578916755e+00 +0.0000000000000000e+00 -5.7073269973394603e-01 +0.0000000000000000e+00
1.0099999999999980e+01 -2.9089141147185618e-03 +0.0000000000000000e+00 +1.0099999441465076e+01 +0.0000000000000000e+00 -5.7073314711971779e-01 +0.0000000000000000e+00
1.0199999999999980e+01 -2.9668019239538989e-03 +0.0000000000000000e+00 +1.0199999424709947e+01 +0.0000000000000000e+00 -5.7073359895720754e-01 +0.0000000000000000e+00
1.0299999999999979e+01 -3.0252600718712972e-03 +0.0000000000000000e+00 +1.0299999407623035e+01 +0.0000000000000000e+00 -5.7073405524641851e-01 +0.0000000000000000e+00
1.0399999999999979e+01 -3.0842885589248284e-03 +0.0000000000000000e+00 +1.0399999390201087e+01 +0.0000000000000000e+00 -5.7073451598735458e-01 +0.0000000000000000e+00
1.0499999999999979e+01 -3.1438873855729947e-03 +0.0000000000000000e+00 +1.0499999372440849e+01 +0.0000000000000000e+00 -5.7073498118001909e-01 +0.0000000000000000e+00
1.0599999999999978e+01 -3.2040565522787282e-03 +0.0000000000000000e+00 +1.0599999354339069e+01 +0.0000000000000000e+00 -5.7073545082441568e-01 +0.0000000000000000e+00
1.0699999999999978e+01 -3.2647960595093913e-03 +0.0000000000000000e+00 +1.0699999335892493e+01 +0.0000000000000000e+00 -5.7073592492054803e-01 +0.0000000000000000e+00
1.0799999999999978e+01 -3.3261059077367757e-03 +0.0000000000000000e+00 +1.0799999317097868e+01 +0.0000000000000000e+00 -5.7073640346841992e-01 +0.0000000000000000e+00
1.0899999999999977e+01 -3.3879860974371043e-03 +0.0000000000000000e+00 +1.0899999297951942e+01 +0.0000000000000000e+00 -5.7073688646803489e-01 +0.0000000000000000e+00
1.0999999999999977e+01 -3.4504366290910291e-03 +0.0000000000000000e+00 +1.0999999278451460e+01 +0.0000000000000000e+00 -5.7073737391939683e-01 +0.0000000000000000e+00
1.1099999999999977e+01 -3.5134575031836330e-03 +0.0000000000000000e+00 +1.1099999258593170e+01 +0.0000000000000000e+00 -5.7073786582250952e-01 +0.0000000000000000e+00
1.1199999999999976e+01 -3.5770487202044289e-03 +0.0000000000000000e+00 +1.1199999238373818e+01 +0.0000000000000000e+00 -5.7073836217737661e-01 +0.0000000000000000e+00
1.1299999999999976e+01 -3.6412102806473593e-03 +0.0000000000000000e+00 +1.1299999217790152e+01 +0.0000000000000000e+00 -5.7073886298400223e-01 +0.0000000000000000e+00
1.1399999999999975e+01 -3.7059421850107973e-03 +0.0000000000000000e+00 +1.1399999196838916e+01 +0.0000000000000000e+00 -5.7073936824239002e-01 +0.0000000000000000e+00
1.1499999999999975e+01 -3.7712444337975460e-03 +0.0000000000000000e+00 +1.1499999175516860e+01 +0.0000000000000000e+00 -5.7073987795254411e-01 +0.0000000000000000e+00
1.1599999999999975e+01 -3.8371170275148386e-03 +0.0000000000000000e+00 +1.1599999153820729e+01 +0.0000000000000000e+00 -5.7074039211446825e-01 +0.0000000000000000e+00
1.1699999999999974e+01 -3.9035599666743383e-03 +0.0000000000000000e+00 +1.1699999131747271e+01 +0.0000000000000000e+00 -5.7074091072816657e-01 +0.0000000000000000e+00
1.1799999999999974e+01 -3.9705732517921390e-03 +0.0000000000000000e+00 +1.1799999109293230e+01 +0.0000000000000000e+00 -5.7074143379364317e-01 +0.0000000000000000e+00
1.1899999999999974e+01 -4.0381568833887634e-03 +0.0000000000000000e+00 +1.1899999086455356e+01 +0.0000000000000000e+00 -5.7074196131090194e-01 +0.0000000000000000e+00
1.1999999999999973e+01 -4.1063108619891660e-03 +0.0000000000000000e+00 +1.1999999063230394e+01 +0.0000000000000000e+00 -5.7074249327994697e-01 +0.0000000000000000e+00
1.2099999999999973e+01 -4.1750351881227306e-03 +0.0000000000000000e+00 +1.2099999039615090e+01 +0.0000000000000000e+00 -5.7074302970078261e-01 +0.0000000000000000e+00
1.2199999999999973e+01 -4.2443298623232716e-03 +0.0000000000000000e+00 +1.2199999015606192e+01 +0.0000000000000000e+00 -5.7074357057341274e-01 +0.0000000000000000e+00
1.2299999999999972e+01 -4.3141948851290321e-03 +0.0000000000000000e+00 +1.2299998991200447e+01 +0.0000000000000000e+00 -5.7074411589784180e-01 +0.0000000000000000e+00
1.2399999999999972e+01 -4.3846302570826872e-03 +0.0000000000000000e+00 +1.2399998966394600e+01 +0.0000000000000000e+00 -5.7074466567407400e-01 +0.0000000000000000e+00
1.2499999999999972e+01 -4.4556359787313420e-03 +0.0000000000000000e+00 +1.2499998941185400e+01 +0.0000000000000000e+00 -5.7074521990211347e-01 +0.0000000000000000e+00
1.2599999999999971e+01 -4.5272120506265300e-03 +0.0000000000000000e+00 +1.2599998915569591e+01 +0.0000000000000000e+00 -5.7074577858196462e-01 +0.0000000000000000e+00
1.2699999999999971e+01 -4.5993584733242171e-03 +0.0000000000000000e+00 +1.2699998889543920e+01 +0.0000000000000000e+00 -5.7074634171363170e-01 +0.0000000000000000e+00
1.2799999999999971e+01 -4.6720752473847970e-03 +0.0000000000000000e+00 +1.2799998863105134e+01 +0.0000000000000000e+00 -5.7074690929711924e-01 +0.0000000000000000e+00
1.2899999999999970e+01 -4.7453623733730958e-03 +0.0000000000000000e+00 +1.2899998836249981e+01 +0.0000000000000000e+00 -5.7074748133243147e-01 +0.0000000000000000e+00
1.2999999999999970e+01 -4.8192198518583690e-03 +0.0000000000000000e+00 +1.2999998808975207e+01 +0.0000000000000000e+00 -5.7074805781957294e-01 +0.0000000000000000e+00
1.3099999999999969e+01 -4.8936476834143018e-03 +0.0000000000000000e+00 +1.3099998781277556e+01 +0.0000000000000000e+00 -5.7074863875854809e-01 +0.0000000000000000e+00
1.3199999999999969e+01 -4.9686458686190108e-03 +0.0000000000000000e+00 +1.3199998753153777e+01 +0.0000000000000000e+00 -5.7074922414936147e-01 +0.0000000000000000e+00
1.3299999999999969e+01 -5.0442144080550411e-03 +0.0000000000000000e+00 +1.3299998724600616e+01 +0.0000000000000000e+00 -5.7074981399201763e-01 +0.0000000000000000e+00
1.3399999999999968e+01 -5.1203533023093687e-03 +0.0000000000000000e+00 +1.3399998695614821e+01 +0.0000000000000000e+00 -5.7075040828652102e-01 +0.0000000000000000e+00
1.3499999999999968e+01 -5.1970625519734007e-03 +0.0000000000000000e+00 +1.3499998666193136e+01 +0.0000000000000000e+00 -5.7075100703287651e-01 +0.0000000000000000e+00
1.3599999999999968e+01 -5.2743421576429738e-03 +0.0000000000000000e+00 +1.3599998636332309e+01 +0.0000000000000000e+00 -5.7075161023108856e-01 +0.0000000000000000e+00
1.3699999999999967e+01 -5.3521921199183543e-03 +0.0000000000000000e+00 +1.3699998606029085e+01 +0.0000000000000000e+00 -5.7075221788116182e-01 +0.0000000000000000e+00
1.3799999999999967e+01 -5.4306124394042391e-03 +0.0000000000000000e+00 +1.3799998575280213e+01 +0.0000000000000000e+00 -5.7075282998310117e-01 +0.0000000000000000e+00
1.3899999999999967e+01 -5.5096031167097556e-03 +0.0000000000000000e+00 +1.3899998544082438e+01 +0.0000000000000000e+00 -5.7075344653691118e-01 +0.0000000000000000e+00
1.3999999999999966e+01 -5.5891641524484616e-03 +0.0000000000000000e+00 +1.3999998512432505e+01 +0.0000000000000000e+00 -5.7075406754259683e-01 +0.0000000000000000e+00
1.4099999999999966e+01 -5.6692955472383445e-03 +0.0000000000000000e+00 +1.4099998480327162e+01 +0.0000000000000000e+00 -5.7075469300016290e-01 +0.0000000000000000e+00
1.4199999999999966e+01 -5.7499973017018221e-03 +0.0000000000000000e+00 +1.4199998447763155e+01 +0.0000000000000000e+00 -5.7075532290961406e-01 +0.0000000000000000e+00
1.4299999999999965e+01 -5.8312694164657421e-03 +0.0000000000000000e+00 +1.4299998414737232e+01 +0.0000000000000000e+00 -5.7075595727095552e-01 +0.0000000000000000e+00
1.4399999999999965e+01 -5.9131118921613842e-03 +0.0000000000000000e+00 +1.4399998381246137e+01 +0.0000000000000000e+00 -5.7075659608419194e-01 +0.0000000000000000e+00
1.4499999999999964e+01 -5.9955247294244561e-03 +0.0000000000000000e+00 +1.4499998347286617e+01 +0.0000000000000000e+00 -5.7075723934932832e-01 +0.0000000000000000e+00
1.4599999999999964e+01 -6.0785079288950966e-03 +0.0000000000000000e+00 +1.4599998312855419e+01 +0.0000000000000000e+00 -5.7075788706636976e-01 +0.0000000000000000e+00
1.4699999999999964e+01 -6.1620614912178753e-03 +0.0000000000000000e+00 +1.4699998277949289e+01 +0.0000000000000000e+00 -5.7075853923532127e-01 +0.0000000000000000e+00
1.4799999999999963e+01 -6.2461854170417922e-03 +0.0000000000000000e+00 +1.4799998242564973e+01 +0.0000000000000000e+00 -5.7075919585618784e-01 +0.0000000000000000e+00
1.4899999999999963e+01 -6.3308797070202767e-03 +0.0000000000000000e+00 +1.4899998206699218e+01 +0.0000000000000000e+00 -5.7075985692897468e-01 +0.0000000000000000e+00
1.4999999999999963e+01 -6.4161443618111881e-03 +0.0000000000000000e+00 +1.4999998170348769e+01 +0.0000000000000000e+00 -5.7076052245368680e-01 +0.0000000000000000e+00
1.5099999999999962e+01 -6.5019793820768170e-03 +0.0000000000000000e+00 +1.5099998133510374e+01 +0.0000000000000000e+00 -5.7076119243032952e-01 +0.0000000000000000e+00
1.5199999999999962e+01 -6.5883847684838842e-03 +0.0000000000000000e+00 +1.5199998096180778e+01 +0.0000000000000000e+00 -5.7076186685890784e-01 +0.0000000000000000e+00
