# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-011   +2.999864e+00   +3.376283e-04 +1.100102e-04 +1.333120e-03 -1.556061e-02 -6.994560e+00 +1.556857e+02 -4.860994e+04 -8.218806e+04 -7.026759e+06 -3.886896e+08 +8.297039e+10 -7.800687e+11   -1.339781e-06 +3.464600e-05 +4.291035e-04 -3.151635e-02 -1.843665e+00 +6.230069e+01 +2.805458e+03 +2.895574e+05 -6.280018e+06 +2.062414e+08 +5.511620e+10 +8.780755e+11   
BC-014   +2.999775e+00   +3.373766e-04 +1.128596e-04 +1.642473e-03 -2.520949e-03 -8.122256e+00 +1.263784e+02 -4.773365e+04 -7.168788e+04 -1.731439e+06 -3.843435e+08 +3.740134e+10 -2.307655e+11   -1.192036e-06 +4.336622e-05 +1.196410e-03 -8.076946e-03 -1.749504e+00 +6.326701e+00 +4.744402e+03 +2.801320e+04 +1.849412e+06 +6.638725e+08 -5.553500e+09 -5.692874e+11   
BC-015   +3.000007e+00   +3.362765e-04 +1.136115e-04 +1.845559e-03 -1.200423e-02 -7.821112e+00 +1.505957e+02 -4.749879e+04 +5.367677e+04 -5.293241e+06 -1.051559e+09 +7.173917e+10 -3.716721e+11   -1.536559e-06 +4.024977e-05 +7.242146e-04 -8.373940e-03 -2.207887e+00 +1.012610e+02 +3.192031e+03 +1.724273e+04 -6.158106e+06 -1.086931e+08 +6.341389e+08 -7.874745e+11   
BC-018   +3.000128e+00   +3.362183e-04 +1.315656e-04 +1.045493e-03 +1.933526e-02 -8.126860e+00 +1.934755e+02 -4.450330e+04 -1.276569e+05 +3.726804e+06 -7.730300e+08 +8.839916e+10 -4.091692e+11   -1.568637e-06 +3.718251e-05 +7.331981e-04 -2.194270e-02 -1.506085e+00 +7.643281e+01 +8.238762e+03 +1.138376e+05 -1.915576e+06 -1.713470e+08 -1.196419e+10 -1.490791e+12   
BC-019   +2.999975e+00   +3.361115e-04 +1.335784e-04 +1.416587e-03 -1.351848e-02 -7.508126e+00 +1.828202e+02 -4.921141e+04 -5.973560e+04 -4.833824e+06 -5.816765e+08 +7.017648e+10 -6.756880e+09   -2.056640e-06 +3.820039e-05 +9.447855e-04 -1.297004e-02 -2.348328e+00 +3.741895e+01 +2.751339e+03 -2.245764e+04 -2.139682e+06 -4.128044e+08 -4.044377e+09 -2.100030e+11   
BC-024   +2.999906e+00   +3.357855e-04 +1.227513e-04 +1.256820e-03 -9.054564e-03 -7.571007e+00 +1.604870e+02 -4.590484e+04 -8.386379e+04 -5.376135e+06 -4.878280e+08 +7.129690e+10 +1.632431e+12   -2.025673e-06 +3.444145e-05 +1.052412e-03 +2.859730e-03 -1.821571e+00 +2.141172e+01 +2.538278e+03 +3.517447e+04 -2.856358e+06 -9.177828e+07 +2.379645e+10 -2.170838e+11   
BC-025   +3.000598e+00   +3.378543e-04 +1.378908e-04 +1.183501e-03 -1.383063e-02 -8.115696e+00 +1.477160e+02 -4.599283e+04 -7.332682e+04 -2.669926e+06 -3.427907e+08 +7.946803e+10 -2.036678e+11   -1.262864e-06 +5.566960e-05 +1.178541e-03 -4.940299e-03 -2.082546e+00 +2.287942e+01 +3.852572e+03 +7.023857e+03 +1.252081e+06 -1.910026e+08 -1.002234e+10 +1.382530e+11   
BC-026   +2.999987e+00   +3.366678e-04 +1.388805e-04 +1.257193e-03 -1.027765e-02 -8.338243e+00 +1.514263e+02 -4.599667e+04 -5.598584e+04 +1.111701e+05 -4.994822e+08 +4.545916e+10 +1.190448e+11   -1.543788e-06 +6.397921e-05 +1.105625e-03 -2.957953e-02 -1.782566e+00 +1.438372e+01 +3.213408e+03 +7.466452e+04 -2.086487e+06 +2.213413e+08 +8.636027e+09 -3.026383e+11   
BC-027   +2.998975e+00   +3.363032e-04 +1.453304e-04 +1.986193e-03 -8.098237e-03 -6.629905e+00 +1.419659e+02 -5.131957e+04 +1.564957e+05 -1.887441e+07 +4.891641e+08 +6.638268e+10 +2.573837e+11   -1.418820e-06 +4.866819e-05 +2.012904e-03 -2.621615e-02 -5.210280e-01 -2.092218e+01 +1.282199e+03 -1.534523e+05 -1.222404e+07 -1.903359e+09 +4.358469e+10 -1.847636e+12   
BC-028   +2.998923e+00   +3.368963e-04 +1.312475e-04 +1.177840e-03 +1.235864e-02 -7.519670e+00 +1.810228e+02 -4.388059e+04 +9.172660e+04 -1.266131e+07 -8.135821e+08 +1.079710e+10 -2.493372e+12   -2.276836e-06 +3.395512e-05 +1.390488e-03 +1.828883e-03 -5.770675e-01 +5.724015e+01 +5.754463e+03 -2.497218e+04 +3.833086e+05 -2.140396e+08 +2.492082e+10 -3.164716e+11   
