# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BQD-001   +3.968179e+00   +1.987787e-06 -1.702563e-02 -5.808506e-04 +6.411656e-03 +2.878527e-01 +8.450639e+02 +7.858269e+02 +4.460507e+04 +2.761834e+06 -2.319407e+09 +1.895359e+10 +1.614745e+12   +1.198543e-06 +1.156402e-05 +7.006168e-04 -2.488338e-02 -6.395667e-01 -2.244497e+01 -2.061137e+03 -1.219950e+05 -2.789163e+06 -3.778937e+08 -1.449530e+10 -1.458821e+12   
BQD-002   +3.981053e+00   +2.056720e-06 -1.698632e-02 -5.353365e-04 -7.010160e-03 +4.307838e-01 +8.422249e+02 +4.002830e+02 +2.269897e+04 +3.930611e+06 -2.432413e+09 +5.691321e+09 +4.138355e+11   +1.256405e-06 +1.909127e-05 +6.695219e-04 -5.385575e-03 -3.149750e-02 +1.033152e+00 -5.236346e+02 -7.446108e+04 +4.982240e+06 +1.048196e+08 -3.924999e+08 -1.957063e+12   
BQD-003   +3.956238e+00   +1.549852e-06 -1.627706e-02 -9.894294e-04 +4.544529e-03 +5.327485e-01 +8.086589e+02 -2.008881e+02 +1.338541e+02 -4.209567e+06 -1.806546e+09 -6.113247e+09 +5.451803e+11   +1.190330e-06 +2.333596e-05 +7.966551e-04 -8.014265e-03 -7.640440e-01 +9.562961e+00 -7.240166e+02 +1.026405e+04 -4.878086e+06 +1.293885e+08 -2.022284e+10 +2.028647e+11   
BQD-004   +3.966425e+00   +1.859747e-06 -1.701890e-02 -6.672646e-04 -5.326121e-03 +5.008876e-01 +8.532348e+02 -1.086885e+03 -7.478432e+04 -3.113564e+06 -2.234812e+09 -1.555188e+10 -1.313301e+12   +8.725371e-07 +2.680661e-05 +1.332424e-03 +2.328436e-02 +1.422612e+00 +8.878446e+01 +2.315711e+03 +2.442775e+05 +1.100483e+07 +9.647985e+08 +4.470774e+10 +2.344104e+12   
BQD-005   +3.958965e+00   +1.979960e-06 -1.703972e-02 -5.139871e-04 -6.930713e-03 +5.870759e-01 +8.267762e+02 -9.903866e+02 -2.557141e+03 +4.499199e+06 -2.710708e+09 -1.619083e+10 +7.951702e+11   +1.809453e-06 +2.540654e-05 +5.919807e-04 -4.609323e-03 +2.242250e-01 +7.046422e+00 +1.609911e+03 +6.391895e+04 +6.611559e+06 +8.484541e+07 +2.972699e+10 +7.495217e+11   
BQD-006   +3.975488e+00   +1.487843e-06 -1.726327e-02 -1.253006e-03 -7.915398e-03 +2.173604e-02 +8.815645e+02 -2.360644e+03 +1.134556e+04 -2.410732e+04 -2.368211e+09 -1.679567e+10 -3.198558e+11   +1.832559e-06 +1.986073e-05 +6.271190e-04 -5.589198e-03 -7.300324e-02 +2.094991e+01 +2.725937e+03 +5.491145e+04 +3.339532e+06 -3.861637e+07 +3.331893e+10 +8.460046e+11   
BQD-007   +3.962318e+00   +2.102972e-06 -1.707353e-02 -7.908396e-04 -5.425029e-03 +1.512188e-01 +8.717031e+02 -1.347093e+03 -1.274105e+04 +3.452850e+06 -2.050743e+09 -1.033723e+09 +1.123540e+12   +1.309128e-06 +2.056533e-05 +1.205507e-03 +1.207464e-02 +3.255900e-01 +1.963802e+01 +2.151271e+03 +9.330092e+04 +1.038293e+07 +2.049952e+08 +1.478096e+10 +1.683587e+10   
BQD-008   +3.967482e+00   +2.354706e-06 -1.708304e-02 -5.283306e-04 +9.938445e-04 +7.602769e-01 +8.421558e+02 +1.075014e+03 +1.352707e+04 +7.817591e+06 -2.433431e+09 +2.771579e+10 +1.061549e+12   +1.608418e-06 +1.967681e-05 +1.431050e-03 +2.166356e-02 +1.074806e+00 +7.313470e+01 +5.901859e+03 +2.276122e+05 +9.823735e+06 +9.665317e+08 +5.145805e+10 +3.711505e+12   
BQD-009   +3.963922e+00   +1.879602e-06 -1.704589e-02 -5.493161e-04 -5.789821e-03 +3.272365e-01 +8.642915e+02 +5.302044e+02 +1.178008e+04 +1.304422e+06 -2.170937e+09 -7.860102e+09 +4.544426e+11   +1.225991e-06 +1.202958e-05 +6.204577e-04 -9.442234e-03 -6.037309e-01 +1.334949e+01 -8.695618e+02 -1.193436e+05 -5.425041e+06 +1.988621e+08 +1.227180e+10 -5.446714e+11   
BQD-010   +3.960251e+00   +1.697592e-06 -1.707349e-02 -7.777017e-04 +1.826844e-03 +3.537723e-01 +8.466324e+02 -4.136988e+02 +6.076683e+04 -9.203321e+05 -2.390344e+09 -9.833809e+09 +7.007844e+11   +1.303565e-06 +1.578658e-05 +3.659748e-04 -3.142859e-02 -1.577818e+00 -7.469304e+01 -5.441039e+03 -2.273077e+05 -1.631205e+07 -6.347858e+08 -6.223621e+10 -2.975655e+12   
BQD-011   +3.956728e+00   +1.712840e-06 -1.705191e-02 -8.287080e-04 -5.734246e-03 +3.072127e-01 +8.578153e+02 +4.056086e+02 -1.235404e+05 -5.149045e+06 -2.460063e+09 -3.745463e+09 -1.742868e+12   +1.251333e-06 +1.408117e-05 +6.679625e-04 -1.581516e-02 -9.591162e-01 -2.788195e+01 -2.428852e+03 -1.251055e+05 -1.004921e+07 -9.462015e+07 -2.622854e+10 -1.173519e+12   
BQD-012   +3.963022e+00   +2.336307e-06 -1.704756e-02 -6.626905e-04 +4.075433e-03 -7.371571e-02 +8.576952e+02 -1.087584e+03 +5.063767e+04 -7.439497e+06 -2.436047e+09 -1.200469e+10 +7.709783e+10   +1.721073e-06 +1.711120e-05 +3.996541e-04 -1.219596e-02 -8.991646e-01 -1.118021e+01 -1.503443e+03 -7.770875e+04 -3.981141e+06 -1.057012e+07 +2.891629e+09 +3.011843e+11   
BQD-013   +3.956095e+00   +1.974332e-06 -1.706786e-02 -5.275103e-04 +1.097991e-03 +2.922301e-01 +8.806937e+02 -4.683674e+02 -7.733818e+03 +1.608774e+06 -2.023665e+09 +2.226910e+09 +4.234759e+11   +1.464084e-06 +2.508909e-05 +1.055214e-03 +2.063598e-03 +5.177120e-01 +5.752541e+01 +2.796227e+03 +1.274180e+05 +7.874492e+06 +3.469280e+08 +1.972857e+10 +1.217926e+12   
BQD-014   +3.961908e+00   +2.170684e-06 -1.706991e-02 -2.957502e-04 -8.268079e-03 +1.297578e-01 +8.573639e+02 +2.968194e+02 +1.271043e+05 -2.412074e+06 -2.250346e+09 -1.443821e+10 +1.016456e+12   +1.824982e-06 +1.726202e-05 +6.809600e-04 -1.937233e-02 -1.030659e+00 -3.481143e+01 +4.126507e+02 -1.954213e+05 -3.298764e+06 -3.577493e+08 -9.477186e+09 -1.805080e+12   
