# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q30-004   +5.997100e+00   +1.785166e-06 -9.447213e-02 +1.000473e-03 -1.096216e-01 -7.776510e-01 +4.769120e+03 -6.808137e+02 +3.577117e+05 +9.220555e+07 -3.900732e+11 -3.387362e+11 -2.119546e+13 -3.241040e+15 +7.827950e+18 +1.743007e+19   -2.316348e-07 +4.021762e-05 -2.331068e-04 +5.162727e-02 +1.104872e-01 -4.861241e+02 -5.803648e+03 -1.575725e+05 +2.980197e+07 +1.624520e+10 +3.270314e+11 -8.579308e+12 -1.022172e+15 -4.384868e+17 -2.107997e+19   
Q30-005   +5.997000e+00   +4.451636e-07 -9.452416e-02 -2.145408e-03 -7.248531e-02 -1.181384e-01 +4.877144e+03 +1.514125e+03 +3.697274e+05 -2.245449e+07 -3.876807e+11 +3.447084e+11 -1.658758e+13 -1.694832e+14 +7.546650e+18 +1.018291e+19   +2.071414e-07 +4.135178e-05 -1.165122e-03 +1.068654e-02 +6.930163e-01 -6.567215e+02 +4.691948e+03 +7.502995e+05 +8.633702e+06 +2.386797e+10 -4.982450e+09 -3.523582e+13 +1.715876e+14 -4.655725e+17 +6.989201e+18   
Q30-006   +5.997100e+00   +2.043845e-07 -9.434675e-02 -1.520081e-03 -4.561013e-02 +8.912098e-01 +4.714682e+03 +4.820243e+03 -1.351920e+05 -6.820482e+07 -3.946991e+11 -3.208462e+09 +8.959132e+12 -1.026740e+15 +7.790751e+18 +1.400538e+19   -1.060321e-06 +1.577162e-05 +3.045589e-04 +1.250572e-02 +2.018732e+00 -3.495476e+02 +9.257223e+02 +6.249179e+05 -3.660999e+07 +9.750591e+09 -5.211219e+10 +5.923196e+11 -4.455238e+14 -1.702908e+17 -1.300857e+18   
Q30-007   +5.997200e+00   +2.994749e-07 -9.486797e-02 -1.150824e-03 -7.747774e-02 -2.175907e+00 +4.882233e+03 -1.528268e+03 +5.753875e+05 -1.938178e+07 -3.920753e+11 -3.800148e+09 -7.539935e+12 +4.704562e+14 +7.758025e+18 -6.181992e+18   -3.712109e-07 +4.369422e-05 +5.193915e-04 +2.452758e-02 +2.282544e+00 -5.640284e+02 -1.733989e+03 +2.301042e+05 -3.586290e+07 +1.535250e+10 +7.411557e+09 +4.500784e+12 +1.775485e+15 -4.293053e+17 +1.059008e+19   
Q30-008   +5.997750e+00   +1.683598e-08 -9.445777e-02 -3.232486e-03 -5.525710e-02 -3.095267e+00 +4.778075e+03 -9.234206e+02 +4.427979e+04 -1.475486e+07 -3.919166e+11 -5.475568e+11 -2.501780e+13 +2.387540e+14 +7.513798e+18 +6.461858e+18   +3.502845e-07 +4.241669e-05 -1.840862e-03 +7.936716e-02 +2.220819e-01 -4.339989e+02 -3.049715e+03 -3.031513e+05 +5.127286e+06 +3.545319e+09 -1.816336e+11 -1.957187e+13 +5.272667e+14 +1.143353e+16 +1.566660e+19   
Q30-009   +5.997000e+00   +7.503729e-07 -9.462448e-02 -5.419221e-03 -4.132515e-02 -6.277595e+00 +4.869473e+03 +1.358809e+04 +2.347856e+05 +9.014077e+07 -3.909148e+11 -1.491638e+11 -6.272445e+12 -3.329763e+15 +7.670477e+18 -4.588658e+18   +4.847635e-07 +5.243967e-05 -3.889666e-03 +3.961417e-02 +4.044022e+00 -5.026458e+02 +7.274507e+03 +7.812039e+04 -4.532835e+07 +1.252075e+10 -2.918034e+11 -1.463410e+13 +2.254072e+14 -2.732611e+17 +4.081432e+18   
Q30-010   +5.997050e+00   +4.693931e-07 -9.490183e-02 -2.464480e-03 +4.136751e-02 -5.373585e+00 +4.961664e+03 -1.947678e+03 -4.830630e+05 -3.330669e+06 -3.892415e+11 +2.369763e+10 +1.734493e+13 -8.313389e+14 +7.831862e+18 +8.141221e+18   +2.202570e-07 +7.489999e-05 -1.913753e-03 +9.062096e-03 +3.023415e+00 -4.862251e+02 +7.803172e+03 +2.000332e+05 -1.669599e+07 +1.406434e+10 +2.021421e+11 +3.247120e+12 -4.487631e+14 -2.029108e+17 +6.095190e+18   
Q30-011   +5.997500e+00   -1.634694e-06 -9.491111e-02 -4.782571e-03 -5.887236e-02 -1.862429e+00 +5.234783e+03 +5.792587e+03 +5.909084e+04 -4.271668e+07 -3.941996e+11 -4.934788e+10 -5.688749e+12 +1.688393e+14 +7.798348e+18 +3.995968e+18   -5.741517e-08 +5.929877e-05 -1.623451e-03 +4.768515e-02 +2.952250e+00 -4.304649e+02 -3.551185e+03 -1.031488e+05 -3.902601e+07 +8.295778e+09 -1.443257e+11 -1.841366e+13 -7.763918e+13 -8.151506e+16 +5.021142e+18   
Q30-013   +5.997350e+00   +6.118429e-07 -9.453577e-02 +1.618222e-03 -1.833305e-02 +2.837635e+00 +5.084491e+03 -3.322951e+03 +3.162857e+05 +3.098785e+07 -3.931295e+11 +3.284933e+11 +2.504108e+12 -9.079717e+14 +7.563897e+18 +7.535938e+18   +6.146958e-07 +5.764411e-05 -1.921605e-03 +1.302273e-02 +2.136930e+00 -3.708113e+02 +1.062624e+03 +6.457274e+05 +2.396148e+07 +8.999070e+09 -5.024201e+11 -2.115154e+13 -1.113042e+15 +1.134841e+17 -8.130249e+18   
Q30-014   +5.997650e+00   -1.735693e-07 -9.430739e-02 -3.886911e-03 -5.074371e-02 -1.470168e+00 +4.990323e+03 +8.990410e+03 +6.247920e+04 +1.788207e+07 -3.902272e+11 -5.443244e+07 +6.302345e+11 -6.226709e+13 +7.517499e+18 +5.809740e+18   +1.909668e-07 +5.120919e-05 -2.425540e-03 +4.242815e-02 +2.105320e+00 -2.312779e+02 +8.454153e+03 +1.693570e+05 -2.091523e+07 +8.912604e+09 -7.804445e+10 -8.581871e+12 +1.219675e+15 +9.640191e+16 +2.160031e+17   
Q30-015   +5.997000e+00   -3.713715e-07 -9.422231e-02 -2.070250e-03 -8.980527e-03 -2.437509e+00 +5.115786e+03 +1.757029e+03 +2.906173e+05 +5.470454e+07 -3.880965e+11 +5.578127e+10 -2.855688e+13 -2.524806e+15 +7.281146e+18 -2.175566e+19   +1.733974e-07 +6.515921e-05 -1.382933e-03 +2.065529e-02 +2.359808e+00 -5.771454e+02 +4.352933e+03 +8.802950e+05 +1.597107e+07 +1.926697e+10 -2.913227e+11 -1.158791e+13 -1.341782e+15 -2.721212e+17 +1.518014e+19   
Q30-016   +5.996950e+00   +9.887149e-07 -9.422673e-02 -1.213396e-03 -5.852237e-02 -2.246520e+00 +5.056109e+03 +1.843747e+02 -5.311637e+05 +2.125419e+07 -3.812311e+11 +2.121640e+10 -1.019941e+13 -1.772181e+13 +7.789775e+18 -8.594516e+17   +1.493944e-07 +4.899049e-05 +5.913679e-04 +2.618730e-02 -2.787594e+00 -3.766398e+02 -5.555030e+03 -4.998132e+05 +8.483663e+07 +1.629681e+10 +1.799171e+11 -1.561825e+13 +4.711297e+15 -3.604677e+17 -7.303409e+17   
Q30-017   +5.997300e+00   -1.347867e-06 -9.449406e-02 -3.932635e-03 -1.682569e-01 +1.564410e-01 +5.040021e+03 +5.269395e+03 +8.885725e+05 -4.705834e+07 -3.869224e+11 +4.782075e+10 -6.041157e+12 +1.536645e+15 +7.571767e+18 -7.446039e+18   +8.250234e-07 +5.296522e-05 -1.684305e-03 +8.088730e-02 +2.311844e+00 -5.137250e+02 +1.144832e+04 -5.931466e+03 +5.052682e+07 +1.919914e+10 -4.743550e+11 -4.376900e+11 +9.503350e+14 -3.878892e+17 -1.723564e+19   
Q30-019   +5.997200e+00   +2.335570e-06 -9.427478e-02 +1.633020e-03 -1.607011e-01 -1.831480e+00 +5.077928e+03 -1.308118e+04 +5.827893e+05 +4.429744e+06 -3.882038e+11 -7.884633e+10 -1.271605e+13 -8.174578e+14 +7.767085e+18 +2.380694e+18   +5.193917e-07 +4.503627e-05 -2.265015e-03 +4.315254e-02 +3.899150e+00 -4.105264e+02 +3.135872e+03 +2.088051e+05 -2.534860e+07 +1.172131e+10 +1.642152e+11 -1.120078e+13 +5.614407e+14 -1.287963e+17 +1.139596e+19   
Q30-020   +5.997000e+00   +7.232068e-07 -9.436502e-02 -8.156775e-04 -3.039073e-05 +2.600457e-01 +5.130565e+03 +1.090493e+04 -2.583613e+05 -2.090313e+07 -3.919615e+11 -5.057144e+11 -7.740013e+12 -1.480761e+15 +7.987926e+18 +2.472726e+19   +7.745261e-07 +4.310420e-05 -4.512169e-03 +1.062688e-02 +5.933997e+00 -3.688376e+02 -3.558971e+03 -5.634734e+05 -7.698006e+07 +8.711541e+09 +6.242365e+10 +1.636939e+13 +1.468857e+15 -4.299765e+16 -3.910017e+18   
