# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q30-004   +8.999760e+01   +9.375560e-07 -8.911250e-02 -3.949666e-04 -6.100837e-02 -1.114012e+00 +4.476562e+03 +1.179794e+03 +3.258764e+05 +7.570121e+07 -3.693131e+11 -3.174619e+11 -1.620958e+13 -3.583936e+15 +7.314623e+18 +1.431292e+19   -5.806424e-07 +3.379561e-05 +1.595467e-05 +4.086150e-02 -5.419190e-01 -5.005157e+02 -2.170571e+03 +3.966659e+04 +2.020496e+07 +1.661164e+10 +3.019838e+11 -1.407445e+13 -1.645482e+15 -4.475123e+17 -1.817711e+19   
Q30-005   +8.999720e+01   +1.004880e-07 -8.920716e-02 -1.070612e-03 -8.878245e-02 +5.991421e-01 +3.630446e+03 -3.984818e+03 +1.759478e+05 -2.541614e+07 -3.782851e+11 +1.539572e+11 +1.935398e+12 +4.278172e+14 +7.073110e+18 -7.160606e+18   -4.555862e-07 +4.098643e-05 +8.012954e-05 +1.939608e-02 -6.094859e-01 -6.623551e+02 +3.523989e+03 +4.276335e+04 -3.758212e+06 +2.079206e+10 -4.168780e+10 -2.300579e+13 +3.932376e+14 -3.666131e+17 -2.429308e+18   
Q30-006   +8.999775e+01   -1.560187e-07 -8.914426e-02 -2.859230e-04 -5.638627e-02 +1.851286e+00 +4.484542e+03 -1.229457e+03 +1.012518e+05 -1.339961e+07 -3.704105e+11 +1.011777e+11 -8.469592e+12 -9.431469e+13 +7.361672e+18 +1.135813e+18   -4.583878e-07 +1.201171e-05 -1.585404e-03 +9.676703e-03 +1.741482e+00 -4.477397e+02 +2.424158e+03 +1.815260e+05 -3.213197e+07 +1.114910e+10 +6.835496e+10 -9.276375e+12 +8.120046e+14 -1.227607e+17 -5.576941e+18   
Q30-007   +8.999755e+01   -3.826437e-07 -8.916396e-02 -8.977751e-04 -7.112960e-02 -6.732038e-01 +4.481935e+03 -7.619752e+02 +3.721975e+05 -3.417217e+06 -3.688234e+11 +1.093757e+10 -1.172802e+13 +2.315009e+14 +7.273276e+18 -1.060901e+18   -3.808556e-07 +3.922397e-05 -6.409770e-04 +7.053021e-03 +4.756285e-01 -5.954034e+02 +1.868641e+03 -1.086560e+05 -3.812253e+07 +1.921810e+10 -1.487887e+10 -3.627235e+12 +1.480063e+15 -4.239564e+17 -4.675693e+17   
Q30-008   +8.999805e+01   -9.040639e-08 -8.916319e-02 -1.521784e-03 -4.907312e-02 -1.233435e+00 +4.483553e+03 +1.013227e+03 +2.257727e+05 -1.547726e+07 -3.697305e+11 -9.148370e+10 -5.712993e+12 +4.085213e+14 +7.342224e+18 +9.005838e+17   -1.277192e-07 +4.251497e-05 -9.261271e-04 +4.779422e-02 -3.362984e-01 -2.946979e+02 +9.811789e+02 +2.017436e+04 +1.122690e+07 +5.875564e+09 +2.820536e+10 -9.778866e+12 -3.331200e+13 -5.880149e+16 +1.971966e+18   
Q30-009   +8.999715e+01   +1.014978e-06 -8.915451e-02 -2.220463e-03 -3.489426e-02 -3.357451e+00 +4.486689e+03 +1.580277e+03 +1.582766e+05 +8.021466e+07 -3.680929e+11 -4.957085e+10 -3.324326e+12 -2.459739e+15 +7.255281e+18 +3.213423e+18   -2.393830e-07 +4.004805e-05 -1.897942e-03 +3.961749e-02 +2.576142e+00 -4.172551e+02 +3.529044e+03 +6.228739e+04 -2.909581e+07 +1.119318e+10 -1.275258e+11 -1.588516e+13 +1.012956e+15 -2.031919e+17 +1.603497e+18   
Q30-010   +8.999655e+01   -2.309974e-07 -8.914652e-02 -1.818537e-03 +1.755428e-02 -2.078259e+00 +4.473868e+03 -2.469517e+03 -1.324081e+05 -7.825119e+06 -3.672061e+11 +1.608815e+10 +6.542544e+12 +4.145734e+14 +7.219460e+18 -5.415395e+16   -6.001737e-07 +6.199438e-05 -2.351162e-04 -7.278323e-03 +6.111263e-01 -4.799014e+02 -7.691060e+02 +5.998831e+04 -3.633004e+07 +1.314912e+10 +1.910710e+10 +4.249540e+12 +1.185849e+15 -2.152441e+17 -2.087054e+18   
Q30-011   +8.999770e+01   -1.317241e-06 -8.918815e-02 -1.211968e-03 -5.219163e-02 -5.234343e-01 +4.609549e+03 -2.642913e+03 +1.910388e+05 -2.907823e+07 -3.716293e+11 +1.153255e+11 -6.905884e+12 +5.810077e+14 +7.337458e+18 -2.859260e+18   +2.958052e-07 +5.679235e-05 -3.237205e-03 +3.118401e-02 +3.220811e+00 -4.020307e+02 +7.043036e+03 -2.003849e+04 -1.102153e+07 +1.000072e+10 -2.011345e+11 -4.229510e+12 +2.843755e+14 -1.048949e+17 +3.301454e+18   
Q30-013   +8.999785e+01   -5.480381e-07 -8.919450e-02 +1.120282e-04 -4.323235e-02 +1.833243e+00 +4.564047e+03 -1.548240e+03 +3.102679e+04 -3.289087e+07 -3.695675e+11 +7.285923e+10 -1.181976e+12 +8.536463e+14 +7.319654e+18 -9.035780e+17   +2.816556e-07 +5.187252e-05 -2.009789e-03 -5.903567e-05 +1.098820e+00 -3.509146e+02 +4.014929e+03 +4.616841e+05 -2.329149e+06 +8.107905e+09 -2.484395e+10 -8.443849e+12 -1.219512e+14 -1.092140e+17 +1.137219e+18   
Q30-014   +8.999805e+01   +3.128713e-08 -8.913210e-02 -9.525766e-04 -3.033820e-02 +8.250878e-02 +4.553808e+03 -1.582940e+03 +3.846217e+02 -3.464190e+06 -3.692080e+11 +4.970375e+10 -6.358743e+12 +2.830710e+14 +7.270739e+18 -2.664574e+18   -3.741943e-08 +4.902094e-05 -1.917215e-03 +2.784781e-02 +2.140515e+00 -3.107730e+02 +4.367564e+03 +1.426368e+05 -4.695063e+07 +7.792359e+09 -1.004867e+11 -1.129060e+13 +1.357666e+15 -1.129497e+17 +1.306139e+18   
Q30-015   +8.999720e+01   -5.288830e-07 -8.912308e-02 -1.748618e-03 -2.529539e-02 -1.299069e+00 +4.595259e+03 +1.266583e+03 +4.248544e+05 +3.429610e+07 -3.652836e+11 +3.938293e+10 -8.993190e+12 -1.974798e+15 +7.062835e+18 -1.438736e+19   +3.303411e-07 +5.863192e-05 -2.958486e-03 +1.085120e-03 +3.108381e+00 -5.755067e+02 +1.253103e+04 +5.941320e+05 -7.916017e+06 +1.784299e+10 -5.320136e+11 -3.530179e+13 -1.285159e+15 -4.825813e+17 +1.382924e+19   
Q30-016   +8.999690e+01   -4.692997e-08 -8.914970e-02 -2.131062e-03 -6.587610e-02 -8.238319e-01 +4.607166e+03 +9.467339e+02 +1.715951e+05 +2.110434e+07 -3.697378e+11 -2.963768e+10 -8.398309e+12 -5.761660e+14 +7.287321e+18 +2.925922e+18   +9.057729e-08 +5.013534e-05 -8.696971e-05 +1.907830e-02 -1.833800e+00 -4.541706e+02 -2.186459e+02 +3.032047e+05 +7.518190e+06 +1.298034e+10 +4.238272e+10 -1.316832e+13 -1.602867e+14 -2.322836e+17 -1.172884e+18   
Q30-017   +8.999825e+01   -8.013764e-07 -8.909752e-02 +3.428098e-04 -1.754567e-01 +2.135896e+00 +4.569530e+03 -6.779592e+03 +7.034997e+05 -8.023576e+07 -3.662011e+11 +2.353058e+11 -2.056309e+13 +2.620658e+15 +7.150851e+18 -4.217982e+18   +6.272140e-07 +5.019269e-05 -1.855573e-03 +4.557382e-02 +1.936967e+00 -5.463142e+02 +6.711971e+03 -2.392805e+05 -9.749040e+06 +1.768817e+10 -2.203990e+11 -4.423013e+12 +2.980046e+14 -4.272469e+17 +8.499711e+18   
Q30-019   +8.999710e+01   +6.367230e-07 -8.913677e-02 -2.447283e-03 -1.694760e-01 -1.669032e+00 +4.591381e+03 -2.805223e+02 +7.322924e+05 +2.367240e+06 -3.676333e+11 +2.368726e+10 -2.518163e+13 +1.862041e+14 +7.201675e+18 +5.736919e+16   -1.474938e-07 +4.768786e-05 -1.974188e-03 +3.146634e-02 +2.068976e+00 -4.863921e+02 +5.746500e+03 +4.134690e+04 -3.282130e+07 +1.367502e+10 -7.769988e+10 -5.769657e+12 +3.928822e+14 -1.766368e+17 -6.977603e+17   
Q30-020   +8.999720e+01   +7.041194e-07 -8.916217e-02 -3.186715e-05 -1.944832e-02 +1.550454e+00 +4.603164e+03 +4.303428e+03 -2.469136e+05 -2.298423e+07 -3.721660e+11 -4.482467e+11 -1.266132e+13 +2.652527e+14 +7.441405e+18 +2.925378e+19   -2.332245e-07 +3.977610e-05 -2.265265e-03 +1.669944e-02 +3.151096e+00 -4.087439e+02 -3.641880e+03 -3.586866e+05 -7.461421e+07 +9.537381e+09 +1.967671e+11 +2.475383e+13 +4.169160e+15 -1.137284e+16 -7.685301e+18   
