# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q30-004   +4.999440e+01   +9.757035e-07 -8.913472e-02 -3.852806e-04 -8.166821e-02 -9.548191e-01 +4.522333e+03 +2.067826e+03 +4.605722e+05 +6.734518e+07 -3.694600e+11 -3.381761e+11 -1.521082e+13 -3.103598e+15 +7.364515e+18 +1.249955e+19   -5.861665e-07 +3.358406e-05 +1.241978e-04 +4.057438e-02 -4.728784e-01 -4.586352e+02 -6.628458e+02 +1.799292e+05 +2.047079e+07 +1.600172e+10 +1.826095e+11 -1.204006e+13 -1.363596e+15 -3.958585e+17 -1.288360e+19   
Q30-005   +4.999445e+01   +1.652745e-07 -8.927433e-02 -9.823842e-04 -8.916168e-02 +9.016969e-01 +3.629647e+03 -1.048993e+03 +1.760571e+05 -2.765479e+07 -3.679456e+11 +8.102241e+10 -4.475939e+12 +8.836425e+14 +7.329608e+18 -4.827798e+18   -3.666907e-07 +4.066999e-05 -1.486592e-04 +2.141160e-02 -5.202818e-01 -6.742048e+02 +5.660650e+03 +7.244970e+03 -1.180769e+07 +2.124996e+10 -2.194266e+10 -1.805672e+13 +6.747519e+14 -4.021242e+17 -1.916134e+18   
Q30-006   +4.999475e+01   -4.396276e-08 -8.917312e-02 +6.763792e-07 -7.035339e-02 +2.037054e+00 +4.519599e+03 -7.544544e+02 +2.244834e+05 -1.811776e+07 -3.696102e+11 +1.337976e+10 -6.440738e+12 +1.137609e+14 +7.346241e+18 +1.603805e+18   -4.394357e-07 +1.165427e-05 -1.582276e-03 +8.141175e-03 +1.934341e+00 -3.914907e+02 +2.050313e+03 +2.640331e+05 -3.266267e+07 +9.973425e+09 +4.530364e+10 -1.182900e+13 +1.243149e+15 -9.618618e+16 -2.937138e+18   
Q30-007   +4.999445e+01   -2.758082e-07 -8.917736e-02 -5.749922e-04 -7.902499e-02 -3.319827e-01 +4.535653e+03 -2.744583e+03 +4.664224e+05 -1.391849e+07 -3.695066e+11 +8.642447e+10 -1.564416e+13 +4.181050e+14 +7.345595e+18 -3.663251e+18   -2.697721e-07 +3.866685e-05 -8.868926e-04 +7.170586e-03 +7.005808e-01 -5.554519e+02 +2.459053e+03 -5.171504e+04 -2.518130e+07 +1.778225e+10 -6.203267e+10 -5.151528e+12 +9.509356e+14 -3.760003e+17 +1.683792e+18   
Q30-008   +4.999515e+01   -4.960501e-08 -8.916957e-02 -1.640293e-03 -5.060965e-02 -1.539173e+00 +4.539430e+03 +5.191636e+02 +1.166304e+05 -8.866046e+06 -3.682891e+11 +1.150978e+09 -7.377662e+11 +9.165749e+13 +7.263937e+18 +2.453238e+18   -1.213580e-07 +4.102256e-05 -7.906751e-04 +4.837515e-02 -3.997970e-01 -2.605849e+02 +2.788763e+02 -4.561586e+04 +3.649954e+06 +6.309336e+09 -1.611531e+10 -8.419345e+12 +1.751905e+14 -6.231026e+16 -7.230967e+17   
Q30-009   +4.999405e+01   +1.077694e-06 -8.915107e-02 -2.205528e-03 -4.077613e-02 -3.353663e+00 +4.550265e+03 +1.305676e+03 +1.380096e+05 +7.075658e+07 -3.689413e+11 -4.088961e+10 -2.117282e+12 -2.167510e+15 +7.337147e+18 +1.262012e+17   -2.211021e-07 +4.005277e-05 -1.821180e-03 +4.222040e-02 +2.700533e+00 -4.598173e+02 +4.330613e+03 -2.320200e+04 -3.061728e+07 +1.483782e+10 -1.467672e+11 -1.723079e+13 +7.720229e+14 -3.522225e+17 +4.683123e+18   
Q30-010   +4.999400e+01   -1.847592e-07 -8.916436e-02 -1.859993e-03 +2.163962e-02 -2.143213e+00 +4.517370e+03 -1.559102e+03 -1.265265e+05 -1.002856e+07 -3.667734e+11 +6.496842e+10 +1.041441e+13 +3.957337e+14 +7.266110e+18 -2.655937e+18   -4.944917e-07 +6.141095e-05 -4.254937e-04 -8.698282e-03 +8.220786e-01 -4.603388e+02 +5.653062e+01 +1.359249e+05 -3.121117e+07 +1.288706e+10 -1.254930e+11 +3.054156e+12 +9.651186e+14 -2.483468e+17 +1.691909e+18   
Q30-011   +4.999470e+01   -1.292404e-06 -8.921416e-02 -1.342106e-03 -5.237713e-02 -4.709557e-01 +4.662488e+03 -1.942327e+03 +1.569847e+05 -3.158917e+07 -3.707979e+11 +9.074278e+10 -4.799461e+12 +4.409611e+14 +7.343954e+18 -3.453476e+18   +3.651655e-07 +5.635473e-05 -3.404723e-03 +3.183545e-02 +3.541261e+00 -3.974699e+02 +6.326565e+03 +6.088163e+03 -1.318337e+07 +1.036412e+10 -1.689940e+11 -9.829228e+12 +2.370065e+14 -1.050132e+17 +1.892736e+18   
Q30-013   +4.999500e+01   -4.333883e-07 -8.920058e-02 +4.275610e-04 -4.432675e-02 +2.093867e+00 +4.618140e+03 -2.621624e+03 -1.581550e+04 -2.858414e+07 -3.688545e+11 +1.503184e+11 -1.157076e+12 +4.690039e+14 +7.266215e+18 +6.312939e+17   +2.985869e-07 +5.109347e-05 -1.937712e-03 +2.206985e-03 +1.167788e+00 -3.218368e+02 +3.665625e+03 +3.776374e+05 -2.530667e+06 +8.458872e+09 +6.804934e+08 -7.193097e+12 -3.457356e+13 -8.452603e+16 +3.036936e+18   
Q30-014   +4.999500e+01   +1.144088e-07 -8.913623e-02 -7.707103e-04 -4.644974e-02 +1.552550e-01 +4.592597e+03 -2.945931e+03 +3.627753e+04 -6.494515e+06 -3.679944e+11 +1.152815e+11 -5.542382e+12 +3.741926e+14 +7.193699e+18 -3.648377e+18   +3.725299e-09 +4.831183e-05 -1.892635e-03 +2.847335e-02 +2.295878e+00 -2.877126e+02 +5.295362e+03 +1.950157e+05 -4.265599e+07 +8.177726e+09 -1.183019e+11 -6.820920e+12 +1.276277e+15 -1.254654e+17 +2.100066e+18   
