# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-042   -1.849820e-04   +1.089919e-01 -1.425740e+00 +1.622850e+01 +3.993293e+02 +6.331973e+03 -4.591340e+05 -6.415165e+05 -1.043020e+08 +6.843509e+09 -1.420688e+12 -1.518921e+14 +5.554924e+15   +3.166296e-02 -6.161021e-01 -1.508655e+01 +3.257539e+02 +1.146765e+04 +1.215307e+05 -6.312706e+06 -1.051863e+09 +1.102428e+11 -7.676747e+11 +1.945287e+14 +6.227644e+15   
BC-063   -1.329997e-04   +1.625553e-01 +3.960859e-01 +3.113812e+00 +4.762193e+01 -6.485398e+03 +3.635543e+05 -1.958332e+07 -1.184554e+08 +2.445263e+10 -3.568486e+11 +7.213790e+13 -4.381497e+15   +2.969284e-02 +4.408742e-02 +4.049677e+00 +1.432714e+02 -1.196830e+03 +1.141351e+05 -1.978890e+06 +8.313891e+07 +2.035021e+09 +1.046386e+12 -5.100160e+13 -3.593266e+15   
BC-065   +4.150613e-05   -4.892870e-01 -1.416202e+00 -1.498728e+01 -3.790286e+02 +2.156783e+04 +2.629903e+05 +6.168265e+07 -8.870955e+08 -8.073311e+10 +2.352051e+12 -7.012396e+14 +7.306309e+15   -9.644296e-02 -2.453893e-01 -5.788909e+00 -2.097976e+01 +4.637756e+03 +9.622169e+05 +1.726552e+07 +4.609035e+07 +6.877170e+10 +3.453981e+12 -1.906407e+14 +4.613559e+16   
BC-066   -3.811251e-04   +5.795168e-02 +1.557476e-01 +1.272617e+00 +6.224985e+01 -1.130595e+03 +6.112132e+04 -3.274804e+06 +6.795430e+07 -1.324302e+10 +7.707472e+11 +1.315869e+12 -1.373663e+15   +1.327677e-02 +4.254196e-02 +1.056978e+00 +6.107430e+01 -1.187135e+03 -3.131268e+04 +9.708552e+04 +1.268888e+07 +3.836525e+09 +3.766456e+11 -4.593242e+13 +1.654650e+15   
BC-068   -1.602662e-04   +1.289349e-01 +4.103931e-01 +4.133147e+00 +3.753844e+00 -1.688805e+03 -9.667653e+04 -2.082584e+07 +7.572270e+08 -5.073619e+10 -1.255923e+12 -3.176521e+13 -3.743416e+15   +2.175483e-02 +7.926238e-02 +4.721259e+00 +4.211841e+01 -1.900094e+03 -1.069847e+05 +1.354131e+06 +5.197546e+08 +1.884080e+10 +1.759991e+12 +2.753508e+13 +2.997363e+15   
BC-069   +1.832921e-04   -1.151014e-01 -4.266596e-01 -1.891963e+00 -6.934641e+01 +1.551857e+03 +2.693003e+04 +9.943844e+06 -9.782691e+07 -1.546611e+10 +2.696928e+12 +1.692155e+13 -1.077187e+16   -1.994751e-02 -2.224575e-02 -1.736724e+00 -8.827631e+00 -2.667102e+03 -3.308547e+04 -3.758042e+06 +7.612139e+06 +2.502374e+10 +2.428811e+12 -6.161575e+13 +5.771722e+15   
BC-070   +2.596384e-04   -7.861595e-02 -2.782253e-01 -2.050053e+00 +4.607685e+01 +2.337771e+03 -1.083874e+05 +1.116952e+07 +3.243997e+08 +3.630113e+08 +4.264554e+11 -1.516672e+13 +1.525477e+15   -1.429249e-02 -5.158228e-02 -2.738132e+00 -5.376585e+01 -7.201924e+02 -2.799936e+04 +1.457530e+07 +3.723727e+08 +1.211914e+10 +1.004259e+12 +4.541516e+13 -1.823212e+15   
BC-071   +1.042191e-04   -2.308220e-01 -6.392631e-01 -5.067673e+00 -2.262562e+02 +2.796556e+03 -3.800281e+05 +2.559431e+07 -1.341570e+09 -4.420218e+10 +3.791829e+10 +2.025014e+14 -4.276761e+14   -4.316525e-02 -1.928745e-01 -5.534220e+00 -1.500468e+02 +3.752739e+03 +2.339168e+04 -9.194514e+06 +3.125420e+08 +4.787278e+09 -1.142027e+12 -8.386493e+11 -1.302601e+16   
BC-072   +5.404836e-04   -3.755566e-02 -1.077756e-01 -9.863269e-01 -1.686948e+01 +4.430604e+02 -1.580923e+04 +5.804818e+06 +2.140374e+08 +3.889337e+09 +2.328877e+10 +3.412629e+12 +1.528467e+14   -7.027166e-03 -2.629632e-02 -1.108893e+00 -1.848257e+01 -1.965701e+02 -6.267828e+04 -1.602630e+06 -9.091998e+07 -1.678824e+10 -8.334260e+11 -2.258422e+13 -2.437204e+15   
BC-073   +3.577979e-04   -6.164354e-02 -1.639915e-01 -9.873783e-01 -3.742602e+01 +5.279067e+01 -2.570316e+04 +6.031796e+06 +2.191366e+08 -7.685473e+09 +3.392809e+11 +1.460139e+13 +5.796457e+14   -1.149791e-02 -5.108538e-02 -6.966813e-01 +1.059846e+01 -2.739172e+03 +7.688477e+04 -6.805367e+05 -5.915638e+06 -8.854359e+08 +6.555933e+10 +2.320405e+12 -2.123052e+15   
