# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-042   +8.997780e+00   +3.383260e-04 +4.293588e-05 +2.348384e-03 +4.472108e-03 -7.392638e+00 +1.423436e+02 -4.873325e+04 -5.265198e+04 -1.266113e+07 -2.190374e+08 +6.130799e+10 +9.237026e+11   -3.384286e-07 +4.001377e-06 +2.529495e-04 -3.786441e-03 -2.687442e-01 +1.734316e+01 +2.454029e+03 +5.194614e+04 -2.975119e+06 +1.702519e+08 -3.128475e+10 +8.392096e+11   
BC-063   +8.999733e+00   +3.381446e-04 +5.136722e-06 +2.882628e-03 +1.079325e-02 -8.398564e+00 +1.474735e+02 -4.947075e+04 -3.046461e+04 +5.611351e+05 -2.144130e+08 +6.488424e+10 +2.754216e+11   -2.926882e-07 -9.556926e-06 -8.646002e-05 +5.292670e-03 -1.876435e-01 +8.558153e+00 +4.140863e+02 -5.295224e+03 +7.813652e+06 +3.559239e+07 +2.916062e+10 -4.350478e+11   
BC-065   +9.000573e+00   +3.385840e-04 +7.116847e-06 +2.894122e-03 +1.059326e-02 -7.939496e+00 +1.425987e+02 -4.804234e+04 -4.826266e+03 +6.289474e+05 -3.227009e+08 +6.406200e+10 +1.957273e+11   -1.027392e-07 -1.351476e-05 -6.033146e-06 +4.558085e-03 +1.957713e-01 -6.129304e+00 -3.161307e+02 -6.667822e+02 +4.352647e+05 +4.048254e+05 -1.631471e+09 -3.126884e+10   
BC-066   +9.000186e+00   +3.382432e-04 +2.546231e-06 +2.910760e-03 +8.005133e-03 -7.823977e+00 +1.325433e+02 -4.821497e+04 -2.978604e+04 +5.448766e+05 -2.810581e+08 +6.224010e+10 +1.529666e+11   -2.337167e-07 -6.262078e-06 +2.584613e-05 -1.936014e-03 +7.676548e-02 -2.772076e+00 -1.619703e+02 +2.234560e+04 -6.437444e+05 -9.208561e+06 +5.403549e+08 +9.138978e+10   
BC-068   +9.001437e+00   +3.384196e-04 +8.284136e-06 +2.847223e-03 +5.822556e-03 -7.970583e+00 +1.347208e+02 -4.864457e+04 +1.241453e+05 +2.407656e+06 +2.515057e+07 +6.779273e+10 +3.946820e+11   -3.614938e-07 -1.023241e-05 +1.084850e-04 +1.277301e-03 +3.342996e-01 +4.275991e+00 -1.255280e+01 +1.072841e+05 +1.484235e+05 +2.570845e+08 +6.672155e+09 -5.642249e+09   
BC-069   +9.000679e+00   +3.386926e-04 +1.022454e-05 +2.804596e-03 +6.203923e-03 -8.103615e+00 +1.335756e+02 -4.842316e+04 +1.911585e+04 +3.626015e+06 -1.392111e+08 +6.799396e+10 +6.525947e+11   -2.423670e-07 -5.808811e-06 +4.742840e-05 -4.678046e-03 +9.491223e-02 -1.925806e+01 -6.635985e+02 +8.076528e+03 +3.135922e+05 -1.728202e+08 +4.447776e+09 -8.429060e+11   
BC-070   +9.001555e+00   +3.384479e-04 -1.699042e-06 +2.830027e-03 -3.149003e-03 -8.300991e+00 +1.171936e+02 -4.900549e+04 -3.648603e+04 -1.081246e+06 -3.435105e+08 +6.087753e+10 -1.708920e+10   +1.021732e-08 -5.178935e-06 +1.472362e-06 -5.096601e-03 -2.643935e-01 -3.200045e+01 -1.590639e+03 -6.245572e+04 -3.499669e+06 -1.062613e+08 -4.148053e+09 -2.387222e+11   
BC-071   +9.000586e+00   +3.382781e-04 -4.405954e-07 +2.901444e-03 +9.257028e-03 -7.988533e+00 +1.512777e+02 -4.769889e+04 -7.165811e+03 +9.792560e+05 -3.200312e+08 +6.404425e+10 +2.018220e+11   -1.158400e-07 -1.401695e-05 -5.749603e-05 -3.341280e-04 +1.540224e-01 -7.461526e+00 -3.939385e+02 +7.610520e+03 -1.054377e+05 +1.083135e+07 +3.630639e+08 -2.439612e+10   
BC-072   +9.002752e+00   +3.388607e-04 +1.402170e-06 +2.870425e-03 -9.970618e-04 -9.045603e+00 +1.419999e+02 -4.995957e+04 -9.905638e+03 +7.463034e+06 -4.688752e+08 +8.895333e+10 +3.086097e+11   -2.902515e-07 -1.175479e-05 -9.617234e-05 -2.536306e-03 -1.472944e-01 -1.509417e+01 -7.653739e+02 +1.329616e+05 -9.299370e+05 +2.275782e+08 +5.766846e+09 -5.092681e+11   
BC-073   +9.001628e+00   +3.381536e-04 -1.457576e-06 +2.910681e-03 +6.888396e-03 -7.815896e+00 +1.265785e+02 -4.808773e+04 +1.221011e+03 +6.805803e+05 -3.261041e+08 +6.330148e+10 +1.017740e+11   -2.268656e-07 -7.457899e-06 +1.673626e-05 -1.463371e-03 +8.870067e-02 -3.095660e+00 -5.693215e+02 +5.043370e+03 -1.088833e+06 -1.288588e+07 -2.859079e+08 -9.549757e+10   
