# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-042   -9.002474e+00   +3.396753e-04 -1.277590e-05 +2.991726e-03 +2.528879e-02 -7.184047e+00 +1.305733e+02 -4.941949e+04 -7.033682e+04 +1.998774e+06 -4.654642e+08 +9.554249e+10 -1.068814e+12   +8.451089e-07 -2.936369e-05 -6.906127e-04 -2.130990e-02 -8.416425e-01 -5.751769e+01 -1.581200e+03 -1.039117e+05 +8.208255e+06 +2.678625e+08 +2.474239e+10 +8.401627e+11   
BC-063   -9.001085e+00   +3.399185e-04 +1.549521e-05 +2.897017e-03 +1.201527e-02 -7.938711e+00 +1.474520e+02 -4.893167e+04 -4.094031e+03 -5.818214e+05 -3.055923e+08 +5.957201e+10 +1.783605e+11   +5.813892e-07 -8.626762e-06 +1.319941e-04 +1.192541e-03 +1.248348e-01 -1.119504e+01 -4.865737e+02 +8.697269e+03 -1.154250e+06 -3.820303e+07 -5.823860e+09 -2.664690e+11   
BC-065   -9.000518e+00   +3.402022e-04 +1.915975e-05 +2.848306e-03 +1.099771e-02 -7.883027e+00 +1.453555e+02 -4.811773e+04 -1.305455e+04 +4.398616e+05 -3.140830e+08 +6.172128e+10 +1.392767e+11   +7.891178e-07 -1.139556e-05 +1.507411e-04 +6.368580e-03 +1.233185e-01 -1.032654e+00 -2.850068e+02 +9.896286e+03 +2.002340e+05 +3.356353e+07 +1.485772e+09 +1.045058e+11   
BC-066   -9.000286e+00   +3.403027e-04 +1.528961e-05 +2.921058e-03 +6.457304e-03 -8.127350e+00 +1.153973e+02 -5.070722e+04 +2.655310e+04 -7.693806e+06 -3.387628e+08 +5.260707e+10 -5.225935e+11   +8.436230e-07 -2.870271e-06 +2.877462e-05 +3.441317e-03 +1.874345e-01 -1.435508e+01 +8.674024e+02 -7.820058e+04 +2.692418e+06 -5.059214e+08 -1.044702e+10 -1.346006e+12   
BC-068   -9.002519e+00   +3.400696e-04 +2.042887e-05 +2.831689e-03 +4.367119e-03 -8.043280e+00 +1.067049e+02 -4.908718e+04 +6.982922e+04 +1.623341e+06 +3.040767e+08 +8.907951e+10 +2.429641e+12   +3.645144e-07 -9.549709e-06 +4.223481e-05 +8.250339e-04 +7.674941e-01 -3.234829e+01 +2.456499e+03 -7.688829e+04 +1.337942e+07 +4.922151e+08 +2.867320e+10 +1.264968e+12   
BC-069   -9.000654e+00   +3.403146e-04 +2.637367e-05 +2.803080e-03 +8.895079e-03 -7.705265e+00 +1.148411e+02 -4.731072e+04 +1.744162e+03 +7.844064e+05 -1.829016e+08 +6.328169e+10 +1.519347e+11   +5.847675e-07 -5.647795e-06 +9.146850e-05 +1.580484e-03 +1.439348e-01 -2.779438e-01 +7.664209e+02 +3.198073e+04 +2.055903e+06 -2.879063e+07 -7.608184e+09 -4.059522e+11   
BC-070   -9.000848e+00   +3.400196e-04 +1.482234e-05 +2.806831e-03 +1.055925e-02 -7.826148e+00 +1.284893e+02 -4.805398e+04 -5.635396e+03 -1.884910e+05 -2.394683e+08 +6.264906e+10 +1.367530e+11   +8.450573e-07 -1.773482e-06 +1.697430e-04 +3.839437e-04 +5.944040e-02 -2.669686e-01 -1.838489e+02 +9.331823e+03 -2.411516e+05 -3.946611e+07 +9.641283e+08 +5.251394e+10   
BC-071   -9.000338e+00   +3.405340e-04 +1.362339e-05 +2.888686e-03 +1.239616e-02 -7.901667e+00 +1.508680e+02 -4.786645e+04 -1.198899e+04 +7.530237e+05 -3.340718e+08 +6.640938e+10 +1.491927e+11   +8.798861e-07 -8.170132e-06 +6.329553e-05 +3.275239e-03 +1.139114e-01 -6.762564e+00 -6.400315e+02 +4.739948e+03 -2.537590e+05 +1.794555e+06 -1.341259e+09 +7.481509e+10   
BC-072   -9.000586e+00   +3.405333e-04 +1.487602e-05 +2.938218e-03 +6.018857e-03 -7.776726e+00 +1.151816e+02 -4.818940e+04 -6.194228e+03 +1.298759e+06 -2.855624e+08 +6.527516e+10 +1.408674e+10   +5.477238e-07 -8.429248e-06 +6.408685e-05 +6.808038e-04 +1.617767e-01 -4.985560e+00 -9.868776e+01 +1.546274e+04 -7.972442e+05 -2.609206e+07 +1.282731e+07 -2.078802e+11   
BC-073   -9.000332e+00   +3.400029e-04 +1.308301e-05 +2.922520e-03 +9.206907e-03 -7.944205e+00 +1.264019e+02 -4.799217e+04 +5.427975e+03 +3.896157e+05 -2.770397e+08 +6.485904e+10 +1.924001e+11   +6.865116e-07 -3.972508e-06 +3.246269e-05 +1.463587e-03 +2.170533e-01 -5.917614e+00 -3.278915e+02 -1.783580e+03 -7.616713e+05 -4.556829e+07 -2.847159e+09 -4.857475e+10   
BC-074   -9.000142e+00   +3.402560e-04 +1.227786e-05 +2.855604e-03 +1.120406e-02 -7.987633e+00 +1.510293e+02 -4.815718e+04 -7.711624e+03 +4.868390e+05 -3.312643e+08 +6.234066e+10 +1.280850e+11   +6.600449e-07 -4.098232e-06 +6.853734e-05 -4.194243e-04 +1.271480e-01 -4.094254e+00 -3.079621e+02 +6.270564e+03 -1.662376e+05 -3.112570e+07 +8.659374e+08 +5.948552e+08   
