# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-042   +9.994578e-01   +3.310188e-04 +2.677928e-04 +1.279680e-04 -1.800565e-02 -8.468671e+00 +2.475373e+02 -4.044009e+04 +2.653298e+05 -1.236781e+07 -1.004584e+09 +1.451877e+11 +4.927237e+11   -5.205073e-06 +1.110197e-04 +1.765353e-03 -5.393019e-03 -2.741101e+00 -3.034043e+01 -3.163647e+03 +4.498717e+05 +8.240459e+06 +4.368759e+08 -3.438314e+10 +3.336713e+12   
BC-063   +1.000241e+00   +3.294663e-04 -4.001215e-05 +2.688590e-03 +8.391951e-04 -8.083871e+00 +1.607223e+02 -4.673435e+04 -1.237236e+05 -7.416079e+05 -4.140514e+08 +8.338739e+10 +3.315434e+11   -3.792831e-06 -1.790986e-05 -5.074888e-04 -1.346176e-02 +3.412113e-01 +1.217918e+01 +1.171827e+03 +7.342095e+04 -3.012010e+06 +4.917304e+08 +2.451545e+09 -6.408437e+10   
BC-065   +1.000058e+00   +3.308194e-04 -3.969665e-05 +3.087764e-03 -4.439813e-04 -7.799046e+00 +1.365287e+02 -4.719794e+04 +5.963903e+04 -2.926636e+06 -1.997104e+08 +6.410200e+10 -2.586015e+11   -3.685792e-06 -2.565467e-05 -5.680726e-04 -6.772270e-03 +1.776462e-01 +1.138821e+01 +8.866612e+02 +1.232273e+05 +2.029522e+06 +3.739255e+07 +1.616252e+10 +2.736625e+11   
BC-066   +9.996543e-01   +3.289235e-04 -3.856621e-05 +2.754896e-03 -6.312710e-03 -7.789477e+00 +1.022576e+02 -4.742071e+04 +3.982797e+04 +2.972686e+05 -3.866027e+08 +6.942991e+10 -5.661488e+11   -4.666895e-06 -1.864681e-05 -3.041291e-04 -6.606048e-03 +2.123250e-01 +7.153903e+00 -1.321650e+03 +3.207046e+04 -4.271033e+06 +2.900465e+08 +9.467875e+08 +3.534126e+11   
BC-068   +1.000429e+00   +3.300246e-04 -3.781017e-05 +2.755428e-03 +6.538985e-03 -7.329913e+00 +9.722751e+01 -4.642324e+04 -4.997284e+04 +4.198071e+06 -6.232538e+08 +6.716543e+10 +7.449499e+10   -3.579390e-06 -2.378681e-05 -6.230757e-04 -1.456394e-02 +5.197834e-01 -1.191463e+01 +5.767409e+02 -2.322667e+04 -5.748715e+05 +1.199543e+08 -8.375338e+08 +1.073295e+11   
BC-069   +1.000532e+00   +3.310027e-04 -5.082587e-05 +2.942983e-03 +4.240034e-03 -7.592106e+00 +1.263593e+02 -4.468717e+04 -5.081711e+03 +4.102346e+06 -1.355651e+08 +6.436538e+10 +5.212230e+11   -3.537249e-06 -7.967417e-06 -3.263824e-04 -7.630800e-03 -3.921253e-01 -1.399555e+01 -1.424626e+03 +4.997906e+03 +4.880853e+06 -1.547182e+07 +8.942594e+09 -1.834400e+11   
BC-070   +1.000470e+00   +3.308341e-04 -5.874395e-05 +2.893048e-03 +7.391718e-03 -7.085546e+00 +1.613268e+02 -4.747147e+04 +3.185104e+04 -5.592079e+06 -2.003407e+08 +6.293849e+10 +6.000656e+11   -3.498807e-06 -1.537419e-05 -3.054402e-04 -3.164572e-03 +6.552610e-01 -5.284788e+00 +7.868354e+02 -2.587623e+04 -1.146134e+06 -4.292209e+06 -1.642296e+09 +8.351178e+11   
BC-071   +1.000115e+00   +3.278146e-04 -5.482384e-05 +2.791778e-03 -1.245727e-03 -7.369853e+00 +1.536636e+02 -4.591143e+04 +6.413765e+03 -4.110047e+06 -1.756552e+08 +4.874480e+10 +2.633080e+11   -4.101696e-06 -3.277689e-05 -3.795576e-04 -7.955372e-03 -3.509181e-01 -5.393001e+00 +5.723218e+02 +2.063786e+05 +2.412744e+06 +3.145141e+08 +5.550104e+09 +4.835586e+11   
BC-072   +1.000958e+00   +3.306445e-04 -4.450699e-05 +3.143421e-03 -4.880752e-03 -7.285535e+00 +1.114856e+02 -4.705405e+04 +7.069610e+04 +4.109599e+06 +8.394035e+07 +7.219751e+10 +1.816180e+11   -3.613759e-06 -2.349160e-05 -2.050942e-04 -9.205049e-03 -3.144216e-01 -8.451401e+00 -2.127218e+02 +5.452994e+04 -4.625900e+05 +1.880278e+08 +2.804361e+09 +5.261507e+11   
BC-073   +1.000674e+00   +3.296730e-04 -5.281510e-05 +3.116593e-03 -1.887933e-02 -7.948147e+00 +1.151829e+02 -4.721028e+04 +5.204686e+04 -2.263846e+06 -4.328081e+08 +7.998130e+10 -6.251351e+10   -4.027163e-06 -1.917035e-05 +3.644844e-05 -1.369988e-02 -4.569032e-01 +3.572844e+01 -2.330110e+03 +4.292106e+04 +9.478161e+05 +8.606993e+07 +1.814858e+10 -7.544454e+11   
