# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BS-007   +8.986598e+01   +1.603932e-07 -3.558686e-06 -1.430240e-01 -4.469109e-04 +9.446675e-01 -4.108974e+00 +6.450897e+02 +7.716399e+03 +1.079520e+08 -1.103446e+06 -2.338197e+09 -1.631097e+10   +6.881692e-08 +1.279439e-05 +5.982431e-05 +4.756322e-03 +2.052104e-02 +1.603063e-01 +7.794508e+01 -3.661234e+04 +9.362367e+04 -1.055706e+07 -1.395736e+09 -4.262221e+10   
BS-008   +8.981896e+01   +1.817070e-07 -1.080477e-05 -1.430416e-01 +2.530231e-03 +8.199611e-01 -1.068749e+00 +5.242175e+02 +3.186050e+04 +1.080767e+08 -1.384609e+07 -2.594884e+09 +1.331219e+10   +2.799367e-08 +9.440763e-06 +1.832232e-04 +1.033734e-02 +1.503077e-01 +2.727569e+00 +4.766085e+02 -2.733435e+04 +1.569515e+04 -6.222549e+06 +3.119935e+07 +8.501597e+10   
BS-009   +8.983530e+01   +1.891072e-07 -1.069103e-05 -1.428148e-01 +1.096094e-03 +1.003320e+00 -1.654683e+00 +6.629827e+02 +2.687539e+04 +1.077194e+08 -3.470865e+06 -1.829958e+09 +1.436942e+10   +6.819822e-08 +1.110333e-05 +1.033181e-04 +1.000983e-02 +5.899268e-02 +8.863264e-02 +6.078311e+01 -4.100680e+04 -1.462199e+05 -2.653152e+07 -3.658761e+08 -1.305180e+10   
BS-010   +8.984764e+01   +1.803219e-07 -6.519002e-06 -1.430503e-01 +1.089926e-04 +9.517672e-01 -4.047709e+00 +6.817617e+02 +1.980502e+04 +1.078580e+08 +3.967625e+05 -1.557523e+09 +2.872474e+10   +7.780645e-08 +1.454082e-05 +9.613834e-06 +7.108998e-03 +3.804179e-02 -3.970365e-01 -1.427401e+01 -4.435579e+04 +1.549112e+05 -1.004410e+07 -6.535452e+08 -4.986030e+10   
BS-011   +8.998905e+01   +1.682731e-07 -3.793610e-06 -1.432981e-01 -1.287938e-03 +8.049877e-01 -3.897023e+00 +5.888492e+02 +2.092023e+03 +1.086509e+08 -2.740915e+06 -2.110837e+09 +1.839135e+10   -6.015635e-10 +1.183594e-05 +2.745197e-04 +4.692362e-03 +1.336385e-01 +5.882746e-02 +3.491075e+02 -2.785034e+04 -4.195196e+05 -1.347301e+07 -4.955476e+08 +2.629903e+10   
BS-012   +9.001409e+01   +1.809673e-07 -3.315735e-06 -1.428359e-01 +2.867364e-03 +9.146393e-01 -2.622588e+00 +5.834935e+02 +1.073408e+04 +1.078861e+08 -6.061174e+06 -1.671549e+09 -1.385925e+10   +1.381365e-07 +1.361245e-05 -1.191120e-04 +6.373950e-03 -7.175348e-02 -8.888512e-01 -2.058372e+02 -4.108418e+04 +5.310750e+05 -1.180876e+07 +2.807509e+08 +2.447997e+10   
BS-013   +8.998818e+01   +1.489586e-07 -5.510559e-06 -1.431067e-01 +5.259491e-04 +7.399453e-01 -4.170249e+00 +5.523734e+02 +1.358436e+04 +1.085238e+08 -2.765230e+06 -2.245068e+09 +2.138250e+10   +1.379080e-07 +1.236025e-05 -5.603180e-05 +5.990282e-03 -9.924169e-02 +1.805008e+00 -2.949731e+02 -4.043273e+04 +3.259525e+05 -6.869422e+06 +3.304845e+08 +3.052425e+10   
BS-014   +8.999621e+01   +1.855253e-07 -3.788765e-06 -1.428900e-01 +3.709641e-03 +9.309850e-01 -1.633005e+00 +6.697022e+02 +1.083713e+04 +1.082916e+08 -2.957002e+06 -1.457896e+09 +4.287354e+09   +1.461703e-07 +1.133013e-05 -5.698731e-05 +1.052917e-02 -7.251933e-02 +3.192223e-01 -3.483220e+02 -4.197463e+04 +2.216347e+05 -2.220834e+07 -2.640165e+08 +9.905835e+09   
BS-015   +8.998891e+01   +2.009681e-07 -2.206031e-07 -1.430597e-01 +3.985963e-03 +9.303044e-01 -4.349468e-01 +5.575497e+02 -1.060136e+03 +1.084751e+08 -1.283114e+07 -1.969897e+09 -1.772476e+10   +1.078534e-07 +1.180962e-05 -8.580364e-05 +7.801096e-03 -7.251778e-02 -4.916835e-01 -1.993510e+02 -3.790329e+04 +3.667542e+05 -2.125333e+07 +1.609076e+08 +1.897086e+10   
BS-016   +8.999767e+01   +1.885555e-07 -5.810883e-06 -1.431170e-01 +3.350301e-03 +8.769845e-01 -1.555562e+00 +5.935438e+02 +1.862979e+04 +1.084189e+08 -1.333523e+07 -2.090914e+09 +3.322428e+10   +7.608665e-08 +1.308283e-05 +5.033093e-05 +7.651388e-03 -4.582869e-03 +3.142526e-01 -4.400615e+01 -4.306240e+04 +7.677918e+04 -1.448002e+07 -2.205484e+08 -7.522395e+09   
