Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.17974E+01 0 
3 -0.21611E+01 0 
4 -0.25266E+01 0 
5 -0.29178E+01 0 
10 -0.48606E+01 0 
15 -0.68688E+01 0 
20 -0.89277E+01 0 
25 -0.11020E+02 0 
30 -0.13146E+02 0 
40 -0.17441E+02 0 
50 -0.21766E+02 0 
60 -0.26103E+02 0 
70 -0.30429E+02 0 
80 -0.34725E+02 0
90 -0.39001E+02 0
100 -0.43254E+02 0
110 -0.47466E+02 0
120 -0.51630E+02 0
130 -0.55733E+02 0
140 -0.59744E+02 0
150 -0.63589E+02 0
160 -0.67110E+02 0
170 -0.70231E+02 0
180 -0.72900E+02 0
190 -0.75242E+02 0
200 -0.77356E+02 0
210 -0.79271E+02 0
220 -0.81031E+02 0

