Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12801E+00 0.1088E-04
15 0.31964E+00 0.9589E-05
25 0.51755E+00 0.1242E-04
35 0.71878E+00 0.1294E-04
45 0.92196E+00 0.1660E-04
55 0.11264E+01 0.1577E-04
65 0.13313E+01 0.1598E-04
75 0.15366E+01 0.4303E-04
85 0.17418E+01 0.4180E-04
95 0.19467E+01 0.5646E-04
105 0.21513E+01 0.3227E-04
115 0.23555E+01 0.3769E-04
125 0.25586E+01 0.1561E-04
135 0.27610E+01 0.9111E-04
145 0.29625E+01 0.2489E-04
155 0.31629E+01 0.1044E-03
165 0.33620E+01 0.6052E-04
175 0.35600E+01 0.1460E-03
185 0.37554E+01 0.4131E-04
195 0.39482E+01 0.5527E-04
205 0.41373E+01 0.1489E-03
215 0.43202E+01 0.1339E-03
225 0.44941E+01 0.7640E-04
