Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.12962E+00 0.8166E-06
15 -0.31980E+00 0.1919E-04
25 -0.51685E+00 0.3101E-04
35 -0.71764E+00 0.3516E-04
45 -0.92046E+00 0.2761E-04
55 -0.11246E+01 0.4161E-04
65 -0.13294E+01 0.2925E-04
75 -0.15345E+01 0.7059E-04
85 -0.17396E+01 0.1670E-04
95 -0.19445E+01 0.9528E-04
105 -0.21492E+01 0.1075E-03
115 -0.23535E+01 0.1294E-03
125 -0.25565E+01 0.9715E-04
135 -0.27592E+01 0.1048E-03
145 -0.29607E+01 0.8882E-04
155 -0.31611E+01 0.1170E-03
165 -0.33603E+01 0.1277E-03
175 -0.35579E+01 0.1459E-03
185 -0.37535E+01 0.1389E-03
195 -0.39465E+01 0.1500E-03
205 -0.41352E+01 0.1406E-03
215 -0.43175E+01 0.9499E-04
225 -0.44905E+01 0.1257E-03
