Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18491E+01 0
3 -0.22066E+01 0
4 -0.25742E+01 0
5 -0.29620E+01 0
10 -0.48893E+01 0
15 -0.68761E+01 0
20 -0.89184E+01 0
25 -0.10994E+02 0
30 -0.13106E+02 0
40 -0.17376E+02 0
50 -0.21686E+02 0
60 -0.26008E+02 0
70 -0.30320E+02 0
80 -0.34612E+02 0
90 -0.38880E+02 0
100 -0.43111E+02 0
110 -0.47303E+02 0
120 -0.51451E+02 0
130 -0.55536E+02 0
140 -0.59528E+02 0
150 -0.63362E+02 0
160 -0.66906E+02 0
170 -0.70042E+02 0
180 -0.72755E+02 0
190 -0.75116E+02 0
200 -0.77234E+02 0
210 -0.79162E+02 0
220 -0.80921E+02 0

