Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 0 0
2 -1.8224 0
3 -2.1762 0
4 -2.5389 0
5 -2.9284 0
10 -4.8634 0
15 -6.8608 0
20 -8.911 0
25 -10.994 0
30 -13.109 0
40 -17.389 0
50 -21.706 0
60 -26.036 0
70 -30.358 0
80 -34.664 0
90 -38.945 0
100 -43.194 0
110 -47.405 0
120 -51.566 0
130 -55.662 0
140 -59.665 0
150 -63.503 0
160 -67.043 0
170 -70.173 0
180 -72.867 0
190 -75.225 0
200 -77.401 0
210 -79.282 0
220 -81.034 0
