Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12554E+00 0.2636E-04
9 0.19959E+00 0.8982E-05
13 0.27569E+00 0.2454E-05
17 0.35376E+00 0.9905E-05
21 0.43312E+00 0.1992E-04
25 0.51302E+00 0.5643E-05
30 0.61377E+00 0.2762E-04
35 0.71504E+00 0.1001E-04
40 0.81672E+00 0.1633E-04
45 0.91874E+00 0.1286E-04
55 0.11235E+01 0.3258E-04
65 0.13285E+01 0.1727E-04
75 0.15335E+01 0.1089E-04
85 0.17382E+01 0.6431E-04
95 0.19423E+01 0.4856E-04
105 0.21457E+01 0.1373E-04
115 0.23484E+01 0.3288E-04
125 0.25500E+01 0.2219E-04
135 0.27508E+01 0.3301E-04
145 0.29506E+01 0.9737E-05
155 0.31495E+01 0.1323E-04
