Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18423E+01 0 
3 -0.21767E+01 0 
4 -0.25311E+01 0 
5 -0.29172E+01 0 
10 -0.48464E+01 0 
15 -0.68417E+01 0 
20 -0.88915E+01 0 
25 -0.10973E+02 0 
30 -0.13087E+02 0 
40 -0.17368E+02 0 
50 -0.21683E+02 0 
60 -0.26013E+02 0 
70 -0.30333E+02 0 
80 -0.34641E+02 0
90 -0.38922E+02 0
100 -0.43167E+02 0
110 -0.47375E+02 0
120 -0.51536E+02 0
130 -0.55637E+02 0
140 -0.59638E+02 0
150 -0.63473E+02 0
160 -0.67011E+02 0
170 -0.70135E+02 0
180 -0.72827E+02 0
190 -0.75186E+02 0
200 -0.77312E+02 0
210 -0.79234E+02 0
220 -0.80995E+02 0

