Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13033E+00 0.1303E-04
15 0.31785E+00 0.2130E-04
25 0.51313E+00 0.1591E-04
35 0.71242E+00 0.7124E-04
45 0.91391E+00 0.1554E-04
55 0.11168E+01 0.6477E-04
65 0.13204E+01 0.2377E-04
75 0.15243E+01 0.5182E-04
85 0.17283E+01 0.6395E-04
95 0.19320E+01 0.9274E-04
105 0.21355E+01 0.8969E-04
115 0.23386E+01 0.7250E-04
125 0.25407E+01 0.1169E-03
135 0.27421E+01 0.8501E-04
145 0.29427E+01 0.3531E-04
155 0.31422E+01 0.7227E-04
165 0.33404E+01 0.1603E-03
175 0.35374E+01 0.7429E-04
185 0.37322E+01 0.1717E-03
195 0.39240E+01 0.1295E-03
205 0.41118E+01 0.1439E-03
215 0.42927E+01 0.1502E-03
225 0.44638E+01 0.1607E-03
