Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.14199E+00 0.8378E-05
9 0.21445E+00 0.3217E-04
13 0.28896E+00 0.2312E-04
17 0.36427E+00 0.6193E-04
21 0.44076E+00 0.7052E-04
25 0.51781E+00 0.2900E-04
30 0.61551E+00 0.6155E-05
35 0.71405E+00 0.3070E-04
40 0.81331E+00 0.2196E-04
45 0.91319E+00 0.1370E-04
55 0.11145E+01 0.2563E-04
65 0.13172E+01 0.5400E-04
75 0.15204E+01 0.1338E-04
85 0.17240E+01 0.7930E-05
95 0.19276E+01 0.1928E-04
105 0.21311E+01 0.4049E-04
115 0.23342E+01 0.3735E-04
125 0.25360E+01 0.2790E-04
135 0.27373E+01 0.3285E-04
145 0.29371E+01 0.7637E-04
155 0.31354E+01 0.3135E-04
165 0.33324E+01 0.1433E-04
175 0.35276E+01 0.1870E-04
185 0.37204E+01 0.1228E-03
195 0.39106E+01 0.5475E-04
205 0.40975E+01 0.2909E-04
215 0.42794E+01 0.9843E-04
225 0.44550E+01 0.4455E-04
