Corrente Derivada_Integrada Erro_Derivada_Integrada
Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.18307E+01 0
 3.000  0.21873E+01 0
 4.000  0.25597E+01 0
 5.000  0.29465E+01 0
 10.000 0.48747E+01 0
 15.000 0.68731E+01 0
 20.000 0.89261E+01 0
 25.000 0.11010E+02 0
 30.000 0.13128E+02 0
 40.000 0.17412E+02 0
 50.000 0.21730E+02 0
 60.000 0.26058E+02 0
 70.000 0.30372E+02 0
 80.000 0.34679E+02 0
 90.000 0.38949E+02 0
100.000 0.43202E+02 0
110.000 0.47414E+02 0
120.000 0.51578E+02 0
130.000 0.55678E+02 0
140.000 0.59679E+02 0
150.000 0.63522E+02 0
160.000 0.67062E+02 0
170.000 0.70183E+02 0
180.000 0.72876E+02 0
190.000 0.75231E+02 0
200.000 0.77347E+02 0
210.000 0.79267E+02 0
220.000 0.81025E+02 0

