Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13097E+00 0.9299E-05
15 0.31964E+00 0.2621E-04
25 0.51525E+00 0.5668E-04
35 0.71463E+00 0.5145E-04
45 0.91625E+00 0.1100E-03
55 0.11193E+01 0.8171E-04
65 0.13232E+01 0.9792E-04
75 0.15274E+01 0.1008E-03
85 0.17318E+01 0.5715E-04
95 0.19361E+01 0.1297E-03
105 0.21399E+01 0.1370E-03
115 0.23435E+01 0.5624E-04
125 0.25460E+01 0.4837E-04
135 0.27475E+01 0.1703E-03
145 0.29483E+01 0.2418E-03
155 0.31477E+01 0.1637E-03
165 0.33464E+01 0.2209E-03
175 0.35423E+01 0.1275E-03
185 0.37374E+01 0.1233E-03
195 0.39290E+01 0.2632E-03
205 0.41173E+01 0.7823E-04
215 0.42990E+01 0.1978E-03
225 0.44719E+01 0.1163E-03
