Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12772E+00 0.1405E-04
15 0.32046E+00 0.2435E-04
25 0.51914E+00 0.3115E-04
35 0.72120E+00 0.3390E-04
45 0.92496E+00 0.3145E-04
55 0.11299E+01 0.9153E-04
65 0.13356E+01 0.8414E-04
75 0.15413E+01 0.9864E-04
85 0.17471E+01 0.5765E-04
95 0.19526E+01 0.1503E-03
105 0.21579E+01 0.1424E-03
115 0.23623E+01 0.2599E-03
125 0.25658E+01 0.1565E-03
135 0.27686E+01 0.1218E-03
145 0.29703E+01 0.1545E-04
155 0.31713E+01 0.9831E-04
165 0.33713E+01 0.2124E-03
175 0.35696E+01 0.2534E-03
185 0.37655E+01 0.2899E-03
195 0.39591E+01 0.2059E-03
205 0.41487E+01 0.3236E-03
215 0.43320E+01 0.1126E-03
225 0.45063E+01 0.2569E-03
