Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12986E+00 0.2208E-04
15 0.31798E+00 0.3180E-04
25 0.51363E+00 0.2568E-04
35 0.71319E+00 0.2781E-04
45 0.91501E+00 0.3935E-04
55 0.11181E+01 0.5031E-04
65 0.13218E+01 0.1322E-04
75 0.15257E+01 0.7018E-04
85 0.17299E+01 0.5363E-04
95 0.19336E+01 0.5027E-04
105 0.21370E+01 0.5129E-04
115 0.23401E+01 0.5382E-04
125 0.25421E+01 0.8897E-04
135 0.27436E+01 0.1180E-03
145 0.29441E+01 0.1178E-03
155 0.31435E+01 0.8487E-04
165 0.33413E+01 0.6683E-04
175 0.35379E+01 0.1804E-03
185 0.37323E+01 0.1381E-03
195 0.39241E+01 0.1413E-03
205 0.41116E+01 0.8223E-04
215 0.42919E+01 0.1674E-03
225 0.44622E+01 0.1071E-03
