Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12511E+00 0.1501E-04
9 0.19841E+00 0.1865E-04
13 0.27412E+00 0.1179E-04
17 0.35188E+00 0.7390E-05
21 0.43078E+00 0.6462E-05
25 0.51019E+00 0.5000E-05
30 0.61034E+00 0.1038E-04
35 0.71105E+00 0.1564E-04
40 0.81225E+00 0.1868E-04
45 0.91372E+00 0.2376E-04
55 0.11175E+01 0.1565E-04
65 0.13215E+01 0.1322E-04
75 0.15256E+01 0.8238E-05
85 0.17292E+01 0.2075E-04
95 0.19323E+01 0.1546E-04
105 0.21349E+01 0.3416E-04
115 0.23370E+01 0.3038E-04
125 0.25379E+01 0.3045E-04
135 0.27375E+01 0.4106E-04
145 0.29366E+01 0.8516E-04
155 0.31345E+01 0.6582E-04
