Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.17924E+01 0 
3 -0.21564E+01 0 
4 -0.25238E+01 0 
5 -0.29165E+01 0 
10 -0.48579E+01 0 
15 -0.68624E+01 0 
20 -0.89252E+01 0 
25 -0.11020E+02 0 
30 -0.13145E+02 0 
40 -0.17445E+02 0 
50 -0.21781E+02 0 
60 -0.26127E+02 0 
70 -0.30463E+02 0 
80 -0.34786E+02 0
90 -0.39075E+02 0
100 -0.43334E+02 0
110 -0.47555E+02 0
120 -0.51730E+02 0
130 -0.55831E+02 0
140 -0.59839E+02 0
150 -0.63671E+02 0
160 -0.67187E+02 0
170 -0.70281E+02 0
180 -0.72945E+02 0
190 -0.75283E+02 0
200 -0.77714E+02 0
210 -0.79396E+02 0
220 -0.81105E+02 0

