Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12927E+00 0.2715E-04
9 0.20213E+00 0.3234E-04
13 0.27734E+00 0.1775E-04
17 0.35387E+00 0.1522E-04
21 0.43228E+00 0.2161E-04
25 0.51149E+00 0.1893E-04
30 0.61145E+00 0.2507E-05
35 0.71199E+00 0.1566E-04
40 0.81309E+00 0.6098E-05
45 0.91450E+00 0.1829E-04
55 0.11183E+01 0.1566E-04
65 0.13226E+01 0.1984E-04
75 0.15271E+01 0.2749E-04
85 0.17315E+01 0.1662E-04
95 0.19355E+01 0.5613E-04
105 0.21391E+01 0.5348E-04
115 0.23422E+01 0.1077E-03
125 0.25439E+01 0.7123E-04
135 0.27453E+01 0.3294E-04
145 0.29454E+01 0.6774E-04
155 0.31443E+01 0.4402E-04
