Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0
5 0.13925 0
9 0.21164 0
13 0.28634 0
17 0.36227 0
21 0.43954 0
25 0.51758 0
30 0.61652 0
35 0.71646 0
40 0.81718 0
45 0.91856 0
55 1.1225 0
65 1.3274 0
75 1.5325 0
85 1.7378 0
95 1.9428 0
105 2.1472 0
115 2.3511 0
125 2.5535 0
135 2.7547 0
145 2.9542 0
155 3.1514 0
165 3.3462 0
175 3.538 0
185 3.7252 0
195 3.9063 0
205 4.0789 0
215 4.2384 0
225 4.3837 0
