# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-006   +4.999490e+01   +1.136765e-07 -5.916403e-02 -1.682894e-03 -1.034716e-01 -9.586258e-01 +2.357620e+03 +4.670580e+02 +1.640248e+05 +1.020746e+07 -2.326561e+11 -8.393234e+09 +5.954433e+12 -4.146387e+14 +4.746866e+18 +4.666308e+17   +2.984808e-07 -9.239126e-06 -5.526206e-04 +1.935843e-02 +9.946517e-02 -1.402947e+02 +1.307224e+03 +7.419233e+04 -6.304915e+06 +2.650774e+09 +1.497617e+10 -5.838870e+12 -5.790571e+14 +2.319419e+16 -1.938994e+18   
Q20-018   +4.999435e+01   +2.029843e-07 -5.913912e-02 -1.476270e-03 -8.276189e-02 -3.227673e-01 +2.304012e+03 -2.247242e+02 +4.292507e+04 +1.225760e+07 -2.336436e+11 -1.866148e+10 +1.857020e+12 -4.503073e+14 +4.727628e+18 +1.961627e+18   -7.044476e-07 -2.348213e-05 +1.577408e-03 +1.288931e-02 -1.043548e+00 -1.779992e+02 -4.793048e+03 -6.590349e+03 -3.199093e+06 +4.422584e+09 -2.158694e+10 -7.020223e+12 -1.171577e+14 -1.250566e+17 +1.241434e+18   
Q20-031   +4.999535e+01   +1.034872e-06 -5.910482e-02 -1.219687e-04 -7.270718e-02 -4.326680e-01 +2.352295e+03 -1.294557e+03 +1.566709e+05 +3.335240e+07 -2.323640e+11 -4.656363e+10 -5.207692e+12 -1.022706e+15 +4.670730e+18 +2.702427e+18   +9.360128e-07 -1.643888e-05 -1.635750e-03 +1.492076e-02 +1.021376e+00 -1.968744e+02 +8.933277e+02 +1.433203e+05 +1.976846e+07 +5.843861e+09 +1.373838e+10 -1.208939e+13 -7.496423e+14 -1.349544e+17 -1.027003e+18   
Q20-042   +4.999520e+01   +4.797107e-07 -5.909341e-02 +1.364594e-04 -8.709462e-02 +8.261047e-01 +2.331132e+03 -3.204286e+03 +8.379886e+04 +8.639649e+06 -2.315218e+11 +7.347749e+10 +6.524028e+12 -5.272648e+14 +4.685300e+18 -1.015252e+18   -1.937041e-08 -1.408422e-05 +4.795180e-04 +1.076889e-02 +7.781393e-02 -1.671404e+02 -1.390068e+03 +4.686124e+04 +2.109092e+06 +5.912010e+09 -6.113021e+09 -5.436930e+12 +2.653267e+14 -8.828340e+16 +1.422893e+18   
Q20-052   +4.999465e+01   +5.889520e-08 -5.904500e-02 -1.803367e-03 -4.289511e-02 -1.343960e+00 +2.317272e+03 +4.845000e+02 +4.456567e+04 +1.481236e+07 -2.300976e+11 +3.155310e+10 -4.439697e+11 -8.506862e+14 +4.647987e+18 +3.013980e+17   +3.478388e-07 -7.275262e-06 -1.177411e-03 +3.593432e-03 +9.954445e-01 -1.402648e+02 +6.489174e+02 +1.171344e+05 +8.761199e+06 +2.550063e+09 -3.732513e+10 -8.993368e+12 -5.428521e+14 +2.266262e+16 -3.320163e+17   
Q20-054   +4.999510e+01   +1.903552e-07 -5.905351e-02 -1.190396e-03 -4.452102e-02 -1.382453e-01 +2.274561e+03 -1.193308e+03 +1.430966e+05 -1.025490e+07 -2.286300e+11 +6.650308e+10 -7.873682e+12 +5.066979e+14 +4.551772e+18 +1.033156e+18   +3.323730e-07 -7.727215e-06 -1.215129e-03 +1.842303e-02 +1.438654e+00 -2.152221e+02 +5.751594e+03 +8.651620e+04 -1.017245e+07 +6.713986e+09 -2.858638e+11 -8.533128e+12 -1.182662e+14 -1.167131e+17 +1.205608e+19   
Q20-084   +4.999415e+01   +7.317772e-07 -5.907715e-02 -3.401482e-04 -2.680934e-02 -1.752492e-01 +2.309510e+03 -3.792394e+03 -3.651311e+04 +2.012357e+07 -2.320059e+11 +3.990501e+10 -8.607561e+11 -6.604585e+14 +4.720516e+18 -1.692992e+18   +4.431254e-07 +9.179480e-06 -9.795048e-04 +2.263743e-02 +1.461883e+00 -2.174156e+02 -3.394441e+03 -5.110468e+04 +1.123173e+07 +6.401829e+09 +1.146230e+11 -8.656455e+12 -6.184034e+14 -1.452160e+17 -5.451578e+18   
Q20-085   +4.999275e+01   +4.477433e-07 -5.905788e-02 +1.945032e-04 -4.184205e-02 +1.167645e+00 +2.228513e+03 -1.796814e+03 -6.705286e+04 -1.005679e+07 -2.306098e+11 +8.878519e+10 +2.167788e+12 -3.984992e+14 +4.683669e+18 -1.802806e+18   -2.317754e-07 -1.388959e-05 -1.194246e-04 +6.149794e-03 +6.906283e-01 -1.798950e+02 -3.963371e+02 +1.266758e+05 -1.682572e+06 +2.919289e+09 +4.434281e+10 -4.863811e+12 -9.948272e+13 +5.104400e+16 -3.425839e+18   
Q20-089   +4.999475e+01   +6.039920e-07 -5.905070e-02 -7.252181e-04 -8.192426e-02 -6.151842e-01 +2.191016e+03 -1.295733e+03 +1.770712e+05 +1.639788e+07 -2.291987e+11 -1.370821e+10 -1.852027e+12 -4.457472e+14 +4.635127e+18 +1.057428e+18   +3.913607e-07 -4.008793e-06 -1.656585e-03 +1.616685e-02 +2.048771e+00 -1.702316e+02 +3.433405e+03 +4.809731e+04 -4.275983e+06 +3.903494e+09 -7.220494e+10 -6.886219e+12 +3.200046e+14 -6.995663e+16 +2.739258e+18   
Q20-093   +4.999285e+01   +3.007908e-07 -5.905550e-02 -1.862195e-03 -2.500014e-02 -1.130121e+00 +2.174665e+03 +2.844371e+03 +1.561383e+05 +3.542309e+07 -2.274865e+11 -1.081342e+11 -1.376899e+12 -1.294298e+15 +4.623721e+18 +4.045372e+18   +3.129918e-07 -4.690929e-06 -1.018212e-03 +9.925427e-03 +1.261831e+00 -1.529410e+02 -3.055669e+02 +7.659705e+04 -4.538711e+06 +2.903243e+09 +1.413204e+10 -4.819291e+12 +2.489370e+14 +6.141776e+15 -6.932611e+17   
Q20-099   +4.999305e+01   +5.492341e-07 -5.913322e-02 -4.599403e-04 -6.886195e-02 +3.633983e-01 +2.274536e+03 -5.360469e+03 +3.036828e+05 -1.367709e+07 -2.308819e+11 +2.853327e+11 -1.527169e+13 +5.545779e+14 +4.758647e+18 -1.030575e+19   +4.974663e-07 -1.417936e-05 -1.024788e-03 +1.678412e-02 +8.665106e-01 -1.611468e+02 +8.374742e+02 +6.328646e+04 -1.439237e+07 +6.528473e+09 -1.145529e+11 +7.556996e+12 +1.359561e+15 -2.432954e+17 +5.645069e+18   
