# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q14-002   +1.479971e+02   -5.753326e-08 +3.538431e-02 +7.601825e-04 +3.144701e-02 +2.551782e-01 -7.054273e+02 +2.395217e+03 -1.389962e+05 -8.959331e+06 +1.270502e+11 -6.047880e+10 +7.826741e+12 +3.568949e+14 -2.659648e+18 +8.341974e+17   -5.133062e-07 -2.487330e-05 +4.408940e-04 +1.169653e-03 -3.833126e-01 +5.921211e+01 +1.213799e+03 -9.168126e+03 -3.478111e+06 -9.782394e+08 -6.996678e+10 +3.016118e+12 +1.838877e+14 -2.544971e+16 +3.348941e+18   
Q14-004   +1.479952e+02   -1.620256e-07 +3.536515e-02 +5.144221e-04 +1.517424e-02 +1.607274e-02 -6.527201e+02 +8.503006e+01 -3.271659e+04 -4.142506e+06 +1.268266e+11 -8.080843e+09 +1.934788e+12 +2.218446e+13 -2.697467e+18 -3.474559e+17   -1.200330e-07 -3.522400e-05 +6.100164e-04 -9.457036e-03 -5.561334e-01 +3.614521e+01 -1.672701e+03 -9.614129e+04 +3.476503e+06 -8.793042e+08 +3.612050e+10 +6.358387e+12 -5.349692e+13 -2.341729e+16 -6.744123e+17   
Q14-005   +1.479957e+02   +2.577940e-07 +3.537828e-02 +9.750398e-04 +1.633493e-02 +7.214176e-01 -7.204155e+02 +5.833449e+02 -6.464632e+04 +2.266398e+06 +1.272274e+11 -2.270075e+10 +2.228005e+12 -6.678020e+13 -2.704165e+18 +1.800606e+17   -1.578397e-08 -4.547061e-05 +1.760405e-04 -7.704055e-03 -2.162183e-01 +3.300423e+01 +2.081654e+03 -1.277170e+05 +6.149521e+06 -1.091830e+09 -3.997590e+10 +5.850537e+12 -2.505650e+14 -2.861225e+16 +1.095395e+18   
Q14-006   +1.479943e+02   -1.148900e-07 +3.537111e-02 +4.204653e-05 +1.014901e-02 -3.519226e-01 -6.936274e+02 +2.315389e+03 -9.147974e+03 +1.132562e+06 +1.270891e+11 -2.704983e+10 +1.906796e+12 -1.066481e+14 -2.704201e+18 -4.386132e+17   -1.464938e-07 -3.158916e-05 +1.384793e-04 -1.121991e-02 -2.587760e-01 +2.429970e+01 +2.111810e+00 -9.709232e+04 -1.539665e+06 -3.686688e+08 -2.677181e+08 +5.583006e+12 +1.200777e+14 -3.693599e+16 +1.487907e+17   
Q14-007   +1.479953e+02   +2.048354e-07 +3.538902e-02 +1.205193e-03 +2.347780e-02 +5.305653e-01 -7.040115e+02 -1.029350e+03 +1.500563e+04 -3.278322e+06 +1.268848e+11 -1.592881e+10 +2.557731e+11 -6.608742e+11 -2.682558e+18 +2.180823e+17   +1.205446e-07 -3.021986e-05 -2.112456e-04 -5.445140e-03 -2.738062e-01 +3.854726e+01 +1.217451e+03 -1.840199e+05 +5.273934e+06 -5.447512e+08 -1.026706e+10 +5.487770e+12 -4.699341e+13 -3.450715e+16 -1.827858e+17   
Q14-008   +1.479953e+02   +1.268443e-07 +3.537560e-02 +8.838146e-04 +1.747201e-02 -4.089312e-01 -7.053677e+02 -8.358576e+02 +4.435500e+03 +4.763818e+06 +1.266515e+11 +2.091791e+09 +3.520658e+11 -1.133507e+14 -2.690268e+18 -4.620931e+17   -2.694655e-07 -1.843650e-05 +3.376292e-04 -3.168447e-03 +8.325082e-02 +3.502515e+01 -1.754592e+03 -1.020407e+05 -8.054884e+06 -3.229834e+08 +3.784850e+10 +6.664026e+12 +2.252706e+14 -4.202906e+16 -9.436631e+17   
Q14-009   +1.479954e+02   -2.359917e-07 +3.541984e-02 +2.247925e-05 +2.454305e-02 +4.406213e-01 -6.568283e+02 +2.083050e+03 -9.405684e+04 -2.911284e+06 +1.264797e+11 -2.958965e+10 +1.486478e+12 +4.745604e+13 -2.693456e+18 -4.810794e+17   -1.569854e-08 -1.726813e-05 -2.148697e-04 -8.335381e-03 +4.033235e-01 +3.881919e+01 +2.261915e+02 -5.447032e+04 -6.486302e+05 +6.220456e+07 -2.586670e+09 +4.846351e+12 +7.221272e+13 -4.967430e+16 +1.954149e+17   
Q14-010   +1.479956e+02   +8.672744e-09 +3.537239e-02 +9.265330e-04 +3.941020e-02 +1.284346e-02 -6.631258e+02 -8.477401e+02 -7.947905e+04 -3.090070e+06 +1.263296e+11 -1.192541e+10 +3.913433e+12 +7.997495e+13 -2.692034e+18 -1.149131e+17   -1.423871e-07 -2.384247e-05 +5.381420e-04 -1.578973e-02 -5.369420e-01 +1.890879e+01 -1.775416e+03 -5.949888e+04 +1.257569e+06 -8.659102e+07 +1.037045e+10 +5.902745e+12 -7.477101e+13 -4.843588e+16 -1.752119e+17   
Q14-011   +1.479951e+02   -2.331853e-10 +3.539098e-02 +8.276585e-04 +1.481485e-02 +2.277004e-01 -6.799408e+02 -6.732095e+02 -4.505907e+03 -1.416569e+06 +1.260687e+11 -9.826332e+09 +8.520323e+11 +8.162500e+13 -2.676641e+18 -7.401204e+16   +2.486865e-08 -2.438893e-05 +1.787413e-04 -7.129635e-03 -6.632520e-01 +2.147292e+01 -7.218705e+00 -6.791853e+04 +6.022231e+06 +1.053630e+08 +2.047985e+10 +6.024115e+12 +2.501763e+13 -5.505076e+16 -1.090302e+18   
Q14-012   +1.479961e+02   +1.382789e-07 +3.538595e-02 +1.110520e-03 +2.012556e-02 +6.414806e-01 -6.663178e+02 +5.059180e+02 -5.936498e+04 -6.002882e+05 +1.258504e+11 -5.672727e+10 +3.624129e+12 -1.042184e+13 -2.677551e+18 +1.511313e+18   -8.833483e-08 -3.043598e-05 +3.159504e-04 -1.143649e-02 -5.250846e-01 +5.686892e+01 +2.088596e+02 -9.507886e+04 +2.170966e+06 -1.086358e+09 +1.527801e+10 +7.128620e+12 +1.402741e+14 -2.453190e+16 -4.666171e+16   
