# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q14-002   +2.999595e+01   -3.286443e-07 +3.589465e-02 +4.883899e-04 +2.867502e-02 -1.762820e-01 -7.250292e+02 -6.898585e+02 -4.835216e+04 -8.338349e+05 +1.280348e+11 -1.019511e+11 +5.981121e+12 +3.617425e+14 -2.707923e+18 +9.342248e+18   -5.402456e-07 -2.504480e-05 +2.499477e-04 +3.012699e-03 -4.917604e-02 +2.630177e+01 +7.879970e+01 -5.530977e+04 -9.275959e+05 +8.813043e+08 -1.358007e+11 -1.290533e+13 +3.257307e+14 -7.779694e+16 +3.882244e+18   
Q14-004   +2.999515e+01   -2.204292e-07 +3.592848e-02 +9.676371e-04 +1.458938e-02 +4.295108e-01 -6.779786e+02 -1.402330e+03 -3.841851e+04 -3.021723e+06 +1.288925e+11 +2.262884e+10 +9.208355e+11 +1.822104e+14 -2.705246e+18 -2.812667e+18   -6.645644e-08 -3.523956e-05 +1.777560e-04 -6.032379e-03 -3.308046e-01 +3.354986e+01 -3.699838e+02 -5.674857e+04 +1.695306e+06 -9.160148e+08 +6.199229e+10 +4.007041e+12 +1.753275e+14 -1.813099e+16 -1.231839e+18   
Q14-005   +2.999530e+01   +3.792071e-08 +3.594660e-02 +7.657146e-04 +1.077453e-02 +6.852904e-01 -7.317290e+02 +8.651145e+02 +1.254949e+04 +3.436008e+06 +1.300590e+11 -1.774661e+10 +1.863321e+12 -1.101778e+14 -2.743834e+18 -1.077309e+15   -1.384061e-07 -4.574667e-05 +3.063715e-04 -3.230543e-03 -5.095618e-01 +2.565216e+01 +1.669978e+03 -1.424267e+05 +2.837075e+06 -7.557757e+08 -4.228246e+10 +3.958774e+12 -3.058874e+14 -2.914402e+16 +4.914100e+17   
Q14-006   +2.999500e+01   -3.220498e-07 +3.603301e-02 -3.751809e-05 +5.051379e-03 -3.440623e-01 -6.914929e+02 +3.026309e+03 -3.501010e+04 +4.213979e+06 +1.291251e+11 -2.216677e+10 +1.806295e+12 -3.443271e+14 -2.743761e+18 -3.372072e+17   -2.098040e-07 -3.211241e-05 +4.683651e-05 -9.995359e-03 -1.896785e-01 +2.258369e+01 -3.114297e+01 -1.403161e+05 +7.265204e+06 -6.151955e+08 +2.300216e+09 +6.297403e+12 +7.200367e+13 -2.523691e+16 +5.368641e+17   
Q14-007   +2.999505e+01   -6.117136e-08 +3.592783e-02 +8.783126e-04 +2.184965e-02 +2.507384e-01 -7.223082e+02 +2.087204e+02 +2.988263e+03 -1.978212e+06 +1.288306e+11 -1.583285e+10 +2.708601e+12 +1.833122e+13 -2.716165e+18 +1.577307e+18   +2.056303e-08 -3.144509e-05 -1.381037e-04 -5.710846e-03 -3.182937e-01 +4.460646e+01 +5.737620e+02 -2.789018e+05 +3.280682e+06 +3.431263e+07 +2.687145e+09 +1.049740e+12 +1.544059e+14 -8.565633e+15 +8.645797e+17   
Q14-008   +2.999505e+01   -1.057814e-07 +3.593813e-02 +6.653685e-04 +1.362439e-02 -5.184425e-01 -7.215284e+02 -2.431158e+02 -3.826768e+04 +3.626548e+06 +1.289428e+11 +2.408142e+09 +1.770263e+11 -1.085359e+14 -2.711333e+18 -3.757903e+17   -3.631272e-07 -1.920646e-05 +4.173719e-04 -3.111175e-05 +1.056008e-01 +2.687538e+01 -2.518800e+03 -1.074274e+05 -1.330812e+07 -2.126285e+08 +5.675863e+10 +5.644305e+12 +1.553083e+14 -5.096978e+16 -2.006773e+18   
Q14-009   +2.999510e+01   -4.362629e-07 +3.593337e-02 -5.808109e-05 +2.032240e-02 +3.288095e-01 -6.833036e+02 +2.147446e+03 -4.901904e+04 -2.700856e+06 +1.286696e+11 -1.859797e+10 +3.954086e+12 -7.583955e+13 -2.719362e+18 -7.900504e+17   -2.025467e-07 -1.817252e-05 +1.328329e-04 -5.601318e-03 +1.368190e-01 +3.205980e+01 -8.699724e+02 -9.280389e+04 -4.271641e+06 -1.209963e+08 -2.625452e+10 +5.500288e+12 -1.588695e+14 -4.500518e+16 -2.268045e+17   
Q14-010   +2.999540e+01   -1.713080e-07 +3.593694e-02 +9.510162e-04 +3.960884e-02 +3.483714e-02 -6.854024e+02 -5.759090e+02 -3.414200e+04 -4.341219e+06 +1.286041e+11 +1.774524e+10 +4.722164e+12 +2.422634e+13 -2.730823e+18 -3.780453e+17   -2.361435e-07 -2.428905e-05 +6.249308e-04 -1.469186e-02 -6.170903e-01 +2.528729e+01 -2.188613e+03 -1.725832e+04 +1.157438e+07 -1.553884e+08 -2.067071e+10 +8.420701e+12 +2.011625e+14 -5.269101e+16 -6.024904e+17   
Q14-011   +2.999515e+01   -3.012604e-07 +3.593381e-02 +3.859891e-04 +1.318370e-02 -5.838331e-02 -7.017598e+02 -1.131885e+02 +1.110823e+05 +2.781424e+05 +1.280501e+11 +1.866611e+09 +1.196517e+13 -7.109659e+12 -2.700084e+18 +1.917480e+17   -8.499044e-08 -2.466769e-05 +3.113036e-04 -6.282786e-03 -6.155238e-01 +2.983802e+01 -1.658982e+03 -4.911194e+04 +8.181753e+06 +3.152622e+08 -5.124528e+10 +3.854777e+12 +6.623397e+14 -2.150392e+16 +1.327648e+18   
Q14-012   +2.999605e+01   -1.204732e-07 +3.592806e-02 +8.121069e-04 +2.109692e-02 +6.220502e-01 -6.989424e+02 +4.328110e+02 +1.031868e+05 -3.750620e+06 +1.287134e+11 -9.024788e+10 +9.261263e+12 -3.360116e+13 -2.728042e+18 +2.301346e+18   -1.550714e-07 -3.072777e-05 +2.433313e-04 -9.836792e-03 -6.807696e-01 +4.316618e+01 +5.604835e+02 -2.220108e+04 +2.166552e+06 -4.383334e+08 +7.564763e+10 +1.369470e+13 +2.305041e+14 -3.496704e+16 -3.089441e+18   
