# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q14-002   +8.999745e+01   -1.462883e-07 +3.584914e-02 +6.292857e-04 +3.185605e-02 +6.646289e-02 -6.376593e+02 +1.993620e+03 -1.586817e+05 -1.159384e+07 +1.286662e+11 -1.204844e+11 +4.088846e+12 +3.745834e+14 -2.710505e+18 +6.935812e+17   -5.145436e-07 -2.505670e-05 +4.068802e-04 +8.947706e-04 -3.062786e-01 +5.078159e+01 +1.010611e+03 +4.644220e+04 -7.530054e+06 -1.152148e+09 -5.768502e+10 +5.240377e+11 +2.991664e+14 -6.966894e+16 +2.344350e+18   
Q14-004   +8.999665e+01   -8.554177e-08 +3.588754e-02 +8.762877e-04 +1.497269e-02 +2.292978e-01 -5.990752e+02 -9.385867e+02 -7.570347e+04 -3.392442e+06 +1.290081e+11 -4.697704e+10 +1.424902e+12 -9.100247e+12 -2.720340e+18 -5.143457e+17   -4.603505e-08 -3.541171e-05 +3.337238e-04 -8.058454e-03 -3.676052e-01 +3.118496e+01 -1.371729e+03 -8.386898e+04 +5.270073e+06 -8.021575e+08 +2.290869e+10 +4.939872e+12 -1.306043e+14 -2.529279e+16 -1.407387e+18   
Q14-005   +8.999725e+01   +2.138340e-07 +3.590459e-02 +9.239259e-04 +1.522304e-02 +7.437403e-01 -6.622610e+02 +4.336336e+02 -6.974946e+04 +2.793380e+06 +1.293678e+11 -3.294804e+10 +2.008207e+12 -4.317424e+13 -2.759582e+18 +5.118931e+16   -6.719923e-08 -4.623832e-05 +2.864666e-04 -6.575712e-03 -3.615138e-01 +3.397617e+01 +2.431044e+03 -1.997813e+05 +8.915488e+06 -7.975594e+08 -4.477697e+10 +5.518810e+12 -3.061922e+13 -2.864748e+16 +2.637359e+17   
Q14-006   +8.999620e+01   -1.790893e-07 +3.593269e-02 -1.091039e-04 +9.311811e-03 -4.507229e-01 -6.355187e+02 +2.729116e+03 +9.653199e+03 +2.966995e+06 +1.290569e+11 -4.348691e+10 +4.282074e+11 -8.341917e+13 -2.745683e+18 -1.582199e+16   -1.396383e-07 -3.198435e-05 +6.204279e-05 -1.066118e-02 -2.718427e-01 +2.073743e+01 +6.112619e+02 -1.094979e+05 -5.984184e+05 -7.188137e+08 -2.425914e+09 +3.513911e+12 -2.801828e+13 -2.635046e+16 +1.228273e+18   
Q14-007   +8.999655e+01   +1.248152e-07 +3.589238e-02 +1.047672e-03 +2.392072e-02 +4.793610e-01 -6.478272e+02 -1.772288e+02 +3.285026e+03 -1.466750e+05 +1.285819e+11 -3.999403e+10 +1.213332e+12 -3.807173e+12 -2.721290e+18 +1.143969e+16   +9.539788e-08 -3.078468e-05 -2.014798e-04 -4.431250e-03 -3.115204e-01 +3.932850e+01 +1.539796e+03 -1.793765e+05 +3.218783e+06 -4.491788e+08 -1.354436e+10 +5.809123e+12 +6.456921e+13 -3.984223e+16 +8.859184e+17   
Q14-008   +8.999625e+01   -4.009300e-09 +3.590471e-02 +5.359052e-04 +1.793510e-02 -6.365777e-01 -6.503501e+02 -6.282970e+01 -2.249366e+04 +4.725899e+06 +1.286186e+11 -4.294549e+09 +1.287961e+12 -4.434556e+13 -2.713918e+18 -6.169576e+17   -3.143730e-07 -1.870586e-05 +4.422034e-04 -3.046544e-03 +2.851184e-02 +3.409593e+01 -1.900199e+03 -1.121328e+05 -9.193988e+06 -3.965354e+08 +4.706464e+10 +6.127204e+12 +1.880278e+14 -3.452994e+16 -8.492956e+17   
Q14-009   +8.999615e+01   -2.765701e-07 +3.590432e-02 -1.122745e-05 +2.623578e-02 +4.664676e-01 -6.127864e+02 +2.092374e+03 -1.073354e+05 -1.830518e+06 +1.284572e+11 -2.353756e+10 +2.741201e+12 +1.518833e+14 -2.739112e+18 +6.609492e+17   -7.837316e-08 -1.730541e-05 -5.078415e-05 -7.901344e-03 +2.936558e-01 +3.817828e+01 -7.503972e+01 -4.744964e+04 -6.930404e+05 -2.851555e+08 -1.332456e+10 +4.317594e+12 +7.490610e+12 -3.954948e+16 -5.302986e+16   
Q14-010   +8.999660e+01   -2.041145e-09 +3.589889e-02 +9.920033e-04 +3.859828e-02 +1.226946e-01 -6.119803e+02 -9.500119e+02 -9.312801e+04 +8.303238e+05 +1.283520e+11 -1.374339e+10 +2.071496e+12 +3.815114e+13 -2.743231e+18 -3.480521e+17   -1.672880e-07 -2.407979e-05 +5.912871e-04 -1.550245e-02 -5.710336e-01 +1.323014e+01 -2.091052e+03 -4.443595e+04 +6.498659e+04 -2.014413e+08 +4.524383e+08 +5.304084e+12 -1.858078e+14 -5.532976e+16 -2.910681e+17   
Q14-011   +8.999665e+01   -1.119918e-07 +3.589917e-02 +5.587130e-04 +1.375715e-02 +9.857954e-02 -6.290683e+02 +2.782575e+02 +9.922759e+03 -1.576702e+06 +1.280618e+11 -1.753219e+10 +1.499917e+12 +8.414264e+13 -2.710669e+18 -6.609366e+17   -1.430002e-09 -2.469105e-05 +2.404132e-04 -7.306534e-03 -6.915244e-01 +1.987844e+01 -2.599723e+02 -8.660847e+04 +6.877046e+06 +1.604876e+08 +5.749430e+09 +6.818385e+12 -3.654774e+13 -4.948426e+16 -5.740555e+17   
Q14-012   +8.999755e+01   +6.170204e-08 +3.589264e-02 +9.489959e-04 +2.054839e-02 +6.229610e-01 -6.104991e+02 +1.443733e+03 -6.224525e+04 -1.189856e+06 +1.280982e+11 -4.185953e+10 +3.489784e+12 -3.740784e+13 -2.711797e+18 +8.296029e+17   -1.048188e-07 -3.058091e-05 +2.872964e-04 -1.181312e-02 -4.429675e-01 +4.601245e+01 -3.089387e+02 -6.600216e+04 +1.022254e+06 -9.630157e+08 +2.175796e+10 +4.984039e+12 +3.299620e+13 -3.600182e+16 -1.620400e+18   
