# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q14-002   +1.994800e+00   +4.095658e-08 +4.699373e-02 +1.011133e-02 -2.132359e-02 +4.866389e+00 +1.059910e+03 -4.217318e+04 -6.841458e+05 -1.170775e+08 +1.572724e+11 -1.137498e+12 +1.860201e+13 -7.455585e+15 -4.137511e+18 -9.294385e+19   -4.154198e-06 -4.038219e-05 +5.786244e-03 +2.897513e-03 -2.699841e+00 -5.823586e+01 +4.719514e+03 +1.168301e+06 -1.456617e+07 +1.750648e+09 +1.142134e+12 +1.825496e+14 -1.486509e+15 -3.270806e+17 +3.171684e+19   
Q14-004   +1.994850e+00   -3.067903e-06 +4.762025e-02 +3.011796e-03 -3.095449e-02 +2.670852e+00 +1.111499e+03 -7.933769e+03 -3.050324e+05 -2.103758e+07 +1.609935e+11 +4.653686e+11 -6.146237e+12 -6.813916e+14 -3.404658e+18 -1.632078e+18   -1.092100e-07 -4.650388e-05 -4.662050e-03 -2.229562e-02 +1.793585e+00 -3.989949e+00 +2.015799e+04 +3.171345e+05 +5.397569e+06 -3.836102e+09 -1.451010e+11 +1.272456e+13 -1.648881e+15 -2.766653e+17 -1.247219e+19   
Q14-005   +1.995000e+00   -3.306711e-06 +4.812337e-02 -1.619957e-03 -7.960371e-02 +1.809016e-01 +1.042510e+03 +8.177850e+03 -6.200301e+04 +6.831674e+06 +1.596026e+11 -2.209702e+11 +5.272311e+12 -4.692213e+14 -3.592937e+18 -7.116862e+17   -1.046622e-06 -5.986346e-05 -8.095218e-04 -1.907911e-02 -9.541699e-01 +2.080684e+01 -3.322857e+03 +1.196887e+04 +3.870535e+07 -2.474719e+09 -2.168473e+11 +1.322290e+13 -1.934451e+15 -1.080255e+17 +1.351203e+19   
Q14-006   +1.994850e+00   -2.307747e-06 +4.809952e-02 +3.779322e-03 -5.866085e-02 +3.121383e+00 +8.777507e+02 -1.283391e+04 +9.646319e+04 -2.306912e+07 +1.609457e+11 -4.020744e+11 +4.813532e+12 -4.163903e+15 -3.701817e+18 -3.154499e+19   -2.976867e-06 -5.498814e-05 +4.329900e-03 +3.034963e-02 -2.677631e+00 -4.920656e+01 -1.023795e+04 +2.239839e+05 -5.309216e+07 -9.653217e+08 -8.583372e+10 -5.816011e+12 -2.605849e+15 -1.517484e+17 -1.028143e+19   
Q14-007   +1.994950e+00   -5.173303e-06 +4.747706e-02 -6.419148e-03 -1.427804e-02 -3.150874e+00 +1.143038e+03 +1.721214e+04 +4.900304e+05 -9.096609e+06 +1.597821e+11 -2.112656e+11 +1.162608e+13 +1.039272e+15 -3.394323e+18 -2.339775e+18   -4.106344e-07 -5.321487e-05 -2.238469e-03 +1.138774e-02 +6.051776e-02 -3.394561e+01 +9.595714e+03 -2.547883e+05 -1.980754e+06 -1.722138e+07 +1.475711e+11 -9.231830e+12 +1.543369e+15 -1.259819e+17 +6.987709e+18   
Q14-008   +1.994850e+00   -3.172103e-06 +4.796480e-02 +4.553797e-04 -7.665027e-02 -5.319152e-01 +1.042671e+03 +4.597858e+03 +2.620903e+05 -1.480260e+07 +1.611046e+11 -1.597447e+11 +2.204535e+13 -3.040011e+15 -3.348849e+18 -8.238604e+18   -9.425019e-07 -4.112239e-05 -1.885280e-03 +4.277474e-02 +2.256062e+00 +1.760360e+01 -2.180064e+03 -4.767029e+05 +3.515623e+07 -1.563625e+09 -2.404947e+09 -2.564683e+13 +2.299889e+15 -1.523898e+17 -1.494987e+19   
Q14-009   +1.994950e+00   -8.034637e-07 +4.777093e-02 +9.612807e-03 -4.583757e-02 +5.323417e+00 +1.211497e+03 -2.101359e+04 +2.545921e+04 -4.465794e+07 +1.546475e+11 +3.162434e+11 -3.921988e+13 +3.936300e+14 -3.593054e+18 -4.330259e+18   -3.376104e-06 -4.023876e-05 +6.344786e-03 -6.076689e-03 -3.991226e+00 +1.121737e+02 -7.770501e+03 +5.713667e+05 +2.834820e+07 -2.185289e+09 -6.274182e+10 +3.970137e+13 +3.071450e+15 -6.997895e+16 -7.171909e+18   
Q14-010   +1.994800e+00   -2.167745e-06 +4.760998e-02 +5.486264e-03 +7.144295e-02 +7.883171e-01 +1.082247e+03 -1.655842e+04 +1.301991e+05 -1.439758e+07 +1.539312e+11 -9.425426e+10 +8.408963e+12 -2.575682e+15 -3.607654e+18 -1.641004e+19   -8.917145e-07 -3.874580e-05 -1.535338e-03 -2.464128e-02 +1.897874e+00 +4.979533e+01 +5.227131e+03 +1.725131e+05 +2.122411e+07 +3.767920e+08 +2.924093e+10 +3.404601e+13 +2.588581e+15 +1.152264e+17 +1.323325e+18   
Q14-011   +1.995000e+00   -4.726646e-06 +4.780692e-02 -4.684681e-03 -2.230504e-02 -7.583784e-01 +1.139612e+03 +2.110318e+04 -2.354718e+05 -5.741198e+06 +1.556656e+11 -3.596602e+11 -1.706265e+13 +3.301000e+14 -3.590726e+18 -7.326571e+18   -8.125393e-07 -3.346417e-05 -1.055049e-03 -5.669173e-03 +2.542497e-01 -3.627817e+00 -7.871148e+03 +6.764120e+05 -3.570423e+07 +1.182582e+09 +8.408331e+10 +2.797294e+13 -1.343614e+15 +1.232809e+16 +8.361960e+18   
Q14-012   +1.995550e+00   -3.500056e-06 +4.754395e-02 -5.911543e-04 +1.459096e-03 -1.222269e+00 +1.102799e+03 +7.478961e+03 -5.364812e+05 -3.853147e+07 +1.579340e+11 +2.922784e+09 -1.251951e+13 -1.129101e+15 -3.494393e+18 +5.492406e+17   +8.442595e-07 -4.071679e-05 -6.642610e-03 -1.751386e-02 +3.701977e+00 +1.008170e+02 +1.108621e+04 -2.045311e+05 +2.925557e+07 +8.696405e+08 +6.964130e+10 -1.188456e+13 -1.169795e+15 -1.450694e+17 +1.973447e+19   
