# Sirius pressure profile for various accumulated charges taking into account delta undulator radiation effect (photodesorption). IDs vacuum chambers profile were not considered.
# The first point s is at the beginning of straight section and the last point is at the end of straight section, thus completing 1/20 of the ring. The profile repeats itself over the ring. 
# The column names are identified as follows: 1st - position of the ring in [m], 2nd ~ 5th - pressure values in [mbar] simulated with the corresponding accumulated charge.
# May 11, 2018 - Murilo Barbosa Alves
# s(m)    10Ah        100Ah       1000Ah      10000Ah
21.465	1.52E-10	1.69E-09	4.29E-09	2.47E-09
21.73	1.65E-10	2.25E-09	4.23E-09	2.81E-09
21.995	1.77E-10	3.38E-09	4.21E-09	3.06E-09
22.26	2.46E-10	4.75E-09	4.27E-09	3.17E-09
22.525	3.96E-10	5.87E-09	4.42E-09	3.28E-09
22.79	5.55E-10	6.29E-09	4.35E-09	3.35E-09
23.055	5.29E-10	4.86E-09	3.69E-09	3.35E-09
23.32	3.45E-10	2.03E-09	2.73E-09	3.27E-09
23.585	3.58E-10	1.53E-09	3.67E-09	3.14E-09
23.85	3.29E-10	1.37E-09	4.22E-09	2.97E-09
24.115	2.89E-10	1.21E-09	4.27E-09	2.79E-09
24.38	2.48E-10	1.09E-09	4.15E-09	2.59E-09
24.645	1.84E-10	9.27E-10	3.84E-09	2.42E-09
24.91	1.50E-10	8.01E-10	3.59E-09	2.20E-09
25.175	1.21E-10	7.04E-10	3.41E-09	1.95E-09
25.44	1.07E-10	6.66E-10	3.25E-09	1.66E-09
25.705	1.29E-10	7.61E-10	3.24E-09	1.35E-09
25.97	1.94E-10	9.44E-10	3.30E-09	1.04E-09
26.235	2.94E-10	1.12E-09	3.34E-09	6.89E-10
26.5	3.50E-10	1.06E-09	2.92E-09	3.49E-10
