Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13936E+00 0.2508E-04
9 0.21168E+00 0.1312E-04
13 0.28630E+00 0.5726E-05
17 0.36216E+00 0.2390E-04
21 0.43933E+00 0.1406E-04
25 0.51731E+00 0.3621E-05
30 0.61615E+00 0.4683E-04
35 0.71597E+00 0.1504E-04
40 0.81661E+00 0.8983E-05
45 0.91786E+00 0.5324E-04
55 0.11216E+01 0.8973E-05
65 0.13264E+01 0.3183E-04
75 0.15313E+01 0.5513E-04
85 0.17365E+01 0.1198E-04
95 0.19414E+01 0.6795E-04
105 0.21457E+01 0.5150E-04
115 0.23496E+01 0.1316E-03
125 0.25518E+01 0.4083E-04
135 0.27527E+01 0.5781E-04
145 0.29521E+01 0.6790E-04
155 0.31490E+01 0.6613E-04
165 0.33436E+01 0.6353E-04
175 0.35352E+01 0.1237E-03
185 0.37220E+01 0.1303E-03
195 0.39030E+01 0.7025E-04
205 0.40753E+01 0.1752E-03
215 0.42348E+01 0.4065E-03
225 0.43799E+01 0.7008E-04
