Corrente Derivada_Integrada Erro_Derivada_Integrada
 Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.18413E+01 0
 3.000  0.22005E+01 0
 4.000  0.25665E+01 0
 5.000  0.29533E+01 0
 15.000 0.68856E+01 0
 10.000 0.48903E+01 0
 20.000 0.89365E+01 0
 25.000 0.11021E+02 0
 30.000 0.13140E+02 0
 40.000 0.17424E+02 0
 50.000 0.21746E+02 0
 60.000 0.26083E+02 0
 70.000 0.30404E+02 0
 80.000 0.34708E+02 0
 90.000 0.38989E+02 0
100.000 0.43226E+02 0
110.000 0.47432E+02 0
120.000 0.51585E+02 0
130.000 0.55680E+02 0
140.000 0.59677E+02 0
150.000 0.63521E+02 0
160.000 0.67054E+02 0
170.000 0.70177E+02 0
180.000 0.72876E+02 0
190.000 0.75236E+02 0
200.000 0.77361E+02 0
210.000 0.79284E+02 0
220.000 0.81058E+02 0
 
 
