Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18292E+01 0 
3 -0.21875E+01 0 
4 -0.25568E+01 0 
5 -0.29465E+01 0 
10 -0.48801E+01 0 
15 -0.68719E+01 0 
20 -0.89253E+01 0 
25 -0.11007E+02 0 
30 -0.13122E+02 0 
40 -0.17400E+02 0 
50 -0.21715E+02 0 
60 -0.26049E+02 0 
70 -0.30367E+02 0 
80 -0.34673E+02 0
90 -0.38954E+02 0
100 -0.43199E+02 0
110 -0.47407E+02 0
120 -0.51566E+02 0
130 -0.55669E+02 0
140 -0.59664E+02 0
150 -0.63505E+02 0
160 -0.67038E+02 0
170 -0.70157E+02 0
180 -0.72844E+02 0
190 -0.75194E+02 0
200 -0.77313E+02 0
210 -0.79233E+02 0
220 -0.81267E+02 0

