Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12942E+00 0.1242E-04
15 0.31769E+00 0.1779E-04
25 0.51349E+00 0.4313E-04
35 0.71306E+00 0.3565E-04
45 0.91483E+00 0.6129E-04
55 0.11179E+01 0.6819E-04
65 0.13216E+01 0.5551E-04
75 0.15255E+01 0.8085E-04
85 0.17299E+01 0.1211E-03
95 0.19336E+01 0.1876E-03
105 0.21371E+01 0.1517E-03
115 0.23404E+01 0.1849E-03
125 0.25424E+01 0.2059E-03
135 0.27440E+01 0.1784E-03
145 0.29447E+01 0.1296E-03
155 0.31444E+01 0.1887E-03
165 0.33428E+01 0.2307E-03
175 0.35396E+01 0.1416E-03
185 0.37343E+01 0.1419E-03
195 0.39261E+01 0.2159E-03
205 0.41139E+01 0.2345E-03
215 0.42946E+01 0.2190E-03
225 0.44649E+01 0.1384E-03
