Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.13942E+00 0.1534E-04
9 -0.21178E+00 0.2753E-04
13 -0.28640E+00 0.6014E-05
17 -0.36220E+00 0.1050E-04
21 -0.43939E+00 0.1845E-04
25 -0.51737E+00 0.1500E-04
30 -0.61621E+00 0.1479E-04
35 -0.71609E+00 0.1217E-04
40 -0.81673E+00 0.1715E-04
45 -0.91812E+00 0.1102E-04
55 -0.11220E+01 0.1088E-04
65 -0.13269E+01 0.7033E-04
75 -0.15319E+01 0.3983E-04
85 -0.17372E+01 0.2085E-04
95 -0.19420E+01 0.4078E-04
105 -0.21464E+01 0.1052E-03
115 -0.23505E+01 0.2586E-04
125 -0.25530E+01 0.7659E-04
135 -0.27544E+01 0.1047E-03
145 -0.29539E+01 0.1063E-03
155 -0.31509E+01 0.5987E-04
165 -0.33455E+01 0.4684E-04
175 -0.35371E+01 0.3891E-04
185 -0.37246E+01 0.1043E-03
195 -0.39062E+01 0.9375E-04
205 -0.40790E+01 0.9382E-04
215 -0.42391E+01 0.4239E-04
225 -0.43857E+01 0.1184E-03
