Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.13932E+00 0.2786E-04
9 -0.21156E+00 0.1798E-04
13 -0.28616E+00 0.1774E-04
17 -0.36205E+00 0.3621E-04
21 -0.43914E+00 0.5270E-04
25 -0.51712E+00 0.3620E-04
30 -0.61599E+00 0.2402E-04
35 -0.71582E+00 0.4868E-04
40 -0.81651E+00 0.4736E-04
45 -0.91786E+00 0.2295E-04
55 -0.11217E+01 0.3141E-04
65 -0.13264E+01 0.2255E-04
75 -0.15314E+01 0.8576E-05
85 -0.17363E+01 0.6251E-04
95 -0.19411E+01 0.2523E-04
105 -0.21453E+01 0.4934E-04
115 -0.23492E+01 0.7517E-04
125 -0.25514E+01 0.5613E-04
135 -0.27528E+01 0.1954E-03
145 -0.29523E+01 0.8562E-04
155 -0.31497E+01 0.1386E-03
165 -0.33443E+01 0.4013E-04
175 -0.35363E+01 0.1415E-03
185 -0.37235E+01 0.4096E-04
195 -0.39047E+01 0.7419E-04
205 -0.40776E+01 0.1346E-03
215 -0.42375E+01 0.3390E-04
225 -0.43837E+01 0.7452E-04
