Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11242E+00 0.3822E-04
9 -0.19205E+00 0.4033E-04
13 -0.27270E+00 0.2727E-04
17 -0.35355E+00 0.4596E-05
21 -0.43477E+00 0.1609E-04
25 -0.51634E+00 0.2582E-04
30 -0.61883E+00 0.1485E-04
35 -0.72144E+00 0.5266E-04
40 -0.82432E+00 0.2061E-04
45 -0.92734E+00 0.2597E-04
55 -0.11334E+01 0.5440E-04
65 -0.13393E+01 0.8839E-04
75 -0.15450E+01 0.2317E-04
85 -0.17507E+01 0.3501E-04
95 -0.19557E+01 0.5672E-04
105 -0.21605E+01 0.9506E-05
115 -0.23650E+01 0.5440E-04
125 -0.25689E+01 0.8220E-04
135 -0.27724E+01 0.8595E-04
145 -0.29760E+01 0.1548E-03
155 -0.31788E+01 0.4132E-04
165 -0.33811E+01 0.2502E-04
175 -0.35828E+01 0.3583E-04
185 -0.37823E+01 0.2194E-03
195 -0.39814E+01 0.2031E-04
205 -0.41780E+01 0.9609E-04
215 -0.43696E+01 0.6117E-04
225 -0.45510E+01 0.1047E-03
