Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18319E+01 0 
3 -0.21917E+01 0 
4 -0.25580E+01 0 
5 -0.29451E+01 0 
10 -0.48797E+01 0 
15 -0.68744E+01 0 
20 -0.89215E+01 0 
25 -0.11006E+02 0 
30 -0.13119E+02 0 
40 -0.17401E+02 0 
50 -0.21717E+02 0 
60 -0.26047E+02 0 
70 -0.30371E+02 0 
80 -0.34673E+02 0
90 -0.38953E+02 0
100 -0.43195E+02 0
110 -0.47406E+02 0
120 -0.51564E+02 0
130 -0.55661E+02 0
140 -0.59663E+02 0
150 -0.63504E+02 0
160 -0.67040E+02 0
170 -0.70157E+02 0
180 -0.72842E+02 0
190 -0.75192E+02 0
200 -0.77310E+02 0
210 -0.79226E+02 0
220 -0.80989E+02 0

