Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11210E+00 0.2354E-04
9 -0.19162E+00 0.2108E-04
13 -0.27210E+00 0.2993E-04
17 -0.35289E+00 0.1447E-04
21 -0.43421E+00 0.1172E-04
25 -0.51568E+00 0.1702E-04
30 -0.61786E+00 0.3522E-04
35 -0.72037E+00 0.3818E-04
40 -0.82310E+00 0.3539E-04
45 -0.92585E+00 0.3426E-04
55 -0.11317E+01 0.2150E-04
65 -0.13374E+01 0.2006E-04
75 -0.15430E+01 0.4320E-05
85 -0.17482E+01 0.2622E-04
95 -0.19531E+01 0.3711E-04
105 -0.21575E+01 0.7551E-04
115 -0.23619E+01 0.3779E-04
125 -0.25655E+01 0.3592E-04
135 -0.27688E+01 0.1357E-03
145 -0.29717E+01 0.8023E-05
155 -0.31743E+01 0.4127E-04
165 -0.33763E+01 0.5065E-04
175 -0.35775E+01 0.3935E-04
185 -0.37778E+01 0.3173E-04
195 -0.39767E+01 0.3022E-04
205 -0.41731E+01 0.1043E-03
215 -0.43644E+01 0.9602E-04
225 -0.45464E+01 0.1182E-03
