Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12437E+00 0.1020E-04
9 0.19837E+00 0.1825E-04
13 0.27436E+00 0.3018E-05
17 0.35218E+00 0.9157E-05
21 0.43148E+00 0.6041E-05
25 0.51139E+00 0.1125E-04
30 0.61217E+00 0.2632E-04
35 0.71341E+00 0.2140E-05
40 0.81509E+00 0.7173E-05
45 0.91704E+00 0.7611E-05
55 0.11215E+01 0.4262E-04
65 0.13263E+01 0.8753E-05
75 0.15309E+01 0.2909E-04
85 0.17352E+01 0.2256E-04
95 0.19389E+01 0.1823E-04
105 0.21420E+01 0.6640E-04
115 0.23447E+01 0.3048E-04
125 0.25461E+01 0.1961E-04
135 0.27469E+01 0.3296E-04
145 0.29467E+01 0.1090E-03
155 0.31453E+01 0.3774E-04
