Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.12937E+00 0.4011E-05
15 -0.31744E+00 0.2857E-04
25 -0.51313E+00 0.2001E-04
35 -0.71273E+00 0.6201E-05
45 -0.91461E+00 0.4756E-04
55 -0.11179E+01 0.4695E-04
65 -0.13217E+01 0.4758E-04
75 -0.15257E+01 0.7171E-04
85 -0.17300E+01 0.6747E-04
95 -0.19338E+01 0.1218E-03
105 -0.21374E+01 0.1005E-03
115 -0.23407E+01 0.1568E-03
125 -0.25429E+01 0.9155E-04
135 -0.27444E+01 0.1455E-03
145 -0.29453E+01 0.1001E-03
155 -0.31449E+01 0.8177E-04
165 -0.33436E+01 0.2173E-03
175 -0.35403E+01 0.2372E-03
185 -0.37349E+01 0.4855E-04
195 -0.39269E+01 0.1296E-03
205 -0.41144E+01 0.1481E-03
215 -0.42949E+01 0.1546E-03
225 -0.44654E+01 0.1563E-03
