Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12661E+00 0.3419E-04
9 0.20217E+00 0.2830E-04
13 0.27955E+00 0.1062E-04
17 0.35775E+00 0.4651E-04
21 0.43680E+00 0.4368E-04
25 0.51641E+00 0.5680E-04
30 0.61667E+00 0.8633E-05
35 0.71764E+00 0.1076E-04
40 0.81885E+00 0.5978E-04
45 0.92060E+00 0.3498E-04
55 0.11247E+01 0.1350E-04
65 0.13296E+01 0.5451E-04
75 0.15345E+01 0.3683E-04
85 0.17395E+01 0.6958E-04
95 0.19443E+01 0.1633E-04
105 0.21486E+01 0.4512E-04
115 0.23524E+01 0.3293E-04
125 0.25552E+01 0.1661E-04
135 0.27575E+01 0.4688E-04
145 0.29586E+01 0.7692E-04
155 0.31588E+01 0.5054E-04
165 0.33574E+01 0.1276E-03
175 0.35550E+01 0.7466E-04
185 0.37500E+01 0.5625E-04
195 0.39424E+01 0.6308E-05
205 0.41313E+01 0.5371E-04
215 0.43136E+01 0.1467E-04
225 0.44871E+01 0.8974E-04
