Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13069E+00 0.1960E-04
9 0.20407E+00 0.4286E-04
13 0.27961E+00 0.1929E-04
17 0.35616E+00 0.2529E-04
21 0.43398E+00 0.1606E-04
25 0.51226E+00 0.4149E-04
30 0.61128E+00 0.1039E-04
35 0.71094E+00 0.1280E-04
40 0.81117E+00 0.2190E-04
45 0.91185E+00 0.3191E-04
55 0.11143E+01 0.5237E-04
65 0.13174E+01 0.1238E-04
75 0.15207E+01 0.6387E-04
85 0.17242E+01 0.4655E-04
95 0.19275E+01 0.5397E-04
105 0.21303E+01 0.5752E-04
115 0.23330E+01 0.5133E-05
125 0.25346E+01 0.2256E-04
135 0.27354E+01 0.6018E-04
145 0.29356E+01 0.9981E-05
155 0.31342E+01 0.3448E-04
165 0.33314E+01 0.7995E-04
175 0.35272E+01 0.2046E-04
185 0.37206E+01 0.4093E-04
195 0.39110E+01 0.6258E-04
205 0.40978E+01 0.7376E-04
215 0.42774E+01 0.6416E-04
225 0.44477E+01 0.6227E-04
