Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12522E+00 0.3131E-04
9 0.19972E+00 0.7789E-05
13 0.27613E+00 0.2264E-05
17 0.35365E+00 0.7427E-05
21 0.43212E+00 0.8210E-05
25 0.51119E+00 0.6645E-05
30 0.61095E+00 0.1100E-03
35 0.71137E+00 0.4126E-05
40 0.81231E+00 0.1381E-04
45 0.91362E+00 0.6761E-05
55 0.11171E+01 0.9830E-05
65 0.13209E+01 0.2510E-04
75 0.15247E+01 0.1525E-04
85 0.17283E+01 0.2938E-04
95 0.19311E+01 0.5214E-04
105 0.21333E+01 0.7466E-05
115 0.23353E+01 0.8407E-04
125 0.25361E+01 0.4058E-04
135 0.27359E+01 0.3009E-04
145 0.29350E+01 0.2935E-04
155 0.31329E+01 0.3446E-04
