Corrente Derivada_Integrada Erro_Derivada_Integrada
Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.17974E+01 0
 3.000  0.21606E+01 0
 4.000  0.25309E+01 0
 5.000  0.29163E+01 0
 10.000 0.48607E+01 0
 15.000 0.68632E+01 0
 20.000 0.89180E+01 0
 25.000 0.11008E+02 0
 30.000 0.13130E+02 0
 40.000 0.17423E+02 0
 50.000 0.21746E+02 0
 60.000 0.26078E+02 0
 70.000 0.30396E+02 0
 80.000 0.34697E+02 0
 90.000 0.38972E+02 0
100.000 0.43216E+02 0
110.000 0.47424E+02 0
120.000 0.51585E+02 0
130.000 0.55683E+02 0
140.000 0.59693E+02 0
150.000 0.63538E+02 0
160.000 0.67079E+02 0
170.000 0.70202E+02 0
180.000 0.72894E+02 0
190.000 0.75246E+02 0
200.000 0.77362E+02 0
210.000 0.79287E+02 0
220.000 0.81057E+02 0

