Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.12935E+00 0.1099E-04
15 -0.31743E+00 0.3047E-04
25 -0.51294E+00 0.4873E-04
35 -0.71231E+00 0.7835E-04
45 -0.91387E+00 0.9139E-04
55 -0.11168E+01 0.1117E-03
65 -0.13203E+01 0.8582E-04
75 -0.15242E+01 0.1219E-03
85 -0.17281E+01 0.1141E-03
95 -0.19317E+01 0.1372E-03
105 -0.21351E+01 0.1836E-03
115 -0.23382E+01 0.1613E-03
125 -0.25400E+01 0.2184E-03
135 -0.27412E+01 0.2111E-03
145 -0.29415E+01 0.2647E-03
155 -0.31411E+01 0.2167E-03
165 -0.33393E+01 0.1703E-03
175 -0.35362E+01 0.2723E-03
185 -0.37305E+01 0.2686E-03
195 -0.39221E+01 0.2432E-03
205 -0.41099E+01 0.4110E-03
215 -0.42908E+01 0.3733E-03
225 -0.44615E+01 0.3525E-03
