Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12854E+00 0.1800E-04
15 0.31700E+00 0.2821E-04
25 0.51267E+00 0.1948E-04
35 0.71255E+00 0.2138E-04
45 0.91455E+00 0.2103E-04
55 0.11178E+01 0.7489E-04
65 0.13217E+01 0.6344E-04
75 0.15257E+01 0.4119E-04
85 0.17298E+01 0.3806E-04
95 0.19338E+01 0.7348E-04
105 0.21377E+01 0.3207E-04
115 0.23409E+01 0.1568E-03
125 0.25431E+01 0.1043E-03
135 0.27449E+01 0.1565E-03
145 0.29457E+01 0.5891E-04
155 0.31455E+01 0.1195E-03
165 0.33440E+01 0.1839E-03
175 0.35411E+01 0.9915E-04
185 0.37361E+01 0.1046E-03
195 0.39282E+01 0.1257E-03
205 0.41162E+01 0.6998E-04
215 0.42967E+01 0.1676E-03
225 0.44670E+01 0.1295E-03
