Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13060E+00 0.1567E-04
15 0.31890E+00 0.7972E-05
25 0.51491E+00 0.1287E-04
35 0.71475E+00 0.2573E-04
45 0.91681E+00 0.4034E-04
55 0.11202E+01 0.3473E-04
65 0.13243E+01 0.6754E-05
75 0.15285E+01 0.3363E-04
85 0.17330E+01 0.2253E-04
95 0.19372E+01 0.4649E-04
105 0.21410E+01 0.2355E-04
115 0.23445E+01 0.6096E-04
125 0.25469E+01 0.8914E-04
135 0.27488E+01 0.4673E-04
145 0.29499E+01 0.3540E-04
155 0.31497E+01 0.1795E-04
165 0.33483E+01 0.6027E-04
175 0.35453E+01 0.2659E-04
185 0.37403E+01 0.4488E-04
195 0.39325E+01 0.3028E-04
205 0.41206E+01 0.1648E-03
215 0.43020E+01 0.3270E-04
225 0.44735E+01 0.2237E-04
