Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11188E+00 0.7831E-04
9 -0.19122E+00 0.4398E-04
13 -0.27146E+00 0.2036E-04
17 -0.35219E+00 0.5283E-04
21 -0.43331E+00 0.2773E-04
25 -0.51460E+00 0.5661E-04
30 -0.61672E+00 0.3392E-04
35 -0.71899E+00 0.1582E-04
40 -0.82150E+00 0.4272E-04
45 -0.92413E+00 0.2957E-04
55 -0.11295E+01 0.5422E-04
65 -0.13348E+01 0.1014E-04
75 -0.15401E+01 0.1694E-04
85 -0.17448E+01 0.4188E-04
95 -0.19492E+01 0.8186E-04
105 -0.21531E+01 0.1033E-03
115 -0.23570E+01 0.8014E-04
125 -0.25605E+01 0.4865E-04
135 -0.27633E+01 0.1078E-03
145 -0.29658E+01 0.6821E-04
155 -0.31677E+01 0.7602E-04
165 -0.33693E+01 0.6065E-04
175 -0.35703E+01 0.1321E-03
185 -0.37704E+01 0.1961E-03
195 -0.39689E+01 0.1270E-03
205 -0.41651E+01 0.1333E-03
215 -0.43561E+01 0.8277E-04
225 -0.45381E+01 0.1271E-03
