Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13059E+00 0.3134E-04
9 0.20369E+00 0.5092E-04
13 0.27898E+00 0.3069E-04
17 0.35537E+00 0.3269E-04
21 0.43289E+00 0.2641E-04
25 0.51108E+00 0.2607E-04
30 0.60984E+00 0.3537E-05
35 0.70938E+00 0.1773E-04
40 0.80945E+00 0.2105E-04
45 0.91001E+00 0.3731E-04
55 0.11121E+01 0.4337E-04
65 0.13149E+01 0.5128E-05
75 0.15179E+01 0.2429E-04
85 0.17210E+01 0.3442E-04
95 0.19240E+01 0.2694E-04
105 0.21266E+01 0.5317E-04
115 0.23287E+01 0.7918E-04
125 0.25297E+01 0.9866E-04
135 0.27302E+01 0.5187E-04
145 0.29298E+01 0.1729E-03
155 0.31282E+01 0.4692E-04
165 0.33254E+01 0.3658E-04
175 0.35208E+01 0.1514E-03
185 0.37137E+01 0.8913E-04
195 0.39039E+01 0.1054E-03
205 0.40900E+01 0.3599E-04
215 0.42689E+01 0.1366E-03
225 0.44387E+01 0.8433E-04
