Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.14121E+00 0.2118E-04
9 0.21398E+00 0.3210E-04
13 0.28865E+00 0.1097E-04
17 0.36426E+00 0.1421E-04
21 0.44103E+00 0.2337E-04
25 0.51847E+00 0.3111E-04
30 0.61653E+00 0.1788E-04
35 0.71551E+00 0.1216E-03
40 0.81517E+00 0.5625E-04
45 0.91564E+00 0.4853E-04
55 0.11176E+01 0.1565E-04
65 0.13210E+01 0.1849E-05
75 0.15249E+01 0.1464E-04
85 0.17291E+01 0.4496E-04
95 0.19333E+01 0.4253E-04
105 0.21375E+01 0.1026E-03
115 0.23409E+01 0.1030E-03
125 0.25435E+01 0.9665E-04
135 0.27452E+01 0.1016E-03
145 0.29459E+01 0.1473E-03
155 0.31452E+01 0.1006E-03
165 0.33425E+01 0.1136E-03
175 0.35382E+01 0.1486E-03
185 0.37313E+01 0.9328E-04
195 0.39225E+01 0.1922E-03
205 0.41094E+01 0.2466E-03
215 0.42917E+01 0.1845E-03
225 0.44675E+01 0.1564E-03
