# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
TBQ-001   -5.014533e+00   -1.497108e-06 -8.423596e-02 +2.244989e-03 -4.706913e-02 +1.780938e+00 +4.170368e+03 -2.595297e+03 +5.956519e+04 +2.256059e+06 -1.096049e+10 -5.457348e+09 -3.081868e+11   +1.463129e-06 +9.826766e-05 +1.431028e-03 -4.159809e-02 +7.418386e-01 +1.869498e+01 +2.903788e+02 +9.835538e+04 -1.718402e+06 +1.489299e+08 +1.188106e+10 -4.415691e+11   
TBQ-002   -5.014539e+00   -6.580685e-07 -8.412530e-02 +6.600696e-04 -4.514734e-02 +7.226431e-01 +4.173409e+03 -2.120626e+03 +4.479855e+04 +2.766693e+06 -1.088169e+10 -1.302982e+09 -2.490656e+11   +2.203963e-06 +6.291950e-05 +2.738120e-03 -2.995729e-02 -1.079031e-01 +2.889815e+01 -2.158176e+02 +1.170956e+05 +7.478865e+05 +7.240923e+07 +1.318535e+10 +6.255803e+10   
TBQ-003   -5.014909e+00   -2.292251e-06 -8.412827e-02 -2.464607e-04 -3.367987e-02 +3.444308e-01 +4.211125e+03 -8.646510e+02 +6.563651e+04 +1.314139e+06 -1.105170e+10 +3.372693e+09 -1.551480e+11   +6.412497e-07 +7.904476e-05 +2.530746e-03 -3.945507e-02 -3.070365e-01 +5.599639e+00 +5.464520e+02 +1.303625e+05 -1.650926e+06 -5.978412e+07 +1.084061e+10 +2.400231e+11   
TBQ-004   -5.014555e+00   -1.693310e-06 -8.409037e-02 +1.034513e-03 -7.535895e-03 +1.734396e+00 +4.151417e+03 -3.012030e+03 +1.273519e+05 +4.346918e+06 -1.119322e+10 -1.321524e+10 +5.309919e+11   +1.194642e-06 +1.067528e-04 +2.321512e-03 -3.886116e-02 +4.043773e-02 +9.552898e+00 -5.284469e+02 +1.029085e+05 +2.894871e+06 +2.250469e+08 -3.267315e+09 -2.586493e+11   
TBQ-005   -5.014711e+00   -3.072546e-06 -8.419219e-02 -1.072066e-03 -5.497697e-03 +3.152884e-01 +4.149244e+03 -1.706940e+03 +9.383837e+04 +3.720326e+06 -1.099605e+10 -7.642428e+09 +7.137957e+10   +1.788816e-06 +5.306415e-05 +3.661128e-03 -3.507556e-02 -1.066589e+00 +3.870508e+01 -7.287116e+02 +7.797251e+04 -7.861019e+05 +8.193830e+07 +1.106626e+10 -6.843824e+11   
TBQ-006   -5.014576e+00   -2.419026e-06 -8.423155e-02 +2.008006e-04 -2.523484e-02 +1.217001e+00 +4.139403e+03 -2.184743e+03 +1.101874e+05 +3.719627e+06 -1.115492e+10 -7.740419e+09 +3.472952e+11   -9.978106e-07 +6.877574e-05 +6.596462e-03 -3.722720e-02 -1.655641e+00 +2.888097e+01 -1.951048e+03 +1.008661e+05 +3.796580e+06 +2.155014e+08 +9.270566e+08 -4.447221e+11   
TBQ-007   -5.014542e+00   -3.531627e-06 -8.416575e-02 +5.316184e-04 -2.874578e-02 +1.898905e+00 +4.162751e+03 -2.935955e+03 +6.846815e+04 +1.970238e+06 -1.103326e+10 -8.804846e+09 +6.376596e+10   +2.446158e-07 +9.617905e-05 +2.535508e-03 -3.546017e-02 +9.663778e-01 +7.188375e+00 -5.579503e+02 +1.040934e+05 -9.872583e+05 +3.213366e+08 +1.103568e+10 -3.662767e+11   
TBQ-008   -5.014813e+00   -3.470771e-06 -8.415247e-02 -3.750459e-04 -1.218640e-02 +9.270663e-01 +4.178882e+03 -2.083822e+03 +8.905275e+04 +3.145050e+06 -1.119877e+10 -8.103818e+09 +5.090459e+11   +1.438075e-06 +7.354288e-05 +4.151421e-03 -3.710908e-02 -1.024064e+00 +3.180286e+01 -1.332908e+03 +6.920808e+04 +2.864232e+06 +2.605724e+08 +7.228383e+08 -4.907318e+11   
TBQ-009   -5.014771e+00   -2.326802e-06 -8.410512e-02 +1.598819e-04 -1.811376e-02 -1.565522e-02 +4.193422e+03 -2.749645e+03 +6.121807e+04 +5.201930e+06 -1.099160e+10 -7.036666e+09 -2.591554e+11   +1.547460e-06 +1.003276e-04 +2.749813e-03 -2.699637e-02 -3.922345e-02 +2.050770e+01 +1.581788e+02 +1.083155e+05 +1.166285e+05 +2.266327e+08 +1.162901e+10 -4.506587e+11   
TBQ-010   -5.014674e+00   -3.168060e-06 -8.412212e-02 -6.276701e-04 -2.904727e-02 +7.783611e-01 +4.194099e+03 -2.424195e+03 +8.688593e+04 +3.596381e+06 -1.102178e+10 -8.609319e+09 -6.470006e+10   +1.578592e-06 +8.784328e-05 +1.165311e-03 -4.164273e-02 +1.085377e+00 +1.595208e+01 +3.506657e+02 +1.053772e+05 -1.998285e+06 +2.702989e+08 +4.895598e+09 -5.719570e+11   
TBQ-011   -5.014544e+00   -1.823556e-06 -8.410284e-02 +2.837331e-04 -4.706675e-03 +6.019704e-01 +4.186446e+03 -2.565135e+03 +7.842988e+04 +3.466363e+06 -1.104681e+10 -9.645537e+09 +2.787905e+11   +1.162544e-06 +8.143694e-05 +3.226547e-03 -4.098269e-02 -5.200018e-01 +2.168801e+01 -7.281204e+02 +5.626155e+04 -1.212163e+05 +2.049510e+08 +6.241379e+09 -6.571950e+11   
TBQ-012   -5.014486e+00   -2.555692e-06 -8.414274e-02 -4.410233e-04 -2.197783e-02 +1.639197e+00 +4.135564e+03 -1.793657e+03 +1.154441e+05 +1.624896e+06 -1.097001e+10 -1.370150e+10 +3.013228e+11   +7.119118e-07 +7.338250e-05 +4.153907e-03 -4.839457e-02 -2.332113e-01 +2.990805e+01 -3.047636e+03 +1.496159e+05 -8.940765e+05 +1.841735e+08 +1.343871e+10 -8.124821e+11   
